strategy,period_start,n_holdings,max_weight,top3_weight,top5_weight,effective_n,herfindahl
FINAL_OPTIMIZER,2022-07-29,28,0.19907193766513193,0.5102066373032481,0.7327828164858625,7.872639871271479,0.12702219539460452
FINAL_OPTIMIZER,2022-08-31,28,0.19907200351540677,0.5084608961044094,0.7310370703982768,7.869093607412343,0.12707943886422238
FINAL_OPTIMIZER,2022-09-30,28,0.20582114691546385,0.5152098335752449,0.7377861586717948,7.809874674371176,0.12804302779423493
FINAL_OPTIMIZER,2022-10-31,28,0.20582119986754221,0.5123305198881516,0.7484211347821024,7.647499636924751,0.1307616930338456
FINAL_OPTIMIZER,2022-11-30,28,0.20582118925061016,0.5242429354086987,0.6968976735673378,8.340063645547342,0.11990316171434588
FINAL_OPTIMIZER,2022-12-30,28,0.2058211864300508,0.568959921781429,0.7416146494671797,7.388518446249524,0.1353451314055538
FINAL_OPTIMIZER,2023-01-31,28,0.2058211946002931,0.5912231749930229,0.7866637792104091,6.833790538730982,0.14633167263942765
FINAL_OPTIMIZER,2023-02-28,28,0.20582118443330974,0.5912225902598763,0.7869491493342006,6.802813433734819,0.14699800453751222
FINAL_OPTIMIZER,2023-03-31,28,0.20582116362305683,0.5160918598839912,0.7615570462158057,7.376986960423949,0.1355566988751368
FINAL_OPTIMIZER,2023-04-28,28,0.17640834580608386,0.47279430078390294,0.6685208388551281,8.860769574819939,0.11285701445636805
FINAL_OPTIMIZER,2023-05-31,28,0.1851188191469324,0.5184303912987751,0.7246983563979373,7.945060776738306,0.1258643612806359
FINAL_OPTIMIZER,2023-06-30,28,0.18511881316035783,0.45102321282254343,0.6657967447384416,8.74978026348538,0.11428858438573643
FINAL_OPTIMIZER,2023-07-31,28,0.1580047060082611,0.423909068674331,0.6321875279072098,9.227880463156792,0.10836724684423438
FINAL_OPTIMIZER,2023-08-31,28,0.15511078929341568,0.41497848504715323,0.6485920214022536,9.137680097860594,0.10943696751149452
FINAL_OPTIMIZER,2023-09-29,28,0.20281128681526198,0.5183058670023037,0.7243884459010561,7.7961333521815375,0.12826871409532484
FINAL_OPTIMIZER,2023-10-31,28,0.20289185561597467,0.5502697606066751,0.7563523141692646,7.433171229023269,0.1345320818247048
FINAL_OPTIMIZER,2023-11-30,28,0.2028916203054956,0.5603175595766362,0.7663967097635617,7.192901542628832,0.1390259541401319
FINAL_OPTIMIZER,2023-12-29,28,0.20289161720678336,0.528147413118127,0.7691394825901937,7.033064602192761,0.1421855274425065
FINAL_OPTIMIZER,2024-01-31,28,0.2065903651850716,0.5318457575127837,0.7714866677373777,6.993174764151547,0.14299656933017116
FINAL_OPTIMIZER,2024-02-29,28,0.2151683289049585,0.47539663150322387,0.6814757455098346,8.723072126136003,0.11463851101308764
FINAL_OPTIMIZER,2024-03-28,28,0.21516832512550077,0.4672012158946931,0.666516144253574,8.867833830921313,0.11276711078111239
FINAL_OPTIMIZER,2024-04-30,28,0.21516832325141758,0.46720121141908555,0.6665162007203116,8.871065235402927,0.11272603384869367
FINAL_OPTIMIZER,2024-05-31,28,0.21516830947356058,0.5299962044102647,0.7113802245940644,8.04941924645468,0.12423256503137717
FINAL_OPTIMIZER,2024-06-28,28,0.21516824783744412,0.5354676158887057,0.7422163535294106,7.6994709458080415,0.12987905364386726
FINAL_OPTIMIZER,2024-07-31,28,0.20699663113019393,0.5205378316640124,0.6747520757559479,8.514519116763138,0.11744644486512798
FINAL_OPTIMIZER,2024-08-30,28,0.2051606534503971,0.4895990096997419,0.7118932313575592,8.428238484576486,0.11864875463953478
FINAL_OPTIMIZER,2024-09-30,28,0.20516160441384262,0.48959992971392463,0.711893851383051,8.333878296191555,0.11999215304799729
FINAL_OPTIMIZER,2024-10-31,28,0.20516136772439506,0.4865312979008291,0.6888474890863707,8.356144140762076,0.11967242105385707
FINAL_OPTIMIZER,2024-11-29,28,0.17104074536800462,0.45138861365185756,0.6537047958720694,8.969388829740485,0.11149031656250914
FINAL_OPTIMIZER,2024-12-31,28,0.168152350997437,0.4295942882956272,0.6319097270421735,9.220696049048321,0.10845168246308381
FINAL_OPTIMIZER,2025-01-31,29,0.16815233810097135,0.4291318488971998,0.613896599821075,9.339062340163471,0.10707713082708643
FINAL_OPTIMIZER,2025-02-28,29,0.16782685065109423,0.44552406525677324,0.6549970583965504,8.703647102301876,0.1148943641953874
FINAL_OPTIMIZER,2025-03-31,29,0.16471375250171938,0.44241106891437965,0.651884056990912,8.913567895056836,0.1121885211144873
FINAL_OPTIMIZER,2025-04-30,29,0.14516030966542243,0.41721486678518904,0.6266878361987656,9.305445250780737,0.1074639604070637
FINAL_OPTIMIZER,2025-05-30,29,0.17136534186107502,0.4226354044550795,0.6197193683746913,9.538384529983707,0.10483955609637266
FINAL_OPTIMIZER,2025-06-30,29,0.17575718675347385,0.43897685925210506,0.6534610101570859,8.628593789120584,0.11589373940176165
FINAL_OPTIMIZER,2025-07-31,29,0.1485826347046929,0.42928303885511576,0.6767483479311485,8.18689481774254,0.12214643308141838
FINAL_OPTIMIZER,2025-08-29,29,0.14858263075423409,0.4292830297908993,0.6701468990269049,8.287016892752474,0.12067068439000818
FINAL_OPTIMIZER,2025-09-30,29,0.14858262041997888,0.41479436884056464,0.6701469591652094,8.330109897671667,0.12004643543532457
FINAL_OPTIMIZER,2025-10-31,29,0.2024363638603461,0.4750691990958793,0.7069277154449582,7.447228072142638,0.1342781489049107
FINAL_OPTIMIZER,2025-11-28,29,0.20676141171729834,0.4763602804998214,0.708218785102546,7.414343187389887,0.1348737136555498
FINAL_OPTIMIZER,2025-12-31,29,0.2304050404522821,0.5000038906788902,0.7188353837417536,7.5523324249933355,0.13240942582064408
