canonical_ticker,asset_class,motor,sector,benchmark,market_symbol,fundamentals_symbol,sec_ticker,country,active,note
VZ,Acción USA/ADR,Fundamental,Comunicacion,XLC,VZ,VZ,VZ,Exterior,SI,Universo ampliado V6.1
T,Acción USA/ADR,Fundamental,Comunicacion,XLC,T,T,T,Exterior,SI,Universo ampliado V6.1
CMCSA,Acción USA/ADR,Fundamental,Comunicacion,XLC,CMCSA,CMCSA,CMCSA,Exterior,SI,Universo ampliado V6.1
CHTR,Acción USA/ADR,Fundamental,Comunicacion,XLC,CHTR,CHTR,CHTR,Exterior,SI,Universo ampliado V6.1
EA,Acción USA/ADR,Fundamental,Comunicacion,XLC,EA,EA,EA,Exterior,SI,Universo ampliado V6.1
TTWO,Acción USA/ADR,Fundamental,Comunicacion,XLC,TTWO,TTWO,TTWO,Exterior,SI,Universo ampliado V6.1
HON,Acción USA/ADR,Fundamental,Industrial,XLI,HON,HON,HON,Exterior,SI,Universo ampliado V6.1
RTX,Acción USA/ADR,Fundamental,Industrial,XLI,RTX,RTX,RTX,Exterior,SI,Universo ampliado V6.1
LMT,Acción USA/ADR,Fundamental,Industrial,XLI,LMT,LMT,LMT,Exterior,SI,Universo ampliado V6.1
NOC,Acción USA/ADR,Fundamental,Industrial,XLI,NOC,NOC,NOC,Exterior,SI,Universo ampliado V6.1
GD,Acción USA/ADR,Fundamental,Industrial,XLI,GD,GD,GD,Exterior,SI,Universo ampliado V6.1
DE,Acción USA/ADR,Fundamental,Industrial,XLI,DE,DE,DE,Exterior,SI,Universo ampliado V6.1
ETN,Acción USA/ADR,Fundamental,Industrial,XLI,ETN,ETN,ETN,Exterior,SI,Universo ampliado V6.1
PH,Acción USA/ADR,Fundamental,Industrial,XLI,PH,PH,PH,Exterior,SI,Universo ampliado V6.1
EMR,Acción USA/ADR,Fundamental,Industrial,XLI,EMR,EMR,EMR,Exterior,SI,Universo ampliado V6.1
ITW,Acción USA/ADR,Fundamental,Industrial,XLI,ITW,ITW,ITW,Exterior,SI,Universo ampliado V6.1
WM,Acción USA/ADR,Fundamental,Industrial,XLI,WM,WM,WM,Exterior,SI,Universo ampliado V6.1
UNP,Acción USA/ADR,Fundamental,Industrial,XLI,UNP,UNP,UNP,Exterior,SI,Universo ampliado V6.1
UPS,Acción USA/ADR,Fundamental,Industrial,XLI,UPS,UPS,UPS,Exterior,SI,Universo ampliado V6.1
FDX,Acción USA/ADR,Fundamental,Industrial,XLI,FDX,FDX,FDX,Exterior,SI,Universo ampliado V6.1
UBER,Acción USA/ADR,Fundamental,Industrial,XLI,UBER,UBER,UBER,Exterior,SI,Universo ampliado V6.1
XOM,Acción USA/ADR,Fundamental,Energia,XLE,XOM,XOM,XOM,Exterior,SI,Universo ampliado V6.1
COP,Acción USA/ADR,Fundamental,Energia,XLE,COP,COP,COP,Exterior,SI,Universo ampliado V6.1
EOG,Acción USA/ADR,Fundamental,Energia,XLE,EOG,EOG,EOG,Exterior,SI,Universo ampliado V6.1
SLB,Acción USA/ADR,Fundamental,Energia,XLE,SLB,SLB,SLB,Exterior,SI,Universo ampliado V6.1
OXY,Acción USA/ADR,Fundamental,Energia,XLE,OXY,OXY,OXY,Exterior,SI,Universo ampliado V6.1
MPC,Acción USA/ADR,Fundamental,Energia,XLE,MPC,MPC,MPC,Exterior,SI,Universo ampliado V6.1
VLO,Acción USA/ADR,Fundamental,Energia,XLE,VLO,VLO,VLO,Exterior,SI,Universo ampliado V6.1
PSX,Acción USA/ADR,Fundamental,Energia,XLE,PSX,PSX,PSX,Exterior,SI,Universo ampliado V6.1
KMI,Acción USA/ADR,Fundamental,Energia,XLE,KMI,KMI,KMI,Exterior,SI,Universo ampliado V6.1
WMB,Acción USA/ADR,Fundamental,Energia,XLE,WMB,WMB,WMB,Exterior,SI,Universo ampliado V6.1
LIN,Acción USA/ADR,Fundamental,Materiales,XLB,LIN,LIN,LIN,Exterior,SI,Universo ampliado V6.1
APD,Acción USA/ADR,Fundamental,Materiales,XLB,APD,APD,APD,Exterior,SI,Universo ampliado V6.1
SHW,Acción USA/ADR,Fundamental,Materiales,XLB,SHW,SHW,SHW,Exterior,SI,Universo ampliado V6.1
FCX,Acción USA/ADR,Fundamental,Materiales,XLB,FCX,FCX,FCX,Exterior,SI,Universo ampliado V6.1
NEM,Acción USA/ADR,Fundamental,Materiales,XLB,NEM,NEM,NEM,Exterior,SI,Universo ampliado V6.1
NUE,Acción USA/ADR,Fundamental,Materiales,XLB,NUE,NUE,NUE,Exterior,SI,Universo ampliado V6.1
STLD,Acción USA/ADR,Fundamental,Materiales,XLB,STLD,STLD,STLD,Exterior,SI,Universo ampliado V6.1
DOW,Acción USA/ADR,Fundamental,Materiales,XLB,DOW,DOW,DOW,Exterior,SI,Universo ampliado V6.1
