feature,family,research_status,horizon_sessions,direction,development_mean_spearman_ic,development_hac_t,development_fdr_q,validation_mean_spearman_ic,validation_aligned_ic,validation_aligned_hac_t,development_coverage,validation_coverage,validation_top_bottom_return_spread_mean,validation_top_bottom_return_spread_median,validation_winner_top_decile_lift,validation_rich_dates
rel_mom_120d,MARKET_TREND_RISK,VALIDATED,252,1,0.05493081045312326,2.636566783633254,0.029530506987786795,0.17817715000521858,0.17817715000521858,3.9609654345465146,0.9749497796615517,0.9896940592456699,0.23256918275800945,0.25814091570735564,2.0306718206261043,249.0
size_log_shares,SIZE,VALIDATED,252,-1,-0.15451582244820172,-8.632690381545123,1.1985097132325408e-16,-0.1654954280188729,0.1654954280188729,3.9232218463947977,0.5549752316445977,0.7299052141225562,0.0858152992394264,0.0819129021955145,1.271553277387183,249.0
fund_cash_assets,BALANCE_SHEET_OR_FRESHNESS,VALIDATED,252,1,0.1161423766996399,3.110812918940884,0.014415902974217626,0.08680786855643559,0.08680786855643559,3.477123778578144,0.5457788622332538,0.7171531862083851,0.10703498350223663,0.06084262584168071,2.0331279211473787,249.0
mom_skip_252_20,MARKET_TREND_RISK,VALIDATED,1,1,0.02263476187484838,4.806797115021264,1.7518900316785063e-05,0.03090865773223853,0.03090865773223853,3.3211329297408305,0.9518547914266916,0.978727149753083,-0.0017721775120318425,0.0007201560275544245,1.3115400567162419,500.0
mom_skip_120_20,MARKET_TREND_RISK,VALIDATED,252,1,0.053415979621420244,2.674842458583357,0.029530506987786795,0.1688086591742692,0.1688086591742692,3.2993344858426013,0.9749497796615517,0.9896940592456699,0.2178702589678138,0.2694444606843945,1.9958544921098509,249.0
fund_net_debt_assets,BALANCE_SHEET_OR_FRESHNESS,VALIDATED,252,-1,-0.060717858487416176,-2.2953400921070095,0.05428410421136165,-0.12007761703722107,0.12007761703722107,3.2021516332695565,0.42619030090133675,0.64184607636828,0.15830744575711275,0.1495456125589433,1.5840478117694123,249.0
growth_revenue_126s,FUNDAMENTAL_CHANGE,VALIDATED,120,1,0.05292311784322188,2.2045056643988192,0.08099884357243091,0.04536233855062821,0.04536233855062821,3.1303659148127174,0.2956412565303799,0.7031881400706868,0.02421088241727462,0.022699402544089357,1.3774460433121285,381.0
delta_ocf_assets_126s,FUNDAMENTAL_CHANGE,VALIDATED,120,1,0.04947081853602298,3.967235919420819,0.0008309829560963092,0.06592888302344811,0.06592888302344811,3.0566551662664354,0.5502616118782503,0.7347438510995042,0.0466128137337852,0.04114923036387558,1.430553262605974,381.0
trend_sma_120d,MARKET_TREND_RISK,VALIDATED,252,1,0.050901585181932184,2.737588350380806,0.029530506987786795,0.15440331201388843,0.15440331201388843,2.9544449996593993,0.9798697952272273,0.9910430043705822,0.21992309119172201,0.23761303983779267,1.817587679788344,249.0
growth_assets_252s,FUNDAMENTAL_CHANGE,VALIDATED,10,1,0.0245418828458102,2.184928606734265,0.08561209377034533,0.048975155435322125,0.048975155435322125,2.948899674914469,0.5653708375044234,0.7391070620190131,0.011291955005535793,0.0095515707641552,1.618400277805366,491.0
distance_low_252d,MARKET_TREND_RISK,VALIDATED,120,1,0.04777047954001241,2.653910523570746,0.04546566956934339,0.13982840680340164,0.13982840680340164,2.860081247191282,0.9603060006108906,0.9835587025488233,0.12320905674823675,0.1318102712341091,1.9912718113281325,381.0
quality_fcf_assets_reported,QUALITY,VALIDATED,1,1,0.012937980012880304,3.6659999759954855,0.0008569528597104861,0.01814069025157134,0.01814069025157134,2.807592035674431,0.44460133814194713,0.6171257562702097,0.00018521322450486234,0.0003148342101692114,1.0500485096982763,500.0
mom_5d,MARKET_TREND_RISK,VALIDATED,252,1,0.015644942395911375,2.6025989472766486,0.029530506987786795,0.045346118292358614,0.045346118292358614,2.768386071620692,0.9988599194371115,0.9992266047950503,0.0661528002114555,0.05789165657189746,1.431720385182455,249.0
mom_252d,MARKET_TREND_RISK,VALIDATED,20,1,0.03736286547717646,2.487495969409168,0.08576480619632605,0.07550392654100554,0.07550392654100554,2.73150802010823,0.9516855149662022,0.9788206539520025,0.011410454511069288,0.013679858281692207,1.414113225125301,481.0
rel_mom_252d,MARKET_TREND_RISK,VALIDATED,20,1,0.0373628785675932,2.4874923805584017,0.08576480619632605,0.07550387004604843,0.07550387004604843,2.7315065320945773,0.9516855149662022,0.9788206539520025,0.011410454511069288,0.013679858281692207,1.414113225125301,481.0
growth_revenue_252s,FUNDAMENTAL_CHANGE,VALIDATED,20,1,0.043805949251844556,2.67276753939054,0.060182688535033634,0.0521957015800998,0.0521957015800998,2.6416904246522024,0.2819757553414073,0.7064625392121013,0.014150725285522261,0.011933433706659294,1.5561291481818535,481.0
drawdown_high_60d,MARKET_TREND_RISK,VALIDATED,1,1,0.015025446477355158,3.4878814736690247,0.00148310978025462,0.02031900208775839,0.02031900208775839,2.5925820235200887,0.9902061884823269,0.9953674106605146,-0.0026739936840697244,8.830618335421204e-06,0.7002732493925716,499.0
