date,nav,net_return,gross_return,turnover,cost_fraction,execution_skipped,holdings,cash_weight
2023-09-08,1.3328580467727704,-0.004163442728333577,-0.0033821869567809363,0.39195354594714066,0.0007839070918942814,0,15,0.0
2023-09-11,1.3343237205176226,0.001099647294324324,0.0010996472943243707,0.0,0.0,0,15,0.0
2023-09-12,1.310644548040203,-0.017746197653020657,-0.017746197653020754,0.0,0.0,0,15,0.0
2023-09-13,1.3106970157193611,4.003196689494892e-05,4.00319668950432e-05,0.0,0.0,0,15,0.0
2023-09-14,1.3171145242344862,0.004896256295817469,0.004896256295817393,0.0,0.0,0,15,0.0
2023-09-15,1.2814354545798257,-0.02708881346168235,-0.027088813461682328,0.0,0.0,0,15,0.0
2023-09-18,1.287493347253838,0.0047274270837140975,0.004727427083714088,0.0,0.0,0,15,0.0
2023-09-19,1.2828179478770216,-0.003631396920837471,-0.0036313969208374326,0.0,0.0,0,15,0.0
2023-09-20,1.2698202508704368,-0.010132144649281805,-0.010132144649281761,0.0,0.0,0,15,0.0
2023-09-21,1.242229418916556,-0.021728139817401626,-0.02172813981740162,0.0,0.0,0,15,0.0
2023-09-22,1.256668333702931,0.011623388213562347,0.011623388213562388,0.0,0.0,0,15,0.0
2023-09-25,1.2623040904226412,0.004484681095690446,0.0044846810956904294,0.0,0.0,0,15,0.0
2023-09-26,1.2392624484719301,-0.018253638030275576,-0.018253638030275587,0.0,0.0,0,15,0.0
2023-09-27,1.252644384566778,0.010798306776218736,0.010798306776218717,0.0,0.0,0,15,0.0
2023-09-28,1.281244923533076,0.022832129628066244,0.022832129628066213,0.0,0.0,0,15,0.0
2023-09-29,1.2804371864331328,-0.0006304314538987388,-0.0006304314538986884,0.0,0.0,0,15,0.0
2023-10-02,1.2866253830000884,0.00483287788930431,0.0048328778893043005,0.0,0.0,0,15,0.0
2023-10-03,1.2536616321100256,-0.025620317557547012,-0.02562031755754711,0.0,0.0,0,15,0.0
2023-10-04,1.269704521988242,0.0127968260871274,0.012796826087127452,0.0,0.0,0,15,0.0
2023-10-05,1.2660849521359672,-0.0028507182494764693,-0.002850718249476485,0.0,0.0,0,15,0.0
2023-10-06,1.299993355504487,0.026782091763521976,0.0267820917635219,0.0,0.0,0,15,0.0
2023-10-09,1.3079266628953932,0.006102575338031269,0.006102575338031201,0.0,0.0,0,15,0.0
2023-10-10,1.325366015673105,0.013333586104213202,0.013333586104213188,0.0,0.0,0,15,0.0
2023-10-11,1.339979386773718,0.011025913542223487,0.011025913542223462,0.0,0.0,0,15,0.0
2023-10-12,1.3351789028473124,-0.003582505801050906,-0.0035825058010509076,0.0,0.0,0,15,0.0
2023-10-13,1.3059321219637519,-0.02190476558698684,-0.021904765586986785,0.0,0.0,0,15,0.0
2023-10-16,1.3288472006987346,0.01754691407737563,0.017546914077375624,0.0,0.0,0,15,0.0
2023-10-17,1.3271751988715579,-0.0012582348266207966,-0.0012582348266207703,0.0,0.0,0,15,0.0
2023-10-18,1.3001572845670097,-0.020357458704412412,-0.02035745870441236,0.0,0.0,0,15,0.0
2023-10-19,1.2725472358341101,-0.02123592972991306,-0.021235929729913068,0.0,0.0,0,15,0.0
2023-10-20,1.245371974247688,-0.021355012074353086,-0.021355012074352923,0.0,0.0,0,15,0.0
2023-10-23,1.2409967699883357,-0.0035131706428477294,-0.003513170642847683,0.0,0.0,0,15,0.0
2023-10-24,1.2586682084393257,0.01423971349349773,0.01423971349349763,0.0,0.0,0,15,0.0
2023-10-25,1.219202360947931,-0.03135524296774761,-0.031355242967747776,0.0,0.0,0,15,0.0
2023-10-26,1.2139232910385451,-0.004329937407012041,-0.004329937407011996,0.0,0.0,0,15,0.0
2023-10-27,1.225192200967979,0.009283049441940472,0.00928304944194053,0.0,0.0,0,15,0.0
2023-10-30,1.198558444627847,-0.021738431177646733,-0.021738431177646848,0.0,0.0,0,15,0.0
2023-10-31,1.2299514835698508,0.026192330530657948,0.026192330530657955,0.0,0.0,0,15,0.0
2023-11-01,1.2500908294188806,0.016374097773821594,0.016374097773821532,0.0,0.0,0,15,0.0
2023-11-02,1.2679934955834038,0.014321092310424666,0.01432109231042464,0.0,0.0,0,15,0.0
2023-11-03,1.2909192452127902,0.018080336933304464,0.018080336933304457,0.0,0.0,0,15,0.0
2023-11-06,1.2864547541493883,-0.003458381366578833,-0.0029911324552090407,0.2343253538559057,0.0004686507077118114,0,15,0.0
2023-11-07,1.3073812402998646,0.01626678752826649,0.016266787528266553,0.0,0.0,0,15,0.0
2023-11-08,1.3102828587073145,0.002219412607438409,0.0022194126074384386,0.0,0.0,0,15,0.0
2023-11-09,1.303047817665418,-0.005521739824204341,-0.005521739824204229,0.0,0.0,0,15,0.0
2023-11-10,1.3374572714787223,0.026406900304666747,0.02640690030466679,0.0,0.0,0,15,0.0
2023-11-13,1.340650092536272,0.002387232194730027,0.0023872321947300944,0.0,0.0,0,15,0.0
2023-11-14,1.3817265607045015,0.03063921630029509,0.03063921630029508,0.0,0.0,0,15,0.0
2023-11-15,1.3711732373790215,-0.007637779880339868,-0.00763777988033986,0.0,0.0,0,15,0.0
2023-11-16,1.3629481393794156,-0.005998584114234928,-0.005998584114234931,0.0,0.0,0,15,0.0
2023-11-17,1.370996144413367,0.005904850523231087,0.005904850523231096,0.0,0.0,0,15,0.0
2023-11-20,1.3980195654403391,0.019710792869177096,0.019710792869177037,0.0,0.0,0,15,0.0
2023-11-21,1.3882239266944245,-0.007006796605760868,-0.007006796605760906,0.0,0.0,0,15,0.0
2023-11-22,1.3912274075219966,0.0021635420408894213,0.0021635420408894204,0.0,0.0,0,15,0.0
2023-11-24,1.3986718315913251,0.005350975713300787,0.005350975713300831,0.0,0.0,0,15,0.0
2023-11-27,1.3995427884206824,0.0006227027739353908,0.0006227027739353721,0.0,0.0,0,15,0.0
2023-11-28,1.3961622737217776,-0.0024154421907454093,-0.0024154421907453694,0.0,0.0,0,15,0.0
2023-11-29,1.4140314638613452,0.012798791713468427,0.012798791713468425,0.0,0.0,0,15,0.0
2023-11-30,1.4145439756758817,0.0003624472493257702,0.0003624472493257093,0.0,0.0,0,15,0.0
2023-12-01,1.4319255219359397,0.012287738351685284,0.012287738351685343,0.0,0.0,0,15,0.0
2023-12-04,1.407633259225182,-0.016964752941839523,-0.016964752941839488,0.0,0.0,0,15,0.0
2023-12-05,1.4112198894707513,0.00254798628979791,0.0025479862897978484,0.0,0.0,0,15,0.0
2023-12-06,1.3810193367081767,-0.021400316837867583,-0.021400316837867597,0.0,0.0,0,15,0.0
2023-12-07,1.4000932337493788,0.013811462688615883,0.01381146268861587,0.0,0.0,0,15,0.0
2023-12-08,1.4064550181744828,0.004543829133483834,0.004543829133483851,0.0,0.0,0,15,0.0
2023-12-11,1.4474929701274475,0.02917828968766467,0.029178289687664633,0.0,0.0,0,15,0.0
2023-12-12,1.4555326234458816,0.005554191615677606,0.005554191615677667,0.0,0.0,0,15,0.0
2023-12-13,1.4824308851611652,0.01848001293959567,0.018480012939595777,0.0,0.0,0,15,0.0
2023-12-14,1.4990597326038062,0.011217283455905003,0.01121728345590499,0.0,0.0,0,15,0.0
2023-12-15,1.508302904588149,0.006165979769390484,0.006165979769390383,0.0,0.0,0,15,0.0
2023-12-18,1.5041788798326607,-0.002734215218271663,-0.0027342152182716936,0.0,0.0,0,15,0.0
2023-12-19,1.511082978568225,0.004589945270560003,0.004589945270559926,0.0,0.0,0,15,0.0
2023-12-20,1.4804855743123573,-0.02024865919994623,-0.020248659199946256,0.0,0.0,0,15,0.0
2023-12-21,1.5030253681439363,0.015224595377802297,0.015224595377802361,0.0,0.0,0,15,0.0
2023-12-22,1.5017121362468562,-0.0008737257034469037,-0.0008737257034469103,0.0,0.0,0,15,0.0
2023-12-26,1.515572608298819,0.009229779607830446,0.009229779607830358,0.0,0.0,0,15,0.0
2023-12-27,1.512030668130111,-0.002337031000239409,-0.0023370310002394177,0.0,0.0,0,15,0.0
2023-12-28,1.5051595568008231,-0.004544293627182339,-0.0045442936271821764,0.0,0.0,0,15,0.0
2023-12-29,1.4942971494571493,-0.007216781300423469,-0.007216781300423483,0.0,0.0,0,15,0.0
2024-01-02,1.451375460404411,-0.028723663876579764,-0.028723663876579715,0.0,0.0,0,15,0.0
2024-01-03,1.4297051366779272,-0.014930887504771118,-0.014930887504771074,0.0,0.0,0,15,0.0
2024-01-04,1.4123021365574762,-0.012172440088512815,-0.01217244008851267,0.0,0.0,0,15,0.0
2024-01-05,1.40896358980602,-0.0023639040578059545,-0.00236390405780596,0.0,0.0,0,15,0.0
