ensemble,top_n,policy,hold_floor,score_edge
ALL_LONG,5,MONTHLY,,
ALL_LONG,5,WEEKLY,,
ALL_LONG,5,DAILY,,
ALL_LONG,5,EVENT_LOOSE,0.7,0.03
ALL_LONG,5,EVENT_BALANCED,0.8,0.05
ALL_LONG,5,EVENT_STRICT,0.85,0.1
ALL_LONG,10,MONTHLY,,
ALL_LONG,10,WEEKLY,,
ALL_LONG,10,DAILY,,
ALL_LONG,10,EVENT_LOOSE,0.7,0.03
ALL_LONG,10,EVENT_BALANCED,0.8,0.05
ALL_LONG,10,EVENT_STRICT,0.85,0.1
ALL_LONG,15,MONTHLY,,
ALL_LONG,15,WEEKLY,,
ALL_LONG,15,DAILY,,
ALL_LONG,15,EVENT_LOOSE,0.7,0.03
ALL_LONG,15,EVENT_BALANCED,0.8,0.05
ALL_LONG,15,EVENT_STRICT,0.85,0.1
ALL_LONG,20,MONTHLY,,
ALL_LONG,20,WEEKLY,,
ALL_LONG,20,DAILY,,
ALL_LONG,20,EVENT_LOOSE,0.7,0.03
ALL_LONG,20,EVENT_BALANCED,0.8,0.05
ALL_LONG,20,EVENT_STRICT,0.85,0.1
ALL_MEDIUM,5,MONTHLY,,
ALL_MEDIUM,5,WEEKLY,,
ALL_MEDIUM,5,DAILY,,
ALL_MEDIUM,5,EVENT_LOOSE,0.7,0.03
ALL_MEDIUM,5,EVENT_BALANCED,0.8,0.05
ALL_MEDIUM,5,EVENT_STRICT,0.85,0.1
ALL_MEDIUM,10,MONTHLY,,
ALL_MEDIUM,10,WEEKLY,,
ALL_MEDIUM,10,DAILY,,
ALL_MEDIUM,10,EVENT_LOOSE,0.7,0.03
ALL_MEDIUM,10,EVENT_BALANCED,0.8,0.05
ALL_MEDIUM,10,EVENT_STRICT,0.85,0.1
ALL_MEDIUM,15,MONTHLY,,
ALL_MEDIUM,15,WEEKLY,,
ALL_MEDIUM,15,DAILY,,
ALL_MEDIUM,15,EVENT_LOOSE,0.7,0.03
ALL_MEDIUM,15,EVENT_BALANCED,0.8,0.05
ALL_MEDIUM,15,EVENT_STRICT,0.85,0.1
ALL_MEDIUM,20,MONTHLY,,
ALL_MEDIUM,20,WEEKLY,,
ALL_MEDIUM,20,DAILY,,
ALL_MEDIUM,20,EVENT_LOOSE,0.7,0.03
ALL_MEDIUM,20,EVENT_BALANCED,0.8,0.05
ALL_MEDIUM,20,EVENT_STRICT,0.85,0.1
