feature,family,horizon_sessions,development_coverage,development_fdr_q,development_mean_spearman_ic,development_direction,abs_development_ic,development_priority_rank,kept_after_correlation_prune,correlated_with
quality_accruals_assets_reported,QUALITY,120,0.5519554446608566,0.0585047334600686,-0.0384225258397156,-1,0.0384225258397156,19,True,
drawdown_high_60d,MARKET_TREND_RISK,120,0.9899917093430548,0.0744004970947728,0.0489920071478241,1,0.0489920071478241,20,True,
mom_skip_60_5,MARKET_TREND_RISK,120,0.9873795573820564,0.0744004970947728,0.0419623303105555,1,0.0419623303105555,21,True,
drawdown_high_252d,MARKET_TREND_RISK,120,0.9603060006108906,0.0755673781578065,0.0652149652266993,1,0.0652149652266993,22,True,
rel_mom_60d,MARKET_TREND_RISK,120,0.9873795573820564,0.0809988435724309,0.0407696880033171,1,0.0407696880033171,23,True,
mom_60d,MARKET_TREND_RISK,120,0.9873795573820564,0.0809988435724309,0.0407694399785449,1,0.0407694399785449,24,False,rel_mom_60d
drawdown_high_20d,MARKET_TREND_RISK,120,0.9967134883831632,0.0952259514627545,0.0355903325995054,1,0.0355903325995054,25,True,
delta_profit_assets_126s,FUNDAMENTAL_CHANGE,120,0.5570984287420019,0.0952259514627545,0.0273793101185945,1,0.0273793101185945,26,True,
fund_latest_update_age_days,BALANCE_SHEET_OR_FRESHNESS,120,0.5898366066222118,0.0952259514627545,-0.0247237351587225,-1,0.0247237351587225,27,True,
fund_update_count_60d,BALANCE_SHEET_OR_FRESHNESS,252,1.0,1.1157114146292178e-23,0.1648656669611627,1,0.1648656669611627,1,True,
fund_update_count_20d,BALANCE_SHEET_OR_FRESHNESS,252,1.0,1.2073182891788984e-23,0.0766093062151211,1,0.0766093062151211,2,True,
size_log_market_cap,SIZE,252,0.5549752316445977,9.817084131390975e-21,-0.2047453932831157,-1,0.2047453932831157,3,True,
size_log_shares,SIZE,252,0.5549752316445977,1.1985097132325408e-16,-0.1545158224482017,-1,0.1545158224482017,4,True,
size_log_assets,SIZE,252,0.5568346988357296,1.1146395239111047e-10,-0.1809673394322741,-1,0.1809673394322741,5,True,
fund_cash_assets,BALANCE_SHEET_OR_FRESHNESS,252,0.5457788622332538,0.0144159029742176,0.1161423766996399,1,0.1161423766996399,6,True,
skew_60d,MARKET_TREND_RISK,252,0.9894384787707324,0.0273411310559788,-0.03263153043998,-1,0.03263153043998,7,True,
trend_sma_20d,MARKET_TREND_RISK,252,0.9966092068867596,0.0287640848391916,0.0274336374905618,1,0.0274336374905618,8,True,
rel_mom_120d,MARKET_TREND_RISK,252,0.9749497796615516,0.0295305069877867,0.0549308104531232,1,0.0549308104531232,9,True,
mom_120d,MARKET_TREND_RISK,252,0.9749497796615516,0.0295305069877867,0.0549306527359546,1,0.0549306527359546,10,False,rel_mom_120d
mom_skip_120_20,MARKET_TREND_RISK,252,0.9749497796615516,0.0295305069877867,0.0534159796214202,1,0.0534159796214202,11,True,
trend_sma_120d,MARKET_TREND_RISK,252,0.9798697952272272,0.0295305069877867,0.0509015851819321,1,0.0509015851819321,12,True,
fund_equity_assets,BALANCE_SHEET_OR_FRESHNESS,252,0.548452372187924,0.0295305069877867,0.0442480670450818,1,0.0442480670450818,13,True,
rel_mom_60d,MARKET_TREND_RISK,252,0.986960591495672,0.0295305069877867,0.0441343273670596,1,0.0441343273670596,14,True,
mom_60d,MARKET_TREND_RISK,252,0.986960591495672,0.0295305069877867,0.0441342796542264,1,0.0441342796542264,15,False,rel_mom_60d
mom_skip_60_5,MARKET_TREND_RISK,252,0.986960591495672,0.0295305069877867,0.0434466882619702,1,0.0434466882619702,16,True,
mom_20d,MARKET_TREND_RISK,252,0.9954922644902768,0.0295305069877867,0.0285606535712522,1,0.0285606535712522,17,True,
rel_mom_20d,MARKET_TREND_RISK,252,0.9954922644902768,0.0295305069877867,0.0285606456245742,1,0.0285606456245742,18,False,mom_20d
mom_10d,MARKET_TREND_RISK,252,0.9977345631619357,0.0295305069877867,0.0223662044650817,1,0.0223662044650817,19,True,
mom_5d,MARKET_TREND_RISK,252,0.9988599194371116,0.0295305069877867,0.0156449423959113,1,0.0156449423959113,20,True,
mom_1d,MARKET_TREND_RISK,252,0.9997749287449648,0.0295305069877867,0.0079851909560919,1,0.0079851909560919,21,True,
trend_sma_60d,MARKET_TREND_RISK,252,0.9896488257380548,0.0315527509213308,0.039520381443835,1,0.039520381443835,22,True,
mom_skip_20_5,MARKET_TREND_RISK,252,0.9954922644902768,0.0315527509213308,0.0248900311013321,1,0.0248900311013321,23,True,
mom_40d,MARKET_TREND_RISK,252,0.991129668388006,0.0372515840069796,0.0368770715713139,1,0.0368770715713139,24,True,
trend_sma_252d,MARKET_TREND_RISK,252,0.9593125861107896,0.0487090116305728,0.057710310439518,1,0.057710310439518,25,True,
quality_accruals_assets_reported,QUALITY,252,0.5412185399816998,0.0858381343345959,-0.0370743270313774,-1,0.0370743270313774,26,True,
