ensemble,top_n,policy,hold_floor,score_edge,oof_total_return_20bps,oof_cagr_20bps,worst_fold_cagr_20bps,worst_fold_max_drawdown_20bps,mean_annual_turnover_20bps,total_trade_days_20bps,max_execution_skip_rate,oof_total_return_40bps,oof_cagr_40bps,worst_fold_cagr_40bps,positive_each_oof_fold,stress_oof_positive,drawdown_ok,execution_ok,qualified,return_first_rank
SHORT_20_60,5,WEEKLY,,,1.704469342884082,0.28239116026053424,-0.09410650567953904,-0.4187931907125221,13.402459492012206,209,0.0,1.429230648560373,0.24843859988684502,-0.11917654173057224,False,True,True,True,False,77.0
ALL_EQUAL,10,EVENT_LOOSE,0.7,0.03,1.678195506529871,0.27926515103767335,-0.06312864559189812,-0.4465435706974341,3.5113801464749987,119,0.0,1.6039084148022846,0.27030037492015535,-0.06661298507063174,False,True,True,True,False,78.0
MEDIUM_60_120,10,EVENT_STRICT,0.85,0.1,1.677102060435308,0.2791345573511912,-0.09408195701521449,-0.4443186517505455,2.2727494472127567,73,0.0,1.628783889431248,0.27332340264309374,-0.09562720364004917,False,True,True,True,False,79.0
H252,5,WEEKLY,,,1.6738500176755866,0.27874591914613256,-0.12710239322722472,-0.5049357952472149,9.551510015622071,209,0.0,1.4768830760809846,0.2545164962354822,-0.13984442912144968,False,True,False,True,False,80.0
H120,10,EVENT_STRICT,0.85,0.1,1.6718942107051071,0.27851201798596215,-0.12813344763837853,-0.4924418281201568,2.3269191461635446,66,0.0,1.6225287715141348,0.2725652664437239,-0.12967693271009684,False,True,True,True,False,81.0
ALL_LONG,5,WEEKLY,,,1.6682203463222711,0.278072301507877,-0.1900724202564108,-0.6048626638848674,8.746583306897833,209,0.0,1.487650357375201,0.2558776593804415,-0.20012782849732436,False,True,False,True,False,82.0
ALL_MEDIUM,20,EVENT_STRICT,0.85,0.1,1.66617911660602,0.2778277950969894,-0.04851632502936776,-0.4237890295508173,2.8870138295856225,164,0.0,1.6052310839363955,0.2704616581602566,-0.05145668657514457,False,True,True,True,False,83.0
ALL_MEDIUM,20,EVENT_BALANCED,0.8,0.05,1.649887364032161,0.27587125658501854,-0.059311308997265444,-0.4345581732592342,3.049173180208575,183,0.0,1.5859532124875266,0.2681048563669779,-0.06246051976010636,False,True,True,True,False,84.0
ALL_EQUAL,15,EVENT_BALANCED,0.8,0.05,1.6495857844250468,0.2758349537990803,-0.06238497538513266,-0.3910515312663637,2.34815441293048,105,0.0,1.6002058035554962,0.2698485600142866,-0.06443378134338229,False,True,True,True,False,85.0
MEDIUM_60_120,20,MONTHLY,,,1.6465434892097628,0.2754685626632041,-0.03583149255584939,-0.439810655368423,3.442994894337118,48,0.0,1.5745565891343274,0.26670536665940503,-0.04164299870219634,False,True,True,True,False,86.0
ALL_EQUAL,10,MONTHLY,,,1.6463620555364202,0.27544670217829914,-0.1001286369352451,-0.4421428473949436,3.59049422303947,48,0.0,1.571342927836613,0.26630989381377423,-0.10604844953804082,False,True,True,True,False,87.0
ALL_EQUAL,20,EVENT_BALANCED,0.8,0.05,1.6461768772056575,0.2754243893499524,-0.039850056750525886,-0.37899824888159206,2.5343271430958128,149,0.0,1.593002992100716,0.2689682454303559,-0.042556045939707854,False,True,True,True,False,88.0
ALL_MEDIUM,5,WEEKLY,,,1.6429158822006076,0.27503126785799314,-0.14231509728258318,-0.5542549477304113,8.616596944056468,209,0.0,1.4666599804319187,0.25322001392642535,-0.15396955498331188,False,True,False,True,False,89.0
H60,15,WEEKLY,,,1.6417807854597726,0.27489434361831067,-0.006131493173744507,-0.4096594827374098,9.953797975121471,209,0.0,1.4394093285623337,0.24974431561727162,-0.024483813177722302,False,True,True,True,False,90.0
LONG_120_252,5,EVENT_BALANCED,0.8,0.05,1.6364395314677571,0.2742494468545029,-0.17155781785966928,-0.542262162576093,1.432370455809214,26,0.0,1.6063279177995429,0.27059535699298864,-0.17197338172618248,False,True,False,True,False,91.0
H120,10,WEEKLY,,,1.6349641835199153,0.2740711423720983,-0.12564883247623648,-0.5131513490579411,9.341621260832245,209,0.0,1.4450760031952377,0.2504694638671776,-0.1409140941776218,False,True,False,True,False,92.0
ALL_MEDIUM,20,MONTHLY,,,1.6343698149814676,0.2739992882770561,-0.025206413461032695,-0.4141827608646258,3.070495326951754,48,0.0,1.5703767476742603,0.26619092330234717,-0.030427780256502945,False,True,True,True,False,93.0
H60,20,WEEKLY,,,1.618836330979974,0.2721170964738344,-0.02555652515734641,-0.3937355112918005,9.385623398702391,209,0.0,1.4292587700746733,0.2484422129475845,-0.042655278962632326,False,True,True,True,False,94.0
ALL_MEDIUM,20,DAILY,,,1.6076712527050354,0.2707590456528579,-0.052549682632506256,-0.43333682196969414,19.2121890187749,1006,0.0,1.2359332310566775,0.22282612228955423,-0.0825537515560939,False,True,True,True,False,95.0
ALL_EQUAL,5,EVENT_STRICT,0.85,0.1,1.606971379955163,0.2706737723316426,-0.18112585340156362,-0.548956029784194,1.0233795648202484,16,0.0,1.58567481694738,0.2680707249499712,-0.18193257576676425,False,True,False,True,False,96.0
ALL_EQUAL,10,WEEKLY,,,1.5985523057251876,0.2696466343890458,-0.09636302068045832,-0.47050018748075684,8.488785542724738,209,0.0,1.4278061001855673,0.24825553241957232,-0.11031983440416016,False,True,True,True,False,97.0
H120,20,EVENT_STRICT,0.85,0.1,1.5980327785926725,0.2695831696924409,-0.06910004737365683,-0.45704089817287763,4.190430647411951,236,0.0,1.5122644478020222,0.25897277335641156,-0.07262616566219726,False,True,True,True,False,98.0
ALL_EQUAL,20,EVENT_LOOSE,0.7,0.03,1.5959276810491918,0.2693259165040329,-0.05092350820007663,-0.38641132313617554,4.279131871648568,262,0.0,1.508465202339806,0.25849652357895825,-0.05544885091416518,False,True,True,True,False,99.0
ALL_LONG,10,EVENT_LOOSE,0.7,0.03,1.5931432004534156,0.26898539893348583,-0.11087997431309982,-0.4454634784184278,3.358822623187823,108,0.0,1.5242900050605845,0.2604766704057828,-0.11376641428643908,False,True,True,True,False,100.0
ALL_EQUAL,20,WEEKLY,,,1.5879632667151506,0.2683512081633712,-0.05937307790221469,-0.42231290956465595,6.780528544946311,209,0.0,1.4512281448250985,0.25125531030653714,-0.0708818961676223,False,True,True,True,False,101.0
MEDIUM_60_120,20,WEEKLY,,,1.5829502469048609,0.2677365458869556,-0.03104102563608102,-0.4108759315119018,8.51860565682182,209,0.0,1.4126533052937411,0.24630325628922245,-0.045678109105617426,False,True,True,True,False,102.0
ALL_MEDIUM,15,EVENT_LOOSE,0.7,0.03,1.5826120926212695,0.267695051515181,-0.02397180553001166,-0.4065196822942776,4.30463582532807,202,0.0,1.4950804863898113,0.2568143765923361,-0.02849061420712906,False,True,True,True,False,103.0
ALL_LONG,10,EVENT_BALANCED,0.8,0.05,1.5743115038294038,0.2666752195308184,-0.14116778996216162,-0.47901772194360903,1.9888960379991336,62,0.0,1.5335981670650356,0.2616370493596569,-0.14219298946144687,False,True,True,True,False,104.0
SHORT_20_60,5,EVENT_LOOSE,0.7,0.03,1.572991384600448,0.2665127990188012,-0.04983768906202557,-0.431649827448107,3.536343448629271,65,0.0,1.5011331278966544,0.257575888761304,-0.05487919047631484,False,True,True,True,False,105.0
MEDIUM_60_120,15,EVENT_LOOSE,0.7,0.03,1.5719119050957069,0.266379939095001,-0.08104574834492329,-0.4299770800366649,5.769075955184009,266,0.0,1.4557813849511598,0.2518359683757092,-0.08742377058554929,False,True,True,True,False,106.0
MEDIUM_60_120,10,EVENT_BALANCED,0.8,0.05,1.5694750365450405,0.266079860918345,-0.10386334927916996,-0.44831162747894515,2.715293230359115,88,0.0,1.514183635310987,0.2592131454392852,-0.10638506331753372,False,True,True,True,False,107.0
ALL_LONG,20,EVENT_LOOSE,0.7,0.03,1.5636424738154338,0.2653607661294173,-0.059665631831888444,-0.41488448876630146,4.300869079791128,260,0.0,1.4768387678099097,0.2545108857738494,-0.0642763447957787,False,True,True,True,False,108.0
ALL_MEDIUM,15,EVENT_STRICT,0.85,0.1,1.5601164367562035,0.2649254468436393,-0.07841507899877365,-0.4443918895575938,2.165689633928713,97,0.0,1.516072025606921,0.2594495259871903,-0.07994762163657443,False,True,True,True,False,109.0
MEDIUM_60_120,15,WEEKLY,,,1.5600274942584478,0.26491446032239496,-0.058354001757315754,-0.4334691448793031,8.933902242090046,209,0.0,1.3832879544502092,0.2424935116232747,-0.07284919832670977,False,True,True,True,False,110.0
LONG_120_252,5,WEEKLY,,,1.5556320534800796,0.2643711614758222,-0.17255730272958358,-0.5711160274341298,9.195103217302105,209,0.0,1.3741890141103146,0.24130590899652904,-0.18575394038528137,False,True,False,True,False,111.0
H120,20,EVENT_BALANCED,0.8,0.05,1.5524190919503207,0.26397357954291145,-0.0748039848078822,-0.4491233384814435,4.556352707922818,252,0.0,1.4609327023959748,0.25249192437384194,-0.07867594426776237,False,True,True,True,False,112.0
ALL_EQUAL,15,EVENT_STRICT,0.85,0.1,1.5514707494702669,0.26385615692889597,-0.06658413855009626,-0.39886853845184966,1.9339781697251786,84,0.0,1.512236002222544,0.25896920960318326,-0.0680587592761841,False,True,True,True,False,113.0
ALL_EQUAL,20,MONTHLY,,,1.5493064560436065,0.2635880540996829,-0.057298345133420026,-0.4220866057659597,2.7252742450394996,48,0.0,1.4942778088437536,0.2567132838209143,-0.06214448775189785,False,True,True,True,False,114.0
ALL_EQUAL,5,WEEKLY,,,1.5469905825154733,0.2633009850882153,-0.14452319208145636,-0.5588867087469944,11.496093606975114,209,0.0,1.3229851416706695,0.23455831248286496,-0.16324825293927925,False,True,False,True,False,115.0
