date,ticker,market_source,research_eligible,prev_close,close,raw_return_1d,prev_adj_close,adj_close,adj_return_1d,raw_vs_adj_gap,adjusted_pair_available,likely_corporate_action_where_adjusted
2018-01-05,CNXR,DELISTED,True,0.1599999964237213,0.34049999713897705,1.1281250296859078,0.1599999964237213,0.34049999713897705,1.1281250296859078,0.0,True,False
2021-06-15,GROM,DELISTED,True,2838.0,6000.0,1.1141649048625792,2838.0,6000.0,1.1141649048625792,0.0,True,False
2025-05-21,GROM,DELISTED,True,0.0008999999845400453,0.0019000000320374966,1.1111111829724223,0.0008999999845400453,0.0019000000320374966,1.1111111829724223,0.0,True,False
2017-02-14,ZAIS,DELISTED,True,2.049999952316284,4.320000171661377,1.107317205924923,2.049999952316284,4.320000171661377,1.107317205924923,0.0,True,False
2024-11-15,LTCH,DELISTED,True,0.4000000059604645,0.8399999737739563,1.0999999031424537,0.4000000059604645,0.8399999737739563,1.0999999031424537,0.0,True,False
2020-06-09,PROP,DELISTED,True,17.647058486938477,36.764705657958984,1.0833333603541062,17.647058486938477,36.764705657958984,1.0833333603541062,0.0,True,False
2023-03-08,NORD,DELISTED,True,6.0,12.5,1.0833333333333335,6.0,12.5,1.0833333333333335,0.0,True,False
2016-06-29,TSRO,DELISTED,True,37.209999084472656,77.4000015258789,1.0800860905738943,37.209999084472656,77.4000015258789,1.0800860905738943,0.0,True,False
2025-06-23,RTCJF,DELISTED,True,0.9200000166893005,1.909999966621399,1.0760868825793053,0.9200000166893005,1.909999966621399,1.0760868825793053,0.0,True,False
2026-06-01,AREB,DELISTED,True,0.05299999937415123,0.10999999940395355,1.075471711375188,0.05299999937415123,0.10999999940395355,1.075471711375188,0.0,True,False
2020-01-02,PROP,DELISTED,True,70.5882339477539,146.4705810546875,1.0749999378522226,70.5882339477539,146.4705810546875,1.0749999378522226,0.0,True,False
2026-06-08,SMTK,DELISTED,True,20.450000762939453,42.0,1.0537896544294791,20.450000762939453,42.0,1.0537896544294791,0.0,True,False
2018-10-31,INTX,DELISTED,True,1.7300000190734863,3.5399999618530273,1.046242729956095,1.7300000190734863,3.5399999618530273,1.046242729956095,0.0,True,False
2022-08-30,MGAM,DELISTED,True,2.5999999046325684,5.300000190734863,1.0384616865914302,2.5999999046325684,5.300000190734863,1.0384616865914302,0.0,True,False
2018-01-09,FLNA,DELISTED,True,4.449999809265137,9.039999961853027,1.0314607526569475,4.449999809265137,9.039999961853027,1.0314607526569475,0.0,True,False
2019-10-25,KEEL,PRIMARY,True,0.38999998569488525,0.7820000052452087,1.0051282921251259,,,,,False,False
2017-03-08,MRDN,DELISTED,True,1.7999999523162842,3.5999999046325684,1.0,1.7999999523162842,3.5999999046325684,1.0,0.0,True,False
2017-04-11,MRDN,DELISTED,True,1.7999999523162842,3.5999999046325684,1.0,1.7999999523162842,3.5999999046325684,1.0,0.0,True,False
2017-03-17,MRDN,DELISTED,True,1.7999999523162842,3.5999999046325684,1.0,1.7999999523162842,3.5999999046325684,1.0,0.0,True,False
2014-11-12,NORD,DELISTED,True,10.0,20.0,1.0,0.5263155698776245,1.052631139755249,1.0,0.0,True,False
2021-04-15,NORD,DELISTED,True,10.0,20.0,1.0,10.0,20.0,1.0,0.0,True,False
2026-05-05,GROM,DELISTED,True,9.999999747378752e-05,0.00019999999494757503,1.0,9.999999747378752e-05,0.00019999999494757503,1.0,0.0,True,False
2026-07-31,GROM,DELISTED,True,9.999999747378752e-05,0.00019999999494757503,1.0,9.999999747378752e-05,0.00019999999494757503,1.0,0.0,True,False
2026-03-03,GROM,DELISTED,True,9.999999747378752e-05,0.00019999999494757503,1.0,9.999999747378752e-05,0.00019999999494757503,1.0,0.0,True,False
2022-08-11,PROP,DELISTED,True,8.235294342041016,16.47058868408203,1.0,8.235294342041016,16.47058868408203,1.0,0.0,True,False
2025-12-30,GROM,DELISTED,True,9.999999747378752e-05,0.00019999999494757503,1.0,9.999999747378752e-05,0.00019999999494757503,1.0,0.0,True,False
2017-05-19,HIVE,DELISTED,True,0.30000001192092896,0.6000000238418579,1.0,0.30000001192092896,0.6000000238418579,1.0,0.0,True,False
2026-02-19,GROM,DELISTED,True,9.999999747378752e-05,0.00019999999494757503,1.0,9.999999747378752e-05,0.00019999999494757503,1.0,0.0,True,False
2026-05-28,MGAM,DELISTED,True,0.003000000026077032,0.006000000052154064,1.0,0.003000000026077032,0.006000000052154064,1.0,0.0,True,False
2014-12-02,NORD,DELISTED,True,10.0,20.0,1.0,0.5263155698776245,1.052631139755249,1.0,0.0,True,False
2016-06-28,MRDN,DELISTED,True,540.0,1080.0,1.0,540.0,1080.0,1.0,0.0,True,False
2017-03-01,MRDN,DELISTED,True,1.7999999523162842,3.5999999046325684,1.0,1.7999999523162842,3.5999999046325684,1.0,0.0,True,False
2017-02-22,MRDN,DELISTED,True,1.7999999523162842,3.5999999046325684,1.0,1.7999999523162842,3.5999999046325684,1.0,0.0,True,False
2017-02-09,MRDN,DELISTED,True,1.7999999523162842,3.5999999046325684,1.0,1.7999999523162842,3.5999999046325684,1.0,0.0,True,False
2017-08-31,MRDN,DELISTED,True,1.7999999523162842,3.5999999046325684,1.0,1.7999999523162842,3.5999999046325684,1.0,0.0,True,False
2016-06-08,MRDN,DELISTED,True,540.0,1080.0,1.0,540.0,1080.0,1.0,0.0,True,False
2017-04-27,MRDN,DELISTED,True,1.7999999523162842,3.5999999046325684,1.0,1.7999999523162842,3.5999999046325684,1.0,0.0,True,False
2014-04-07,MRDN,DELISTED,True,810000000.0,1620000000.0,1.0,810000000.0,1620000000.0,1.0,0.0,True,False
2026-03-19,MGAM,DELISTED,True,0.02500000037252903,0.05000000074505806,1.0,0.02500000037252903,0.05000000074505806,1.0,0.0,True,False
2026-05-11,MGAM,DELISTED,True,0.004999999888241291,0.009999999776482582,1.0,0.004999999888241291,0.009999999776482582,1.0,0.0,True,False
2014-04-23,MRDN,DELISTED,True,810000000.0,1620000000.0,1.0,810000000.0,1620000000.0,1.0,0.0,True,False
2017-04-25,MRDN,DELISTED,True,1.7999999523162842,3.5999999046325684,1.0,1.7999999523162842,3.5999999046325684,1.0,0.0,True,False
