ticker,terminal_price_date,consensus_delisting_date,evidence_count,evidence_sources,classification,lifecycle_name,av_delisted_name,historical_name_identity_match,max_allowed_gap_calendar_days,overlay_validated,validation_failures,target_only,feature_allowed,repair_semantics,resolution_type,effective_start_date,effective_end_date,security_type,evidence_source,evidence_note,evidence_url,research_eligible
MAPS,2026-06-01,2026-05-28,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,MAPINFO CORP,MAPINFO CORP,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
MATH,2018-04-02,2018-03-29,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,ADVISORSHARES MEIDELL TACTICAL ADVANTAGE ETF,ADVISORSHARES MEIDELL TACTICAL ADVANTAGE ETF,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
MFI,2024-10-04,2024-10-02,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,mF International Ltd,mF International Ltd,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
MGAM,2026-06-01,2026-05-28,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Multimedia Games Holding Company Inc,Multimedia Games Holding Company Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
MITL,2018-12-04,2018-11-30,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Mitel Networks Corp,Mitel Networks Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
MPU,2024-10-11,2024-10-08,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Mega Matrix Corp,Mega Matrix Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
MRDN,2018-05-04,2018-04-30,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Meridian Waste Solutions Inc,Meridian Waste Solutions Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
MSGY,2026-08-14,2026-08-10,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Masonglory Ltd - Class A,Masonglory Ltd - Class A,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
MXCT,2023-01-03,2022-12-30,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,MaxCyte Inc,MaxCyte Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
NCRA,2022-08-12,2022-08-10,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Nocera Inc,Nocera Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
