ticker,status,provider_symbol,rows,first_date,last_date,error
CSCO,CACHE_HIT,CSCO,3191,2013-12-30,2026-09-08,
CVX,CACHE_HIT,CVX,3191,2013-12-30,2026-09-08,
DDOG,CACHE_HIT,DDOG,1747,2019-09-25,2026-09-08,
DE,CACHE_HIT,DE,3191,2013-12-30,2026-09-08,
DEO,CACHE_HIT,DEO,3191,2013-12-30,2026-09-08,
DHR,CACHE_HIT,DHR,3191,2013-12-30,2026-09-08,
DIS,CACHE_HIT,DIS,3191,2013-12-30,2026-09-08,
DOW,CACHE_HIT,DOW,1873,2019-03-27,2026-09-08,
EMR,CACHE_HIT,EMR,3191,2013-12-30,2026-09-08,
EOG,CACHE_HIT,EOG,3191,2013-12-30,2026-09-08,
ETN,CACHE_HIT,ETN,3191,2013-12-30,2026-09-08,
FCX,CACHE_HIT,FCX,3191,2013-12-30,2026-09-08,
FDX,CACHE_HIT,FDX,3191,2013-12-30,2026-09-08,
FTNT,CACHE_HIT,FTNT,3191,2013-12-30,2026-09-08,
GD,CACHE_HIT,GD,3191,2013-12-30,2026-09-08,
GE,CACHE_HIT,GE,3191,2013-12-30,2026-09-08,
GILD,CACHE_HIT,GILD,3191,2013-12-30,2026-09-08,
GLOB,CACHE_HIT,GLOB,3047,2014-07-28,2026-09-08,
GOOGL,CACHE_HIT,GOOGL,3191,2013-12-30,2026-09-08,
GS,CACHE_HIT,GS,3191,2013-12-30,2026-09-08,
HD,CACHE_HIT,HD,3191,2013-12-30,2026-09-08,
HON,CACHE_HIT,HON,3191,2013-12-30,2026-09-08,
IBM,CACHE_HIT,IBM,3191,2013-12-30,2026-09-08,
INTC,CACHE_HIT,INTC,3191,2013-12-30,2026-09-08,
INTU,CACHE_HIT,INTU,3191,2013-12-30,2026-09-08,
ISRG,CACHE_HIT,ISRG,3191,2013-12-30,2026-09-08,
ITW,CACHE_HIT,ITW,3191,2013-12-30,2026-09-08,
JD,CACHE_HIT,JD,3089,2014-05-28,2026-09-08,
JNJ,CACHE_HIT,JNJ,3191,2013-12-30,2026-09-08,
JPM,CACHE_HIT,JPM,3191,2013-12-30,2026-09-08,
KEEL,CACHE_HIT,KEEL,1774,2019-08-16,2026-09-08,
KLAC,CACHE_HIT,KLAC,3191,2013-12-30,2026-09-08,
KMB,CACHE_HIT,KMB,3191,2013-12-30,2026-09-08,
KMI,CACHE_HIT,KMI,3191,2013-12-30,2026-09-08,
KO,CACHE_HIT,KO,3191,2013-12-30,2026-09-08,
KR,CACHE_HIT,KR,3191,2013-12-30,2026-09-08,
LAR,CACHE_HIT,LAR,718,2023-10-26,2026-09-08,
LIN,CACHE_HIT,LIN,1975,2018-10-26,2026-09-08,
LLY,CACHE_HIT,LLY,3191,2013-12-30,2026-09-08,
LMT,CACHE_HIT,LMT,3191,2013-12-30,2026-09-08,
LOW,CACHE_HIT,LOW,3191,2013-12-30,2026-09-08,
LRCX,CACHE_HIT,LRCX,3191,2013-12-30,2026-09-08,
MA,CACHE_HIT,MA,3191,2013-12-30,2026-09-08,
MAR,CACHE_HIT,MAR,3191,2013-12-30,2026-09-08,
MCD,CACHE_HIT,MCD,3191,2013-12-30,2026-09-08,
MCHP,CACHE_HIT,MCHP,3191,2013-12-30,2026-09-08,
MCO,CACHE_HIT,MCO,3191,2013-12-30,2026-09-08,
MDB,CACHE_HIT,MDB,2227,2017-10-26,2026-09-08,
MDLZ,CACHE_HIT,MDLZ,3191,2013-12-30,2026-09-08,
MDT,CACHE_HIT,MDT,3191,2013-12-30,2026-09-08,
MELI,CACHE_HIT,MELI,3191,2013-12-30,2026-09-08,
META,CACHE_HIT,META,3191,2013-12-30,2026-09-08,
MMM,CACHE_HIT,MMM,3191,2013-12-30,2026-09-08,
MO,CACHE_HIT,MO,3191,2013-12-30,2026-09-08,
MPC,CACHE_HIT,MPC,3191,2013-12-30,2026-09-08,
MPWR,CACHE_HIT,MPWR,3191,2013-12-30,2026-09-08,
MRK,CACHE_HIT,MRK,3191,2013-12-30,2026-09-08,
MRVL,CACHE_HIT,MRVL,3191,2013-12-30,2026-09-08,
MS,CACHE_HIT,MS,3191,2013-12-30,2026-09-08,
MSFT,CACHE_HIT,MSFT,3191,2013-12-30,2026-09-08,
MU,CACHE_HIT,MU,3191,2013-12-30,2026-09-08,
NEM,CACHE_HIT,NEM,3191,2013-12-30,2026-09-08,
NFLX,CACHE_HIT,NFLX,3191,2013-12-30,2026-09-08,
NKE,CACHE_HIT,NKE,3191,2013-12-30,2026-09-08,
NOC,CACHE_HIT,NOC,3191,2013-12-30,2026-09-08,
NOW,CACHE_HIT,NOW,3191,2013-12-30,2026-09-08,
NU,CACHE_HIT,NU,1179,2021-12-27,2026-09-08,
NUE,CACHE_HIT,NUE,3191,2013-12-30,2026-09-08,
NVDA,CACHE_HIT,NVDA,3191,2013-12-30,2026-09-08,
NVO,CACHE_HIT,NVO,1512,2020-08-31,2026-09-08,
NXPI,CACHE_HIT,NXPI,3191,2013-12-30,2026-09-08,
ON,CACHE_HIT,ON,3191,2013-12-30,2026-09-08,
ORCL,CACHE_HIT,ORCL,3191,2013-12-30,2026-09-08,
ORLY,CACHE_HIT,ORLY,3191,2013-12-30,2026-09-08,
OXY,CACHE_HIT,OXY,3191,2013-12-30,2026-09-08,
PANW,CACHE_HIT,PANW,3191,2013-12-30,2026-09-08,
PBR,CACHE_HIT,PBR,3191,2013-12-30,2026-09-08,
PEP,CACHE_HIT,PEP,3191,2013-12-30,2026-09-08,
PFE,CACHE_HIT,PFE,3191,2013-12-30,2026-09-08,
PG,CACHE_HIT,PG,3191,2013-12-30,2026-09-08,
PH,CACHE_HIT,PH,3191,2013-12-30,2026-09-08,
PLTR,CACHE_HIT,PLTR,1491,2020-09-30,2026-09-08,
PM,CACHE_HIT,PM,3191,2013-12-30,2026-09-08,
PNC,CACHE_HIT,PNC,3191,2013-12-30,2026-09-08,
PSX,CACHE_HIT,PSX,3191,2013-12-30,2026-09-08,
QCOM,CACHE_HIT,QCOM,3191,2013-12-30,2026-09-08,
RCL,CACHE_HIT,RCL,3191,2013-12-30,2026-09-08,
REGN,CACHE_HIT,REGN,3191,2013-12-30,2026-09-08,
RIO,CACHE_HIT,RIO,3191,2013-12-30,2026-09-08,
ROP,CACHE_HIT,ROP,3191,2013-12-30,2026-09-08,
RTX,CACHE_HIT,RTX,3191,2013-12-30,2026-09-08,
SAP,CACHE_HIT,SAP,3191,2013-12-30,2026-09-08,
SBUX,CACHE_HIT,SBUX,3191,2013-12-30,2026-09-08,
SCHW,CACHE_HIT,SCHW,3191,2013-12-30,2026-09-08,
SHEL,CACHE_HIT,SHEL,3191,2013-12-30,2026-09-08,
SHOP,CACHE_HIT,SHOP,2838,2015-05-27,2026-09-08,
SHW,CACHE_HIT,SHW,3191,2013-12-30,2026-09-08,
SID,CACHE_HIT,SID,3191,2013-12-30,2026-09-08,
SLB,CACHE_HIT,SLB,3191,2013-12-30,2026-09-08,
SNPS,CACHE_HIT,SNPS,3191,2013-12-30,2026-09-08,
SNY,CACHE_HIT,SNY,3191,2013-12-30,2026-09-08,
SONY,CACHE_HIT,SONY,3191,2013-12-30,2026-09-08,
SPCX,CACHE_HIT,SPCX,52,2026-06-25,2026-09-08,
SPGI,CACHE_HIT,SPGI,3191,2013-12-30,2026-09-08,
STLD,CACHE_HIT,STLD,3191,2013-12-30,2026-09-08,
SYK,CACHE_HIT,SYK,3191,2013-12-30,2026-09-08,
T,CACHE_HIT,T,3191,2013-12-30,2026-09-08,
TEAM,CACHE_HIT,TEAM,2689,2015-12-28,2026-09-08,
TGT,CACHE_HIT,TGT,3191,2013-12-30,2026-09-08,
TJX,CACHE_HIT,TJX,3191,2013-12-30,2026-09-08,
TM,CACHE_HIT,TM,3191,2013-12-30,2026-09-08,
TMO,CACHE_HIT,TMO,3191,2013-12-30,2026-09-08,
TMUS,CACHE_HIT,TMUS,3191,2013-12-30,2026-09-08,
TSLA,CACHE_HIT,TSLA,3191,2013-12-30,2026-09-08,
TSM,CACHE_HIT,TSM,3191,2013-12-30,2026-09-08,
TTWO,CACHE_HIT,TTWO,3191,2013-12-30,2026-09-08,
TXN,CACHE_HIT,TXN,3191,2013-12-30,2026-09-08,
UBER,CACHE_HIT,UBER,1831,2019-05-28,2026-09-08,
UL,CACHE_HIT,UL,3191,2013-12-30,2026-09-08,
UNH,CACHE_HIT,UNH,3191,2013-12-30,2026-09-08,
UNP,CACHE_HIT,UNP,3191,2013-12-30,2026-09-08,
UPS,CACHE_HIT,UPS,3191,2013-12-30,2026-09-08,
USB,CACHE_HIT,USB,3191,2013-12-30,2026-09-08,
V,CACHE_HIT,V,3191,2013-12-30,2026-09-08,
VALE,CACHE_HIT,VALE,3191,2013-12-30,2026-09-08,
VIST,CACHE_HIT,VIST,1789,2019-07-26,2026-09-08,
VLO,CACHE_HIT,VLO,3191,2013-12-30,2026-09-08,
VRTX,CACHE_HIT,VRTX,3191,2013-12-30,2026-09-08,
VZ,CACHE_HIT,VZ,3191,2013-12-30,2026-09-08,
WFC,CACHE_HIT,WFC,3191,2013-12-30,2026-09-08,
WM,CACHE_HIT,WM,3191,2013-12-30,2026-09-08,
WMB,CACHE_HIT,WMB,3191,2013-12-30,2026-09-08,
WMT,CACHE_HIT,WMT,3191,2013-12-30,2026-09-08,
XOM,CACHE_HIT,XOM,3191,2013-12-30,2026-09-08,
YPF,CACHE_HIT,YPF,3191,2013-12-30,2026-09-08,
ZTS,CACHE_HIT,ZTS,3191,2013-12-30,2026-09-08,
