signal_date,held_ticker,candidate_ticker,held_score,candidate_score,held_expected_return,candidate_expected_return,expected_incremental_return,estimated_total_cost,uncertainty_buffer,net_edge,trade,candidate_resolved_20d,candidate_realized_20d,held_resolved_20d,held_realized_20d,realized_incremental_return_20d
2025-06-12,MA,CRWD,0.875,0.9903846153846154,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008292782767972729,-0.003202278119972731,False,True,-0.015271932945904454,True,-0.019439083969332027,0.004167151023427573
2025-06-13,ANET,CRWD,0.875,0.9903846153846154,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008292782767972729,-0.003202278119972731,False,True,-0.018648703911704145,True,0.13892109814503573,-0.15756980205673987
2025-06-16,ANET,CRWD,0.875,0.9903846153846154,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008292782767972729,-0.003202278119972731,False,True,-0.045119224970242566,True,0.24866194219304427,-0.29378116716328684
2025-06-17,ANET,CRWD,0.8461538461538461,0.9903846153846154,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008627885847529517,-0.0035373811995295192,False,True,-0.01896284140816895,True,0.238696824306724,-0.25765966571489296
2025-06-18,ANET,CRWD,0.8461538461538461,0.9903846153846154,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008627885847529517,-0.0035373811995295192,False,True,0.01108544806764078,True,0.29402899258378623,-0.28294354451614545
2025-06-20,ANET,CRWD,0.8269230769230769,0.9951923076923077,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008870001884538181,-0.0037794972365381833,False,True,-0.041845401017521544,True,0.19390975990016646,-0.235755160917688
2025-06-23,ANET,CRWD,0.8365384615384616,0.9951923076923077,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.00874730682302162,-0.003656802175021622,False,True,-0.04915739344248693,True,0.19027060611309143,-0.23942799955557836
2025-06-24,ANET,CRWD,0.8365384615384616,0.9951923076923077,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.00874730682302162,-0.003656802175021622,False,True,-0.06488695945317025,True,0.18409307243671025,-0.2489800318898805
2025-06-25,ANET,CRWD,0.8413461538461539,0.9951923076923077,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008687166987284618,-0.0035966623392846195,False,True,-0.07382919857259251,True,0.12491389801018404,-0.19874309658277656
2025-06-26,ANET,CRWD,0.8557692307692307,0.9951923076923077,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008512072960069422,-0.003421568312069423,False,True,-0.05437284887066374,True,0.1827145967766326,-0.23708744564729634
2025-06-27,ANET,CRWD,0.8365384615384616,0.9951923076923077,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.00874730682302162,-0.003656802175021622,False,True,-0.08599868057357296,True,0.15941751126176507,-0.24541619183533803
2025-06-30,ANET,CRWD,0.84688995215311,0.9952153110047847,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008618887793717347,-0.0035283831457173483,False,True,-0.058772152330510474,True,0.23435438092760963,-0.2931265332581201
2025-07-01,ANET,CRWD,0.8325358851674641,0.9952153110047847,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008798001067941553,-0.0037074964199415553,False,True,-0.08371295760603414,True,0.21843176670845366,-0.3021447243144878
2025-07-02,ANET,CRWD,0.8421052631578947,0.9952153110047847,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008677748646910018,-0.0035872439989100193,False,True,-0.13118065576051519,True,0.14680065884274174,-0.2779813146032569
2025-07-03,ANET,CRWD,0.8373205741626795,0.9952153110047847,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008737466547369316,-0.0036469618993693184,False,True,-0.10010684714699647,True,0.18606481744641834,-0.2861716645934148
2025-07-07,ANET,CRWD,0.8421052631578947,0.9904306220095693,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008677748646910018,-0.0035872439989100193,False,True,-0.12991667007781194,True,0.14247029155518476,-0.2723869616329967
2025-07-08,ANET,CRWD,0.7942583732057417,0.9904306220095693,0.018976013458014356,0.027555796371,0.008579782912985643,0.002,0.00846720585789221,-0.001887422944906568,False,True,-0.1203871514645537,True,0.3057960140504907,-0.4261831655150444
2025-07-09,ANET,CRWD,0.8181818181818182,0.9952153110047847,0.02013498487045455,0.027555796371,0.007420811500545448,0.002,0.008796288642666863,-0.0033754771421214153,False,True,-0.12750710767453433,True,0.31037724696218527,-0.4378843546367196
2025-07-10,ANET,CRWD,0.8038277511961722,0.9856459330143541,0.01943960202299043,0.027555796371,0.00811619434800957,0.002,0.008595414177219818,-0.002479219829210248,False,True,-0.11278089789097356,True,0.28193785637835167,-0.39471875426932523
