date,nav,net_return,gross_return,turnover,cost_fraction,execution_skipped,holdings,cash_weight
2025-06-17,1.1137853152240311,-0.008496544708729514,-0.008496544708729382,0.0,0.0,0,15,0.0
2025-06-18,1.1081311186230847,-0.0050765587619632235,-0.0050765587619630735,0.0,0.0,0,15,0.0
2025-06-20,1.0984199478027885,-0.008763557540341194,-0.0087635575403413,0.0,0.0,0,15,0.0
2025-06-23,1.1170573804760804,0.01696749290703714,0.016967492907037245,0.0,0.0,0,15,0.0
2025-06-24,1.140317022618826,0.02082224472017047,0.02082224472017048,0.0,0.0,0,15,0.0
2025-06-25,1.1359488556599562,-0.0038306601341773217,-0.003830660134177303,0.0,0.0,0,15,0.0
2025-06-26,1.1457867466676754,0.008660505231992799,0.00866050523199285,0.0,0.0,0,15,0.0
2025-06-27,1.138736592258511,-0.0061531121996903915,-0.00615311219969044,0.0,0.0,0,15,0.0
2025-06-30,1.156082629241901,0.015232703595646102,0.015232703595646038,0.0,0.0,0,15,0.0
2025-07-01,1.1444314184845858,-0.010078181665055808,-0.010078181665055789,0.0,0.0,0,15,0.0
2025-07-02,1.1454213547429273,0.0008650026924743592,0.0008650026924744097,0.0,0.0,0,15,0.0
2025-07-03,1.16329917476314,0.015608072912369542,0.015608072912369441,0.0,0.0,0,15,0.0
2025-07-07,1.1700652435889205,0.005816275789207959,0.005816275789207998,0.0,0.0,0,15,0.0
2025-07-08,1.1710202953794204,0.0008162380651275392,0.0008162380651274985,0.0,0.0,0,15,0.0
2025-07-09,1.1759870122071896,0.004241358452425459,0.004241358452425433,0.0,0.0,0,15,0.0
2025-07-10,1.1400215299456384,-0.03058323084202108,-0.030583230842020925,0.0,0.0,0,15,0.0
2025-07-11,1.1243064938912095,-0.013784859006284123,-0.013784859006284088,0.0,0.0,0,15,0.0
2025-07-14,1.1468671939952337,0.020066325531876927,0.020066325531876837,0.0,0.0,0,15,0.0
2025-07-15,1.141275191281094,-0.0048758938641007,-0.004875893864100738,0.0,0.0,0,15,0.0
2025-07-16,1.1441294306290735,0.0025009212237196987,0.002500921223719722,0.0,0.0,0,15,0.0
2025-07-17,1.1521586960788244,0.007017794695951762,0.007017794695951712,0.0,0.0,0,15,0.0
