ticker,classification,repair_priority,reason,return_price_last_date,calendar_days_before_sample_end,lifecycle_status,lifecycle_delisting_date,av_active_status,av_delisted_status,av_delisted_delisting_date,cache_filename_delisting_date,cache_has_parquet,target_price_source,unresolved_total_across_horizons
IAUX,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2022-05-20,1568,Delisted,2022-05-18,Active,Delisted,2022-05-18,2022-05-18,True,PHASE2_EXISTING_ADJ_CLOSE,500
ILG,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-09-04,2922,Delisted,2018-08-31,,Delisted,2018-08-31,2018-08-31,True,PHASE2_EXISTING_ADJ_CLOSE,500
INTX,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2019-01-15,2789,Delisted,2019-01-11,,Delisted,2019-01-11,2019-01-11,True,PHASE2_EXISTING_ADJ_CLOSE,500
JMBA,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-09-17,2909,Delisted,2018-09-13,,Delisted,2018-09-13,2018-09-13,True,PHASE2_EXISTING_ADJ_CLOSE,500
KERX,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2018-12-14,2821,Delisted,2018-12-12,,Delisted,2018-12-12,2018-12-12,True,PHASE2_EXISTING_ADJ_CLOSE,500
KS,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-12-18,2817,Delisted,2018-12-14,,Delisted,2018-12-14,2018-12-14,True,PHASE2_EXISTING_ADJ_CLOSE,500
LTCH,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2026-06-01,95,Delisted,2026-05-28,,Delisted,2026-05-28,2026-05-28,True,PHASE2_EXISTING_ADJ_CLOSE,500
MGAM,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2026-06-01,95,Delisted,2026-05-28,,Delisted,2026-05-28,2026-05-28,True,PHASE2_EXISTING_ADJ_CLOSE,500
NCRA,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2022-08-12,1484,Delisted,2022-08-10,Active,Delisted,2022-08-10,2022-08-10,True,PHASE2_EXISTING_ADJ_CLOSE,500
NORD,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2023-05-23,1200,Delisted,2023-05-19,,Delisted,2023-05-19,2023-05-19,True,PHASE2_EXISTING_ADJ_CLOSE,500
PARA,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2025-08-11,389,Delisted,2025-08-07,Active,Delisted,2025-08-07,2025-08-07,True,PHASE2_EXISTING_ADJ_CLOSE,500
PLAG,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2020-10-06,2159,Delisted,2020-10-02,Active,Delisted,2020-10-02,2020-10-02,True,PHASE2_EXISTING_ADJ_CLOSE,500
PRSS,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-11-13,2852,Delisted,2018-11-09,,Delisted,2018-11-09,2018-11-09,True,PHASE2_EXISTING_ADJ_CLOSE,500
PULS,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2019-07-05,2618,Delisted,2019-07-02,Active,Delisted,2019-07-02,2019-07-02,True,PHASE2_EXISTING_ADJ_CLOSE,500
RMGN,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-10-02,2894,Delisted,2018-09-28,,Delisted,2018-09-28,2018-09-28,True,PHASE2_EXISTING_ADJ_CLOSE,500
RTCJF,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2025-08-19,381,Delisted,2025-08-15,,Delisted,2025-08-15,2025-08-15,True,PHASE2_EXISTING_ADJ_CLOSE,500
SDRL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2023-10-20,1050,Delisted,2023-10-18,Active,Delisted,2023-10-18,2023-10-18,True,PHASE2_EXISTING_ADJ_CLOSE,500
STRRP,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2025-08-25,375,Delisted,2025-08-21,Active,Delisted,2025-08-21,2025-08-21,True,PHASE2_EXISTING_ADJ_CLOSE,500
TEN,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2022-11-18,1386,Delisted,2022-11-16,Active,Delisted,2022-11-16,2022-11-16,True,PHASE2_EXISTING_ADJ_CLOSE,500
UDWKQ,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2017-12-15,3185,Delisted,2017-12-13,,Delisted,2017-12-13,2017-12-13,True,PHASE2_EXISTING_ADJ_CLOSE,500
VZA,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2019-03-12,2733,Delisted,2019-03-08,,Delisted,2019-03-08,2019-03-08,True,PHASE2_EXISTING_ADJ_CLOSE,500
