ticker,unresolved_1d,unresolved_5d,unresolved_10d,unresolved_20d,unresolved_40d,unresolved_60d,unresolved_120d,unresolved_252d,unresolved_total_across_horizons,first_unresolved_signal,last_unresolved_signal,return_price_first_date,return_price_last_date,return_price_rows,target_price_source,panel_first_date,panel_last_date,panel_rows,panel_delisting_date,panel_source_state,lifecycle_status,lifecycle_delisting_date,lifecycle_name,av_active_status,av_active_delisting_date,av_active_name,av_delisted_status,av_delisted_delisting_date,av_delisted_name,cache_filename_delisting_date,cache_has_parquet,cache_files,calendar_days_before_sample_end,classification,reason,repair_priority
IMPV,1,5,10,20,40,60,120,252,508,2018-01-10,2019-01-10,2013-12-23,2019-01-11,1271,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2019-01-11,1271,2019-01-10,delisted,Delisted,2019-01-10,Imperva Inc,,,,Delisted,2019-01-10,Imperva Inc,2019-01-10,True,IMPV__2011-11-09__2019-01-10.parquet,2793,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 1 calendar days of terminal price,2
INM,1,5,10,20,40,60,120,252,508,2021-12-31,2022-12-30,2020-11-09,2023-01-03,541,PHASE2_EXISTING_ADJ_CLOSE,2020-11-09,2023-01-03,541,,active,Delisted,2022-12-30,InMed Pharmaceuticals Inc,Active,,InMed Pharmaceuticals Inc,Delisted,2022-12-30,InMed Pharmaceuticals Inc,2022-12-30,True,INM__2020-11-12__2022-12-30.parquet,1340,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
IVTY,1,5,10,20,40,60,120,252,508,2017-10-24,2018-10-23,2015-06-15,2018-10-24,849,PHASE2_EXISTING_ADJ_CLOSE,2015-06-15,2018-10-24,849,2018-10-23,delisted,Delisted,2018-10-23,Invuity Inc,,,,Delisted,2018-10-23,Invuity Inc,2018-10-23,True,IVTY__2015-06-15__2018-10-23.parquet,2872,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 1 calendar days of terminal price,2
JOYY,1,5,10,20,40,60,120,252,508,2021-06-15,2022-06-13,2019-12-26,2022-06-14,622,PHASE2_EXISTING_ADJ_CLOSE,2019-12-26,2022-06-14,622,,active,Delisted,2022-06-10,Infusive Compounding Global Equities ETF,Active,,JOYY Inc,Delisted,2022-06-10,Infusive Compounding Global Equities ETF,2022-06-10,True,JOYY__2019-12-30__2022-06-10.parquet,1543,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
JTPY,1,5,10,20,40,60,120,252,508,2017-12-06,2018-12-06,2013-12-23,2018-12-07,1249,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-12-07,1249,2018-12-06,delisted,Delisted,2018-12-06,Universal Business Payment Solutions Acquisition Corp,,,,Delisted,2018-12-06,Universal Business Payment Solutions Acquisition Corp,2018-12-06,True,JTPY__2012-05-11__2018-12-06.parquet,2828,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 1 calendar days of terminal price,2
LAB,1,5,10,20,40,60,120,252,508,2021-04-12,2022-04-07,2013-12-23,2022-04-08,2089,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2022-04-08,2089,,active,Delisted,2022-04-05,Standard BioTools Inc,Active,,Standard BioTools Inc,Delisted,2022-04-05,Standard BioTools Inc,2022-04-05,True,LAB__2011-02-10__2022-04-05.parquet,1610,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
MRDN,1,5,10,20,40,60,120,252,508,2017-05-04,2018-05-03,2013-12-23,2018-05-04,1099,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-05-04,1099,,active,Delisted,2018-04-30,Meridian Waste Solutions Inc,Active,,Golden Matrix Group Inc,Delisted,2018-04-30,Meridian Waste Solutions Inc,2018-04-30,True,MRDN__2011-03-01__2018-04-30.parquet,3045,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
MXCT,1,5,10,20,40,60,120,252,508,2021-12-31,2022-12-30,2021-07-30,2023-01-03,360,PHASE2_EXISTING_ADJ_CLOSE,2021-07-30,2023-01-03,360,,active,Delisted,2022-12-30,MaxCyte Inc,Active,,MaxCyte Inc,Delisted,2022-12-30,MaxCyte Inc,2022-12-30,True,MXCT__2021-07-30__2022-12-30.parquet,1340,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
PERY,1,5,10,20,40,60,120,252,508,2017-10-23,2018-10-22,2013-12-23,2018-10-23,1218,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-10-23,1218,2018-10-22,delisted,Delisted,2018-10-22,Perry Ellis International Inc,,,,Delisted,2018-10-22,Perry Ellis International Inc,2018-10-22,True,PERY__1993-05-28__2018-10-22.parquet,2873,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 1 calendar days of terminal price,2
RGP,1,5,10,20,40,60,120,252,508,2014-05-12,2015-05-11,2013-12-23,2015-05-12,348,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2015-05-12,348,,active,Delisted,2015-05-08,Regency Energy Partners LP,Active,,Resources Connection Inc,Delisted,2015-05-08,Regency Energy Partners LP,2015-05-08,True,RGP__2006-01-31__2015-05-08.parquet,4133,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
