ticker,first_date,last_date,rows,adj_close_rows,dominant_market_source,adj_close_coverage,needs_adjusted_history
PSX,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
QCOM,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
RCL,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
REGN,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
RIO,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
ROP,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
RTX,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SAP,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SBUX,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SCHW,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SHEL,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SHOP,2015-06-01,2026-09-04,2834,0,PRIMARY,0.0,True
SHW,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SID,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SLB,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SNPS,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SNY,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SONY,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SPCX,2026-06-30,2026-09-04,48,0,PRIMARY,0.0,True
SPGI,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
STLD,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
SYK,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
T,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
TEAM,2015-12-31,2026-09-04,2685,0,PRIMARY,0.0,True
TGT,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
TJX,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
TM,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
TMO,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
TMUS,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
TSLA,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
TSM,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
TTWO,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
TXN,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
UBER,2019-05-31,2026-09-04,1827,0,PRIMARY,0.0,True
UL,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
UNH,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
UNP,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
UPS,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
