feature,family,horizon_sessions,development_rows,validation_rows,development_ic_dates,validation_ic_dates,development_coverage,validation_coverage,development_mean_spearman_ic,development_hac_se,development_hac_t,development_pvalue,validation_mean_spearman_ic,validation_hac_se,validation_hac_t,validation_pvalue,development_fdr_q,direction,validation_aligned_ic,validation_aligned_hac_t,research_status,validation_top_bottom_return_spread_mean,validation_top_bottom_return_spread_median,validation_winner_top_decile_lift,validation_rich_dates
worst_day_60d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9899766569180233,0.9952759222483,0.028842382450736028,0.019684096726191237,1.4652631945442014,0.14284912404766983,0.03365478232337727,0.03348693878337338,1.005012209120985,0.3148909709392752,0.3193162638816909,1,0.03365478232337727,1.005012209120985,NO_EVIDENCE,,,,
downside_vol_60d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9899766569180233,0.9952759222483,-0.032784304768826426,0.02301942323610503,-1.4242018330592046,0.154388054431779,-0.02364287723653762,0.041604802595115176,-0.5682727897214811,0.5698497523637831,0.3250274830142716,-1,0.02364287723653762,0.5682727897214811,NO_EVIDENCE,,,,
vol_120d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.980656672710059,0.9901506489338228,-0.03219341135135811,0.02340708812384407,-1.3753701947472776,0.16901670445730976,-0.022037753848318273,0.044095447274510716,-0.499773904347199,0.6172342873293799,0.3467009322201226,-1,0.022037753848318273,0.499773904347199,NO_EVIDENCE,,,,
mom_accel_60_120,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9761202954490573,0.9882449700106317,-0.02067138877479809,0.015573335398021963,-1.327357836101292,0.18439034030591472,-0.06133605721147696,0.028267850422515957,-2.169816816443229,0.03002072590776795,0.36878068061182945,-1,0.06133605721147696,2.169816816443229,NO_EVIDENCE,,,,
growth_assets_252s,FUNDAMENTAL_CHANGE,40,521782,99702,1973,461,0.5634422038322517,0.7376582215000702,0.030148888555202227,0.023031537202509396,1.3090263272534566,0.19052543287877488,0.08723208580731849,0.0189897648704852,4.593636961924619,4.35586902618791e-06,0.37175694220248756,1,0.08723208580731849,4.593636961924619,NO_EVIDENCE,,,,
drawdown_high_60d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9901778903833401,0.9953762211389942,0.021931555682263897,0.017144234085149687,1.2792379976461579,0.20081325893193447,0.03580706601476809,0.03131648676515834,1.1433934554435978,0.25287526850544073,0.38250144558463706,1,0.03580706601476809,1.1433934554435978,NO_EVIDENCE,,,,
distance_low_120d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.980846407120215,0.9902409179354477,-0.016235213247713362,0.013540024905279271,-1.1990534257720038,0.23050717228720585,0.016269071580010862,0.031055160826656217,0.5238765843404132,0.6003643820853066,0.4274991328914321,-1,-0.016269071580010862,-0.5238765843404132,NO_EVIDENCE,,,,
growth_shares_252s,FUNDAMENTAL_CHANGE,40,521782,99702,1973,461,0.5600480660505729,0.7500952839461595,0.020489685668736123,0.01725793951287412,1.1872614139973763,0.23512452309028764,0.06024256892629295,0.0288922148085689,2.0850796425764533,0.0370620718136057,0.4274991328914321,1,0.06024256892629295,2.0850796425764533,NO_EVIDENCE,,,,
value_ocf_yield_reported,VALUATION,40,521782,99702,1973,461,0.5377015688544258,0.6900262783093619,0.02032190184394386,0.017515064132128017,1.1602527795868722,0.24594590380838532,0.020135397744347208,0.02431522044683467,0.8280985067922102,0.4076147150983812,0.43723716232601834,1,0.020135397744347208,0.8280985067922102,NO_EVIDENCE,,,,
drawdown_high_20d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9967706820089616,0.998355098192614,0.016373736632313188,0.014921241716209517,1.0973441047152108,0.27249099766560325,0.04079625951894673,0.026593252128282372,1.5340831321476178,0.1250092024652355,0.4536203810116945,1,0.04079625951894673,1.5340831321476178,NO_EVIDENCE,,,,
quality_operating_income_assets_reported,QUALITY,40,521782,99702,1973,461,0.4704282631443783,0.6220436901967864,-0.01663996995599762,0.01499569077911263,-1.1096501122292608,0.26714982811616483,-0.03449215952499648,0.02050930562100599,-1.6817809516509912,0.09261132373604158,0.4536203810116945,-1,0.03449215952499648,1.6817809516509912,NO_EVIDENCE,,,,
quality_profit_margin_reported,QUALITY,40,521782,99702,1973,461,0.33751451755714074,0.7137870855148342,-0.016917312296188425,0.015425895855363046,-1.0966826468173558,0.2727801448401028,0.00493598035738702,0.021734171006441084,0.22710690717967597,0.8203406132207316,0.4536203810116945,-1,-0.00493598035738702,-0.22710690717967597,NO_EVIDENCE,,,,
trend_sma_120d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.980846407120215,0.9902409179354477,0.01799012606486718,0.016578029810789232,1.0851787739673948,0.2778424833696629,0.026017986142395946,0.02636079153959317,0.9869956333943031,0.3236447792539675,0.4536203810116945,1,0.026017986142395946,0.9869956333943031,NO_EVIDENCE,,,,
delta_ocf_assets_252s,FUNDAMENTAL_CHANGE,40,521782,99702,1973,461,0.5507664120264785,0.7376582215000702,-0.012362599978961887,0.011550196942894712,-1.070336725865695,0.28446776901292226,0.04098345734636105,0.020534196032548014,1.995863742675859,0.045948756203410546,0.4551484304206756,-1,-0.04098345734636105,-1.995863742675859,NO_EVIDENCE,,,,
fund_revenue_age_days,BALANCE_SHEET_OR_FRESHNESS,40,521782,99702,1973,461,0.3395038540999881,0.7137870855148342,-0.012997985261263079,0.01374722591803965,-0.945498774716913,0.34440429606638623,-0.010341105928150879,0.01704401456359167,-0.606729470311583,0.5440304611291273,0.5402420330453117,-1,0.010341105928150879,0.606729470311583,NO_EVIDENCE,,,,
quality_accruals_assets_reported,QUALITY,40,521782,99702,1973,461,0.5577156743620899,0.7422619405829372,-0.012087232685497174,0.014402345765857147,-0.8392544438248188,0.40132654152556935,-0.04313436796802537,0.021045998302720963,-2.0495282451129286,0.04041048882383543,0.6174254485008759,-1,0.04313436796802537,2.0495282451129286,NO_EVIDENCE,,,,
quality_fcf_assets_reported,QUALITY,40,521782,99702,1973,461,0.44211567282888253,0.6152935748530621,0.013808305176735945,0.01743533885206793,0.7919722865092582,0.4283768357142457,0.05221002533247768,0.019450518286712203,2.6842485409833747,0.007269304380635653,0.6466065444743331,1,0.05221002533247768,2.6842485409833747,NO_EVIDENCE,,,,
distance_low_60d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9901778903833401,0.9953762211389942,-0.009061210564712988,0.013308680619752385,-0.6808496517126261,0.4959666289440873,-0.015907823627907193,0.024579892677214048,-0.6471884900723752,0.5175099596445687,0.7128012009804146,-1,0.015907823627907193,0.6471884900723752,NO_EVIDENCE,,,,
fund_equity_assets,BALANCE_SHEET_OR_FRESHNESS,40,521782,99702,1973,461,0.5634939495804762,0.7399650959860384,0.010146706944947147,0.015007130983444352,0.6761257002514901,0.4989608406862902,0.0011363321583099332,0.029502274649675482,0.0385167642767651,0.9692756654415856,0.7128012009804146,1,0.0011363321583099332,0.0385167642767651,NO_EVIDENCE,,,,
value_earnings_yield_reported,VALUATION,40,521782,99702,1973,461,0.542603999371385,0.6900262783093619,0.010597862376936464,0.015500150928110124,0.6837263989292408,0.4941479503221766,-0.01127074984950071,0.022797777870521476,-0.49437931685764347,0.6210383183148955,0.7128012009804146,1,-0.01127074984950071,-0.49437931685764347,NO_EVIDENCE,,,,
delta_operating_margin_126s,FUNDAMENTAL_CHANGE,40,521782,99702,1726,461,0.24907720082333235,0.5981424645443422,0.012857383418373142,0.020419536228873488,0.6296608930908351,0.5289164740336778,0.039140730728608755,0.025437565895112844,1.5386979591521615,0.12387805080508396,0.726090165667519,1,0.039140730728608755,1.5386979591521615,NO_EVIDENCE,,,,
distance_low_252d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9610028709307719,0.9827586206896551,0.009101042420812184,0.014707560067672739,0.618800289030694,0.5360479317924295,0.07048940321865793,0.03424547732876953,2.058356569012983,0.0395559175997282,0.726090165667519,1,0.07048940321865793,2.058356569012983,NO_EVIDENCE,,,,
mom_skip_60_5,MARKET_TREND_RISK,40,521782,99702,1973,461,0.987604018536477,0.9940121562255522,0.009320031281345877,0.015087963128852952,0.6177130207538108,0.5367645273695354,-0.0009188816810272148,0.026001871079507476,-0.03533905995524304,0.9718093774297273,0.726090165667519,1,-0.0009188816810272148,-0.03533905995524304,NO_EVIDENCE,,,,
quality_operating_margin_reported,QUALITY,40,521782,99702,1852,461,0.27559593853371717,0.6028163928506951,-0.010562532242512121,0.017432211487275164,-0.6059203819447899,0.5445676242506392,0.012379552861179898,0.0220189201137231,0.5622234331766547,0.5739637976794612,0.726090165667519,-1,-0.012379552861179898,-0.5622234331766547,NO_EVIDENCE,,,,
mom_60d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.987604018536477,0.9940121562255522,0.008088788367050083,0.015373464761184353,0.5261525942722447,0.5987821885281908,0.00048262700779867876,0.026989818646535938,0.0178818173667359,0.9857331343354191,0.7726221787460525,1,0.00048262700779867876,0.0178818173667359,NO_EVIDENCE,,,,
rel_mom_60d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.987604018536477,0.9940121562255522,0.008088919944155342,0.015373469234287368,0.5261609998941986,0.5987763487727347,0.00048262700779867876,0.026989818646535938,0.0178818173667359,0.9857331343354191,0.7726221787460525,1,0.00048262700779867876,0.0178818173667359,NO_EVIDENCE,,,,
mom_accel_120_252,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9514989018402321,0.9789272030651341,-0.00829045211654938,0.01683548421635128,-0.4924391844041747,0.6224089043759022,-0.026303797544565397,0.025145374077350124,-1.046069048869658,0.29552915397802415,0.7903605134932092,-1,0.026303797544565397,1.046069048869658,NO_EVIDENCE,,,,
delta_profit_assets_252s,FUNDAMENTAL_CHANGE,40,521782,99702,1973,461,0.5574166989279048,0.7376582215000702,0.0050987186944241305,0.011287056930934694,0.45173145892885114,0.6514624521953145,0.01158768819437618,0.022878331171750234,0.5064918462533866,0.612511412248346,0.801799941163464,1,0.01158768819437618,0.5064918462533866,NO_EVIDENCE,,,,
quality_ocf_assets_reported,QUALITY,40,521782,99702,1973,461,0.5611998880758631,0.7422619405829372,0.008108095323303414,0.017646981395394945,0.45946075091455907,0.6459033310146451,0.0171810066696141,0.02351065239839742,0.7307754110126363,0.46491634505138346,0.801799941163464,1,0.0171810066696141,0.7307754110126363,NO_EVIDENCE,,,,
fund_net_income_age_days,BALANCE_SHEET_OR_FRESHNESS,40,521782,99702,1973,461,0.5675646151074587,0.7422619405829372,-0.004637548742272547,0.011883480994508566,-0.390251706921195,0.6963504300312012,-0.0385602246462558,0.016979934954708772,-2.270928878650534,0.023151283720360433,0.8030247648826284,-1,0.0385602246462558,2.270928878650534,NO_EVIDENCE,,,,
mom_20d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9957146854433461,0.9979037531844898,-0.004916593800449408,0.011659008336634618,-0.4216991409981774,0.6732446315316931,0.00682791829678499,0.021715869741279755,0.31442066922172507,0.7532015598107602,0.8030247648826284,-1,-0.00682791829678499,-0.31442066922172507,NO_EVIDENCE,,,,
rel_mom_20d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9957146854433461,0.9979037531844898,-0.004916639090943986,0.011659013920585761,-0.4217028236206934,0.6732419432077588,0.00682791829678499,0.021715869741279755,0.31442066922172507,0.7532015598107602,0.8030247648826284,-1,-0.00682791829678499,-0.31442066922172507,NO_EVIDENCE,,,,
