ensemble,top_n,policy,hold_floor,score_edge,fold,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,trade_days,execution_skips,positive_month_share,total_cost_fraction_sum,execution_skip_rate,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown
H20,15,MONTHLY,,,WF_2021_2022,20.0,503,0.13727231921748562,0.06656607493193367,-0.2435275585595228,3.9104648566672275,24,0,0.5416666666666666,0.015610823991298536,0.0,,,
H20,15,MONTHLY,,,WF_2021_2022,40.0,503,0.1196372759509603,0.05824800669892949,-0.2456041602393616,3.9104648566672275,24,0,0.5416666666666666,0.03122164798259707,0.0,,,
H20,15,WEEKLY,,,WF_2019_2020,20.0,505,2.618239424205504,0.8997466312442726,-0.3515742526355323,8.121118349191143,105,0,0.75,0.032548926716996246,0.0,,,
H20,15,WEEKLY,,,WF_2019_2020,40.0,505,2.5022924522973584,0.8691202442835673,-0.352464279260731,8.121118349191143,105,0,0.75,0.06509785343399249,0.0,,,
H20,15,WEEKLY,,,WF_2021_2022,20.0,503,0.20206183157233326,0.09658639602310304,-0.2736746432374254,7.9733457956738105,104,0,0.5833333333333334,0.03183010266050735,0.0,,,
H20,15,WEEKLY,,,WF_2021_2022,40.0,503,0.16437874765205596,0.07922708240140786,-0.2800584385905033,7.9733457956738105,104,0,0.5833333333333334,0.0636602053210147,0.0,,,
H20,15,DAILY,,,WF_2019_2020,20.0,505,2.2567138556135373,0.8025283266126819,-0.3566795749961652,14.603164874780552,504,0,0.75,0.05852855763304903,0.0,,,
H20,15,DAILY,,,WF_2019_2020,40.0,505,2.0715150193638547,0.7506276931641505,-0.35797777857002455,14.603164874780552,504,0,0.7083333333333334,0.11705711526609806,0.0,,,
H20,15,DAILY,,,WF_2021_2022,20.0,503,0.13156771343723017,0.06388242389586463,-0.25775471635162583,14.857506640066596,502,0,0.5416666666666666,0.05931210984090078,0.0,,,
H20,15,DAILY,,,WF_2021_2022,40.0,503,0.06638342703972167,0.0327244053427731,-0.2763418038572605,14.857506640066596,502,0,0.5416666666666666,0.11862421968180156,0.0,,,
H20,15,EVENT_LOOSE,0.7,0.03,WF_2019_2020,20.0,505,2.58059508308848,0.8898578327059383,-0.3489124763010307,5.082878686441357,125,0,0.75,0.020371855052800675,0.0,,,
H20,15,EVENT_LOOSE,0.7,0.03,WF_2019_2020,40.0,505,2.508366987595279,0.8707372758222505,-0.34965091339812715,5.082878686441357,125,0,0.75,0.04074371010560135,0.0,,,
H20,15,EVENT_LOOSE,0.7,0.03,WF_2021_2022,20.0,503,0.0524541314736342,0.025944008169202837,-0.29193301570973984,4.064515496355795,100,0,0.5416666666666666,0.016225803925928296,0.0,,,
H20,15,EVENT_LOOSE,0.7,0.03,WF_2021_2022,40.0,503,0.035509545096840345,0.01763519098687838,-0.2955203281268648,4.064515496355795,100,0,0.5416666666666666,0.03245160785185659,0.0,,,
H20,15,EVENT_BALANCED,0.8,0.05,WF_2019_2020,20.0,505,1.8647928914636007,0.6908070407845379,-0.3553108062122332,2.4337095913587694,62,0,0.7083333333333334,0.00975415352092205,0.0,,,
H20,15,EVENT_BALANCED,0.8,0.05,WF_2019_2020,40.0,505,1.8369751343541916,0.6825942204929827,-0.35558588050233597,2.4337095913587694,62,0,0.7083333333333334,0.0195083070418441,0.0,,,
H20,15,EVENT_BALANCED,0.8,0.05,WF_2021_2022,20.0,503,0.2004857917059064,0.0958658562801642,-0.2550124095829369,2.0122262424628974,49,0,0.5833333333333334,0.008032934920308234,0.0,,,
H20,15,EVENT_BALANCED,0.8,0.05,WF_2021_2022,40.0,503,0.19087722818018116,0.09146272847438452,-0.2553541354001039,2.0122262424628974,49,0,0.5833333333333334,0.01606586984061647,0.0,,,
H20,15,EVENT_STRICT,0.85,0.1,WF_2019_2020,20.0,505,2.0893550811423793,0.7556942879351334,-0.35429879706260736,1.6377240503360357,39,0,0.7083333333333334,0.006563894011267446,0.0,,,
H20,15,EVENT_STRICT,0.85,0.1,WF_2019_2020,40.0,505,2.0691347207086057,0.7499505724555919,-0.3545986798135593,1.6377240503360357,39,0,0.7083333333333334,0.013127788022534892,0.0,,,
H20,15,EVENT_STRICT,0.85,0.1,WF_2021_2022,20.0,503,0.1923225542239022,0.09212617947436108,-0.25378565953334753,1.3815899924244366,34,0,0.625,0.00551539496975787,0.0,,,
H20,15,EVENT_STRICT,0.85,0.1,WF_2021_2022,40.0,503,0.1857615693391017,0.08911124314559049,-0.25478956189101043,1.3815899924244366,34,0,0.625,0.01103078993951574,0.0,,,
H20,20,MONTHLY,,,WF_2019_2020,20.0,505,2.224284496560639,0.7935491321616497,-0.35456398351318963,3.485234022043527,24,0,0.7083333333333334,0.013968596675650646,0.0,,,
