partition,signal_date,milp_success,milp_message,spearman_alpha_milp,kendall_alpha_milp,top5_capture,top10_capture,top5_overlap,top10_overlap,zero_reference_to_positive_theoretical_mass,low_alpha_high_weight_inversions,excluded_top_alpha_names,mean_rank_displacement,amplification_vs_reference,l1_reference_theoretical,l1_theoretical_optimizer,l1_optimizer_milp,l1_reference_milp,alpha_capture,optimizer_vs_milp_localization,alpha_loss_mechanism
VALIDATION_2023_2024,2023-01-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9489936425679549,0.8507699593953254,1.0,1.0,1.0,1.0,0.041818654994695864,8,,1.3,1.5,0.5028472738599183,0.0,0.09931486130345153,0.42333333333333334,1.0083101851851854,PANW:0.0162;CDNS:0.0126;ADSK:0.0109,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2023-02-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.979883347601846,0.9262941220283407,1.0,1.0,1.0,1.0,0.04200167878833321,1,,0.85,1.5,0.509644051585067,0.0,0.1018595527578239,0.42333333333333334,1.0086619718309862,NOW:0.0165;YPF:0.0129;PANW:0.0107,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE;DISCRETIZATION_OR_CARDINALITY
VALIDATION_2023_2024,2023-03-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.952388569337102,0.858927276789916,1.0,1.0,1.0,1.0,0.04200167878833321,7,,1.25,1.5,0.509644051585067,0.0,0.1018595527578239,0.42333333333333334,1.0085211267605636,MCO:0.0165;ANET:0.0129;REGN:0.0107,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE;DISCRETIZATION_OR_CARDINALITY
VALIDATION_2023_2024,2023-04-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9718258530836709,0.9064028411241584,1.0,1.0,1.0,1.0,0.04215366863021663,2,,1.0,1.5,0.5141416564935829,2.480654570646834e-16,0.10150872516346747,0.43333333333333335,1.0088388625592417,APD:0.0167;ORLY:0.0132;NXPI:0.0105,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE;DISCRETIZATION_OR_CARDINALITY
VALIDATION_2023_2024,2023-05-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04223895621082798,0,,0.95,1.5,0.5163795060691655,0.0,0.09993321529225048,0.4366666666666667,1.0089761904761905,ANET:0.0168;ORLY:0.0133;VRTX:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2023-06-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04233057528311521,0,,0.95,1.5,0.5186096657097823,9.540979117872439e-17,0.09856447613979215,0.4366666666666667,1.009019138755981,ADSK:0.0169;CDNS:0.0134;APD:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2023-07-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04233057528311521,0,,0.95,1.5,0.5186096657097823,9.540979117872439e-17,0.09856447613979215,0.4366666666666667,1.009019138755981,PANW:0.0169;ORLY:0.0134;VIST:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2023-08-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04233057528311521,0,,0.95,1.5,0.5186096657097823,9.540979117872439e-17,0.09856447613979215,0.4366666666666667,1.009019138755981,RCL:0.0169;VIST:0.0134;ISRG:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2023-09-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04233057528311521,0,,0.95,1.5,0.5186096657097823,9.540979117872439e-17,0.09856447613979215,0.4366666666666667,1.009019138755981,ADSK:0.0169;MELI:0.0134;BKNG:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2023-10-02,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04223895621082798,0,,0.95,1.5,0.5163795060691655,0.0,0.09993321529225048,0.4366666666666667,1.0089761904761905,NFLX:0.0168;MELI:0.0133;CDNS:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2023-11-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04223895621082798,0,,0.95,1.5,0.5163795060691655,0.0,0.09993321529225048,0.4366666666666667,1.0089761904761905,MPWR:0.0168;STLD:0.0133;TTWO:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2023-12-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04223895621082798,0,,0.95,1.5,0.5163795060691655,0.0,0.09993321529225048,0.4366666666666667,1.0089761904761905,PANW:0.0168;TTWO:0.0133;FTNT:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-01-02,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.042428629668723516,0,,0.95,1.5,0.520831846172482,0.0,0.09720255441595133,0.4366666666666667,1.0090625,CRWD:0.0170;PANW:0.0135;PLTR:0.0103,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-02-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.042428629668723516,0,,0.95,1.5,0.520831846172482,0.0,0.09720255441595133,0.4366666666666667,1.0090625,ADBE:0.0170;ORLY:0.0135;ANET:0.0103,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-03-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.042428629668723516,0,,0.95,1.5,0.520831846172482,0.0,0.09720255441595133,0.4366666666666667,1.0090625,LRCX:0.0170;ADSK:0.0135;NXPI:0.0103,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-04-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04265311247863686,0,,0.95,1.5,0.5254035315849943,0.0,0.09593255705532908,0.4366666666666667,1.0091504854368933,SHOP:0.0172;MELI:0.0137;PLTR:0.0101,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-05-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.042428629668723516,0,,0.95,1.5,0.520831846172482,0.0,0.09720255441595133,0.4366666666666667,1.0090625,MCO:0.0170;VIST:0.0135;RCL:0.0103,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-06-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04215366863021663,0,,0.95,1.5,0.5141416564935829,2.480654570646834e-16,0.1013083330718681,0.4366666666666667,1.0089336492890995,NUE:0.0167;MELI:0.0132;INTU:0.0105,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE;DISCRETIZATION_OR_CARDINALITY
VALIDATION_2023_2024,2024-07-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04215366863021663,0,,0.95,1.5,0.5141416564935829,2.480654570646834e-16,0.1013083330718681,0.4366666666666667,1.0089336492890995,STLD:0.0167;MELI:0.0132;NXPI:0.0105,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE;DISCRETIZATION_OR_CARDINALITY
VALIDATION_2023_2024,2024-08-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04233057528311521,0,,0.95,1.5,0.5186096657097823,9.540979117872439e-17,0.09856447613979215,0.4366666666666667,1.009019138755981,BKNG:0.0169;SNPS:0.0134;LRCX:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-09-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04233057528311521,0,,0.95,1.5,0.5186096657097823,9.540979117872439e-17,0.09856447613979215,0.4366666666666667,1.009019138755981,SNPS:0.0169;ORLY:0.0134;ADSK:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-10-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04233057528311521,0,,0.95,1.5,0.5186096657097823,9.540979117872439e-17,0.09856447613979215,0.4366666666666667,1.009019138755981,RCL:0.0169;STLD:0.0134;TTWO:0.0104,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-11-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04279676372226148,0,,0.95,1.5,0.5280596233497288,0.0,0.09811008147018188,0.4366666666666667,1.0091951219512194,RCL:0.0173;DDOG:0.0139;TTWO:0.0100,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
VALIDATION_2023_2024,2024-12-02,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04279676372226148,0,,0.95,1.5,0.5280596233497288,0.0,0.09811008147018188,0.4366666666666667,1.0091951219512194,NFLX:0.0173;VRTX:0.0139;ARM:0.0100,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
