feature,family,overall_coverage,development_coverage,validation_signal_date_coverage,oos_feature_coverage_no_labels,first_finite_date,last_finite_date
growth_revenue_252s,FUNDAMENTAL_CHANGE,0.369598106546976,0.2854670270168467,0.7075151336187805,0.7599032250596162,2015-01-02,2026-09-04
growth_shares_252s,FUNDAMENTAL_CHANGE,0.5656778941623143,0.5627941578070118,0.7521593090211133,0.80412335332114,2014-12-23,2026-09-04
liq_amihud_20d,LIQUIDITY,0.007081584735669883,0.003659374911717345,0.018529455189723903,0.01944759567522515,2020-09-29,2026-09-04
liq_amihud_60d,LIQUIDITY,0.006920611046064885,0.0034183044080118275,0.018529455189723903,0.01944759567522515,2020-11-12,2026-09-04
liq_dollar_volume_trend_20_60,LIQUIDITY,0.0069256414738650416,0.003425837861252625,0.018529455189723903,0.01944759567522515,2020-11-11,2026-09-04
liq_log_dollar_volume_20d,LIQUIDITY,0.00708661516347004,0.0036669083649581422,0.018529455189723903,0.01944759567522515,2020-09-28,2026-09-04
liq_log_dollar_volume_60d,LIQUIDITY,0.0069256414738650416,0.003425837861252625,0.018529455189723903,0.01944759567522515,2020-11-11,2026-09-04
liq_zero_volume_20d,LIQUIDITY,0.9919777252657009,0.9967907489194203,0.9983297652443526,0.9968166138031626,2014-01-15,2026-09-04
distance_low_120d,MARKET_TREND_RISK,0.9517783191077027,0.9809610802971948,0.990532260445888,0.9921630819808765,2014-05-12,2026-09-04
distance_low_20d,MARKET_TREND_RISK,0.9919777252657009,0.9967907489194203,0.9983297652443526,0.9968166138031626,2014-01-15,2026-09-04
distance_low_252d,MARKET_TREND_RISK,0.900545927177012,0.9613251344250563,0.9822087701166397,0.985495334892228,2014-10-10,2026-09-04
distance_low_60d,MARKET_TREND_RISK,0.9756451838055438,0.9902027440603429,0.9953399527535804,0.9945245757414396,2014-03-04,2026-09-04
downside_vol_20d,MARKET_TREND_RISK,0.9914570759883847,0.9965779288653678,0.9982374870810571,0.9967008543050957,2014-01-16,2026-09-04
downside_vol_60d,MARKET_TREND_RISK,0.975139625811628,0.9900031075494619,0.995247674590285,0.9944551200425995,2014-03-05,2026-09-04
drawdown_high_120d,MARKET_TREND_RISK,0.9517783191077027,0.9809610802971948,0.990532260445888,0.9921630819808765,2014-05-12,2026-09-04
drawdown_high_20d,MARKET_TREND_RISK,0.9919777252657009,0.9967907489194203,0.9983297652443526,0.9968166138031626,2014-01-15,2026-09-04
drawdown_high_252d,MARKET_TREND_RISK,0.900545927177012,0.9613251344250563,0.9822087701166397,0.985495334892228,2014-10-10,2026-09-04
drawdown_high_60d,MARKET_TREND_RISK,0.9756451838055438,0.9902027440603429,0.9953399527535804,0.9945245757414396,2014-03-04,2026-09-04
mom_10d,MARKET_TREND_RISK,0.9945935477217821,0.9978548491896829,0.9988188395098184,0.9974764429421434,2014-01-08,2026-09-04
mom_120d,MARKET_TREND_RISK,0.9395619251950234,0.976267738928178,0.9882253063635021,0.9910054870002084,2014-06-17,2026-09-04
mom_1d,MARKET_TREND_RISK,0.9994252736238322,0.9997871799459475,0.9998708105713864,0.9994790822586993,2013-12-24,2026-09-04
mom_20d,MARKET_TREND_RISK,0.9893795093069202,0.9957322987390883,0.9978683744278753,0.9962493922626352,2014-01-23,2026-09-04
mom_252d,MARKET_TREND_RISK,0.8764086769849125,0.9518574670646841,0.9786837442787539,0.9818489107031232,2014-12-23,2026-09-04
mom_40d,MARKET_TREND_RISK,0.9791840897629537,0.9916001996365109,0.9960043555293076,0.9949876137337068,2014-02-21,2026-09-04
mom_5d,MARKET_TREND_RISK,0.9972382951377142,0.9989208328232557,0.9993632806732615,0.9983214872780312,2013-12-31,2026-09-04
mom_60d,MARKET_TREND_RISK,0.9691169461278911,0.9876583202282636,0.9940849697327624,0.993783714953812,2014-03-21,2026-09-04
mom_accel_120_252,MARKET_TREND_RISK,0.8764086769849125,0.9518574670646841,0.9786837442787539,0.9818489107031232,2014-12-23,2026-09-04
mom_accel_20_60,MARKET_TREND_RISK,0.9691169461278911,0.9876583202282636,0.9940849697327624,0.993783714953812,2014-03-21,2026-09-04
mom_accel_60_120,MARKET_TREND_RISK,0.9395619251950234,0.976267738928178,0.9882253063635021,0.9910054870002084,2014-06-17,2026-09-04
mom_skip_120_20,MARKET_TREND_RISK,0.9395619251950234,0.976267738928178,0.9882253063635021,0.9910054870002084,2014-06-17,2026-09-04
mom_skip_20_5,MARKET_TREND_RISK,0.9893795093069202,0.9957322987390883,0.9978683744278753,0.9962493922626352,2014-01-23,2026-09-04
mom_skip_252_20,MARKET_TREND_RISK,0.8764086769849125,0.9518574670646841,0.9786837442787539,0.9818489107031232,2014-12-23,2026-09-04
mom_skip_60_5,MARKET_TREND_RISK,0.9691169461278911,0.9876583202282636,0.9940849697327624,0.993783714953812,2014-03-21,2026-09-04
rel_mom_120d,MARKET_TREND_RISK,0.9395619251950234,0.976267738928178,0.9882253063635021,0.9910054870002084,2014-06-17,2026-09-04
rel_mom_20d,MARKET_TREND_RISK,0.9893795093069202,0.9957322987390883,0.9978683744278753,0.9962493922626352,2014-01-23,2026-09-04
rel_mom_252d,MARKET_TREND_RISK,0.8764086769849125,0.9518574670646841,0.9786837442787539,0.9818489107031232,2014-12-23,2026-09-04
rel_mom_60d,MARKET_TREND_RISK,0.9691169461278911,0.9876583202282636,0.9940849697327624,0.993783714953812,2014-03-21,2026-09-04
skew_60d,MARKET_TREND_RISK,0.975139625811628,0.9900031075494619,0.995247674590285,0.9944551200425995,2014-03-05,2026-09-04
trend_sma_120d,MARKET_TREND_RISK,0.9517783191077027,0.9809610802971948,0.990532260445888,0.9921630819808765,2014-05-12,2026-09-04
trend_sma_20d,MARKET_TREND_RISK,0.9919777252657009,0.9967907489194203,0.9983297652443526,0.9968166138031626,2014-01-15,2026-09-04
trend_sma_252d,MARKET_TREND_RISK,0.900545927177012,0.9613251344250563,0.9822087701166397,0.985495334892228,2014-10-10,2026-09-04
trend_sma_60d,MARKET_TREND_RISK,0.9756451838055438,0.9902027440603429,0.9953399527535804,0.9945245757414396,2014-03-04,2026-09-04
vol_10d,MARKET_TREND_RISK,0.9956449071320148,0.998280489297788,0.9990218514690684,0.9977774176371171,2014-01-06,2026-09-04
vol_120d,MARKET_TREND_RISK,0.9512878523971875,0.9807727439661748,0.9904399822825927,0.9921167781816498,2014-05-13,2026-09-04
vol_20d,MARKET_TREND_RISK,0.9914570759883847,0.9965779288653678,0.9982374870810571,0.9967008543050957,2014-01-16,2026-09-04
vol_60d,MARKET_TREND_RISK,0.975139625811628,0.9900031075494619,0.995247674590285,0.9944551200425995,2014-03-05,2026-09-04
worst_day_20d,MARKET_TREND_RISK,0.9914570759883847,0.9965779288653678,0.9982374870810571,0.9967008543050957,2014-01-16,2026-09-04
worst_day_60d,MARKET_TREND_RISK,0.975139625811628,0.9900031075494619,0.995247674590285,0.9944551200425995,2014-03-05,2026-09-04
quality_accruals_assets_reported,QUALITY,0.60418581897251,0.5604192366728504,0.7441587922633988,0.789433473016461,2013-12-23,2026-09-04
quality_fcf_assets_reported,QUALITY,0.4852979459505685,0.4446564274481369,0.6171286726708991,0.656900423679763,2013-12-23,2026-09-04
quality_ocf_assets_reported,QUALITY,0.6072355158263547,0.5638431911707928,0.7441587922633988,0.789433473016461,2013-12-23,2026-09-04
quality_ocf_margin_reported,QUALITY,0.4164162980830297,0.3411015792001356,0.7160693193562675,0.7640821429398282,2014-01-02,2026-09-04
quality_operating_income_assets_reported,QUALITY,0.5085397799942402,0.4726337894211483,0.6237173335301934,0.6627462783321372,2014-01-02,2026-09-04
quality_operating_margin_reported,QUALITY,0.3460632500839453,0.28078498582769107,0.6048925882179241,0.6471187460931169,2014-01-02,2026-09-04
quality_profit_assets_reported,QUALITY,0.6115994119429902,0.5700978407239649,0.7441587922633988,0.789433473016461,2013-12-23,2026-09-04
quality_profit_margin_reported,QUALITY,0.4178788949659251,0.343485917150848,0.7160693193562675,0.7640821429398282,2014-01-02,2026-09-04
size_log_assets,SIZE,0.615553328193913,0.5744013258877704,0.7441587922633988,0.789433473016461,2013-12-23,2026-09-04
size_log_market_cap,SIZE,0.6189237148200176,0.5739794525062857,0.7590801712682711,0.8109994675063089,2013-12-23,2026-09-04
size_log_shares,SIZE,0.6189237148200176,0.5739794525062857,0.7590801712682711,0.8109994675063089,2013-12-23,2026-09-04
value_book_to_market_snapshot,VALUATION,0.5781797648526524,0.5407173730848549,0.689825409715045,0.7393327622531428,2013-12-23,2026-09-04
value_earnings_yield_reported,VALUATION,0.5813728288988016,0.5447251702089592,0.6919385796545106,0.7393327622531428,2013-12-23,2026-09-04
value_eps_yield_reported,VALUATION,0.5853430940400749,0.5448099215579181,0.7112523992322457,0.755400180584817,2013-12-23,2026-09-04
value_fcf_yield_reported,VALUATION,0.45744195200720356,0.4227660956936898,0.5649084600620109,0.6067997129164447,2013-12-23,2026-09-04
value_ocf_yield_reported,VALUATION,0.5779684868850459,0.5399075268614693,0.6919385796545106,0.7393327622531428,2013-12-23,2026-09-04
value_sales_yield_reported,VALUATION,0.3977974271877016,0.330477526767301,0.6684814705448103,0.7151969069062116,2014-01-02,2026-09-04
