signal_date,ticker,requested_entry_date,entry_date,target_status_1d,target_end_date_1d,horizon_sessions,target_status_5d,target_end_date_5d,target_status_10d,target_end_date_10d,target_status_20d,target_end_date_20d,target_status_40d,target_end_date_40d,target_status_60d,target_end_date_60d,target_status_120d,target_end_date_120d,target_status_252d,target_end_date_252d
2017-08-29,ABAX,2017-08-30,2017-08-30,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-30,ABAX,2017-08-31,2017-08-31,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-31,ABAX,2017-09-01,2017-09-01,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-01,ABAX,2017-09-05,2017-09-05,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-05,ABAX,2017-09-06,2017-09-06,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-06,ABAX,2017-09-07,2017-09-07,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-07,ABAX,2017-09-08,2017-09-08,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-08,ABAX,2017-09-11,2017-09-11,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-11,ABAX,2017-09-12,2017-09-12,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-12,ABAX,2017-09-13,2017-09-13,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-13,ABAX,2017-09-14,2017-09-14,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-14,ABAX,2017-09-15,2017-09-15,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-15,ABAX,2017-09-18,2017-09-18,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-18,ABAX,2017-09-19,2017-09-19,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-19,ABAX,2017-09-20,2017-09-20,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-20,ABAX,2017-09-21,2017-09-21,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-21,ABAX,2017-09-22,2017-09-22,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-22,ABAX,2017-09-25,2017-09-25,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-25,ABAX,2017-09-26,2017-09-26,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-26,ABAX,2017-09-27,2017-09-27,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-27,ABAX,2017-09-28,2017-09-28,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-28,ABAX,2017-09-29,2017-09-29,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-09-29,ABAX,2017-10-02,2017-10-02,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
