horizon_sessions,fold,architecture,train_rows,test_rows,rows_scored,score_dates,mean_daily_spearman_ic,median_daily_spearman_ic,positive_month_ic_share,top_decile_return_mean,top_decile_net_return_proxy,universe_return_mean,top_vs_universe_net_spread,top_bottom_return_spread,winner_top_decile_base_rate,winner_top_decile_precision,winner_top_decile_lift,daily_top_set_turnover_proxy
120,WF_2019_2020,HGB_RANK,270211,88542,88542,487,0.1263419935145741,0.13141487498055276,0.8947368421052632,0.20084354951827646,0.19884354951827646,0.08758907063999151,0.11125447887828495,0.10376028626532718,0.10166926430394616,0.21514515950987967,2.1161278286296117,0.1318054810043538
120,WF_2019_2020,HGB_WINNER,270211,88542,88542,487,-0.05877951971659697,-0.04073624291066005,0.2631578947368421,0.17356311828194393,0.17156311828194393,0.08758907063999151,0.08397404764195242,0.10976231837176272,0.10166926430394616,0.28866320785958716,2.839237697212127,0.08934409852686825
120,WF_2019_2020,BLEND_RIDGE_HGB,270211,88542,88542,487,0.19287175579445504,0.20416815989731768,1.0,0.2217126509587947,0.2197126509587947,0.08758907063999151,0.13212358031880317,0.14621572804330782,0.10166926430394616,0.222687686032411,2.1903147185827296,0.07245967311184702
120,WF_2021_2022,DEV_IC_COMPOSITE,388024,88641,88641,502,0.14840787414255513,0.11790165259412541,0.6842105263157895,0.03756077619006403,0.03556077619006403,0.0035029037840651205,0.03205787240599891,0.16387247735734678,0.10329305851693911,0.16149273447820345,1.5634422757626072,0.09782970291301454
120,WF_2021_2022,RIDGE_RANK,388024,88641,88641,502,0.1393512423620627,0.15126535822682044,0.8947368421052632,-0.00799730290381599,-0.00999730290381599,0.0035029037840651205,-0.01350020668788111,0.14946435924351925,0.10329305851693911,0.11856010568031704,1.147803224946372,0.08724941421504817
120,WF_2021_2022,HGB_RANK,388024,88641,88641,502,0.1043660601173903,0.10292969491568524,0.7368421052631579,-0.015317792070340577,-0.01731779207034058,0.0035029037840651205,-0.0208206958544057,0.11373797617394228,0.10329305851693911,0.10887274328489652,1.0540180032237345,0.10772295987734676
120,WF_2021_2022,HGB_WINNER,388024,88641,88641,502,-0.08921774023971857,-0.10008910319737423,0.2631578947368421,-0.02422536001183603,-0.02622536001183603,0.0035029037840651205,-0.02972826379590115,-0.03448576868450446,0.10329305851693911,0.17677490368739682,1.7113919001479403,0.06672524516185022
120,WF_2021_2022,BLEND_RIDGE_HGB,388024,88641,88641,502,0.12869344441991976,0.13606111462769954,0.8421052631578947,-0.0032712686045471345,-0.0052712686045471345,0.0035029037840651205,-0.008774172388612255,0.14458766055307884,0.10329305851693911,0.127106509527481,1.2305426071456362,0.055389381476338
252,WF_2019_2020,DEV_IC_COMPOSITE,238800,59189,59189,487,0.3565970231995302,0.37292539915619904,1.0,0.44057308312343524,0.43857308312343524,0.1356102321142566,0.30296285100917864,0.43047790306577915,0.09905556775752251,0.23509060955518946,2.3733204995671344,0.16788006202659989
252,WF_2019_2020,RIDGE_RANK,238800,59189,59189,487,0.2998943401133416,0.30903590379023316,1.0,0.5094691958356311,0.5074691958356311,0.1356102321142566,0.3718589637213745,0.4863645535962852,0.09905556775752251,0.26507413509060956,2.6760144946065307,0.14725815590147312
252,WF_2019_2020,HGB_RANK,238800,59189,59189,487,0.21373459624245333,0.22544032530821095,1.0,0.43872748981374676,0.43672748981374676,0.1356102321142566,0.30111725769949016,0.28221131021674656,0.09905556775752251,0.2950684479630546,2.978817391520593,0.17552967200610223
252,WF_2019_2020,HGB_WINNER,238800,59189,59189,487,-0.08035443036002429,-0.0918376679104039,0.16666666666666666,0.24327011294996326,0.24127011294996326,0.1356102321142566,0.10565988083570665,0.15806006593990618,0.09905556775752251,0.2647446457990115,2.672688186968735,0.15641363988787502
252,WF_2019_2020,BLEND_RIDGE_HGB,238800,59189,59189,487,0.2735037609689225,0.28408049105366406,1.0,0.5520493631854777,0.5500493631854777,0.1356102321142566,0.4144391310712211,0.49152967675940273,0.09905556775752251,0.3205718041406507,3.236282537144972,0.19662898436405934
252,WF_2021_2022,DEV_IC_COMPOSITE,358671,59864,59864,502,0.05987991560325315,0.0640884457796391,0.8333333333333334,0.026550781273878783,0.02455078127387878,-0.006434981089028788,0.03098576236290757,0.19200170661836846,0.10468729119337164,0.15608507916200223,1.4909649240392695,0.10356822586710639
252,WF_2021_2022,RIDGE_RANK,358671,59864,59864,502,0.07819810812535036,0.07157725509728546,1.0,-0.03845534529171955,-0.040455345291719555,-0.006434981089028788,-0.034020364202690764,0.13018880478325118,0.10468729119337164,0.11802334879257956,1.1273894610051034,0.11306372761722931
252,WF_2021_2022,HGB_RANK,358671,59864,59864,502,0.02281527991717076,0.0201402603474948,0.6666666666666666,-0.11656385852682977,-0.11856385852682977,-0.006434981089028788,-0.11212887743780098,0.04751934576159991,0.10468729119337164,0.0603144048764838,0.5761387479696547,0.16441867628938567
252,WF_2021_2022,HGB_WINNER,358671,59864,59864,502,-0.13065557984374548,-0.1359947526098294,0.0,-0.09924865449769357,-0.10124865449769357,-0.006434981089028788,-0.09481367340866478,-0.10529012778519686,0.10468729119337164,0.12458020150327842,1.1900222088387202,0.10869203621742023
252,WF_2021_2022,BLEND_RIDGE_HGB,358671,59864,59864,502,0.05353422104016311,0.04719729873612169,0.9166666666666666,-0.08575255191297848,-0.08775255191297848,-0.006434981089028788,-0.08131757082394969,0.07733464041508958,0.10468729119337164,0.08445945945945946,0.8067785353568024,0.1178743961352657
