ticker,first_date,last_date,rows,covered_rows,coverage
CNR,2017-11-14,2022-07-25,1180,1180,1.0
CNXR,2014-12-31,2018-04-27,836,836,1.0
COF,2014-01-02,2026-09-04,3188,3188,1.0
COHR,2013-12-23,2022-07-01,2146,2146,1.0
COIN,2021-04-30,2026-09-04,1344,1344,1.0
COL,2013-12-23,2018-11-26,1216,1216,1.0
COP,2014-01-02,2026-09-04,3188,3188,1.0
COR,2013-12-23,2021-12-31,2021,2021,1.0
CORI,2014-04-30,2018-11-27,1155,1155,1.0
COST,2014-01-02,2026-09-04,3188,3188,1.0
COTV,2016-05-31,2018-08-24,565,565,1.0
CPLA,2013-12-23,2018-07-31,1157,1157,1.0
CPN,2013-12-23,2018-03-08,1057,1057,1.0
CPRX,2026-07-15,2026-07-16,2,2,1.0
CRC,2020-10-28,2020-12-04,27,27,1.0
CRM,2014-01-02,2026-09-04,3188,3188,1.0
CRVP,2013-12-23,2018-03-20,1067,1067,1.0
CRWD,2019-07-01,2026-09-04,1806,1806,1.0
CSCO,2014-01-02,2026-09-04,3188,3188,1.0
CTP,2013-12-23,2015-06-23,377,377,1.0
CTZ,2015-09-30,2020-10-23,1277,1277,1.0
CUDA,2013-12-23,2018-02-12,1021,1021,1.0
CVG,2013-12-23,2018-12-14,1229,1229,1.0
CVU,2022-09-30,2022-12-13,52,52,1.0
CVX,2014-01-02,2026-09-04,3188,3188,1.0
CWAN,2026-07-02,2026-07-02,1,1,1.0
CZR,2014-09-22,2020-07-20,1467,1467,1.0
DCOM,2013-12-23,2021-02-02,1790,1790,1.0
DD,2017-07-31,2019-06-04,464,464,1.0
DDOG,2019-09-30,2026-09-04,1743,1743,1.0
DE,2014-01-02,2026-09-04,3188,3188,1.0
DEL,2013-12-23,2018-02-20,1046,1046,1.0
DEO,2014-01-02,2026-09-04,3188,3188,1.0
DHR,2014-01-02,2026-09-04,3188,3188,1.0
DIS,2014-01-02,2026-09-04,3188,3188,1.0
DOC,2013-12-23,2024-03-11,2570,2570,1.0
DOW,2019-04-01,2026-09-04,1869,1869,1.0
DRUA,2016-08-01,2021-08-30,1280,1280,1.0
DST,2013-12-23,2018-04-16,1085,1085,1.0
DSY,2024-07-01,2026-02-20,412,412,1.0
DTJ,2016-06-30,2021-06-29,1258,1258,1.0
DTY,2017-01-03,2021-12-15,1248,1248,1.0
DWCH,2013-12-23,2018-12-13,1253,1253,1.0
EA,2026-07-17,2026-08-04,2,2,1.0
ECHO,2013-12-23,2026-06-26,3145,3145,1.0
ECVT,2017-10-02,2021-08-02,965,965,1.0
ECYT,2013-12-23,2018-12-21,1259,1259,1.0
EEX,2026-07-14,2026-07-14,1,1,1.0
EGC,2017-01-31,2018-10-19,435,435,1.0
EGN,2013-12-23,2018-11-29,1243,1243,1.0
ELA,2015-12-30,2016-08-29,168,168,1.0
ELEC,2015-09-30,2018-06-06,676,676,1.0
ELECU,2015-06-30,2018-05-30,735,735,1.0
ELSE,2026-07-17,2026-08-07,6,6,1.0
EMR,2014-01-02,2026-09-04,3188,3188,1.0
ENLK,2013-12-23,2019-01-24,1279,1279,1.0
EOG,2014-01-02,2026-09-04,3188,3188,1.0
EP,2022-03-03,2022-04-14,31,31,1.0
ESI,2019-01-28,2019-02-04,6,6,1.0
ESIO,2013-12-23,2019-02-01,1285,1285,1.0
ESND,2013-12-23,2019-01-30,1282,1282,1.0
ESPR,2026-07-13,2026-07-13,1,1,1.0
ETN,2014-01-02,2026-09-04,3188,3188,1.0
ETP,2014-07-30,2018-10-19,1044,1044,1.0
EU,2014-09-02,2024-10-08,2543,2543,1.0
EVSNF,2013-12-31,2018-04-25,1087,1087,1.0
EXAC,2013-12-23,2018-02-14,1042,1042,1.0
FBRT,2021-10-19,2021-10-19,1,1,1.0
FCX,2014-01-02,2026-09-04,3188,3188,1.0
FDX,2014-01-02,2026-09-04,3188,3188,1.0
FLNA,2017-10-09,2026-06-01,2172,2172,1.0
FMI,2013-12-23,2018-08-09,1165,1165,1.0
FNCX,2013-12-23,2018-11-15,1235,1235,1.0
FOGO,2015-06-30,2018-04-13,703,703,1.0
FTNT,2014-01-02,2026-09-04,3188,3188,1.0
FUN,2013-12-23,2024-07-16,2657,2657,1.0
FWDI,2013-12-23,2019-03-26,1322,1322,1.0
GAME,2018-01-26,2021-06-23,858,858,1.0
GD,2014-01-02,2026-09-04,3188,3188,1.0
GE,2014-01-02,2026-09-04,3188,3188,1.0
GHI,2013-12-23,2022-12-30,2272,2272,1.0
GILD,2014-01-02,2026-09-04,3188,3188,1.0
GLDI,2024-07-01,2024-07-09,6,6,1.0
GLOB,2014-07-31,2026-09-04,3043,3043,1.0
GMLPF,2017-10-31,2021-05-21,895,895,1.0
GMTA,2016-05-31,2021-05-28,1259,1259,1.0
GNCMA,2013-12-23,2018-03-14,1061,1061,1.0
GOLD,2014-03-17,2018-12-28,1207,1207,1.0
GOOGL,2014-01-02,2026-09-04,3188,3188,1.0
GPOR,2021-05-18,2021-05-18,1,1,1.0
GROM,2017-07-31,2026-09-03,2287,2287,1.0
GS,2014-01-02,2026-09-04,3188,3188,1.0
GTES,2018-01-31,2026-07-17,2126,2126,1.0
GTLS,2026-07-15,2026-07-16,2,2,1.0
HBANP,2021-02-02,2021-03-03,21,21,1.0
HCC,2017-04-13,2017-07-03,56,56,1.0
HD,2014-01-02,2026-09-04,3188,3188,1.0
HDP,2014-12-31,2019-01-03,1009,1009,1.0
HHH,2021-10-15,2022-07-19,190,190,1.0
HIVE,2014-03-31,2019-08-20,1358,1358,1.0
HLX,2013-12-23,2026-09-01,3166,3166,1.0
HOLO,2021-08-31,2022-12-23,333,333,1.0
HON,2014-01-02,2026-09-04,3188,3188,1.0
HQCL,2013-12-23,2019-01-16,1275,1275,1.0
