issuer,origin_ticker,byma_ticker,ratio_a,ratio_b,ratio,source_url
BANCO_COMAFI,ETSY,ETSY,16,1,16:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,EWY,EWY,50,1,50:1,https://cajadevalores.com.ar/Servicios/Cedears
CAJA_DE_VALORES,EWZ,EWZ,2,1,2:1,https://cajadevalores.com.ar/Servicios/Cedears
CAJA_DE_VALORES,F,F,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,FCX,FCX,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,FDX,FDX,10,1,10:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,FMCC,FMCC,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,FMX,FMX,6,1,6:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,FNMA,FNMA,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,FSLR,FSLR,18,1,18:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,FXI,FXI,5,1,5:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GE,GE,8,1,8:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GFI,GFI,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GGB,GGB,1,4,1:4,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GILD,GILD,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,GLD,GLD,50,1,50:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,GLOB,GLOB,18,1,18:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GLW,GLW,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GM,GM,6,1,6:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GOLD,GOLD,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GOOGL,GOOGL,58,1,58:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GPRK,GPRK,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GRMN,GRMN,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GS,GS,13,1,13:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GSK,GSK,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,GT,GT,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HAL,HAL,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,HAPV3,HAPV3,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,HD,HD,32,1,32:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HDB,HDB,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HL,HL,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HMC,HMC,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HMY,HMY,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HNHPF,HHPD,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HOG,HOG,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HON,HON,8,1,8:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HPQ,HPQ,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HSBC,HSBC,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,HSY,HSY,21,1,21:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,HUT,HUT,5,1,5:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,HWM,HWM,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,IBB,IBB,27,1,27:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,IBIT,IBIT,10,1,10:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,IBM,IBM,15,1,15:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,IBN,IBN,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,ICLN,ICLN,5,1,5:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,IEUR,IEUR,11,1,11:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
