capital_usd,pass,pre_exec_cagr,pre_cagr_retention,pre_exec_dd,pre_exec_turnover,pre_median_holdings,pre_p95_exec_l1,pre_mean_inaccessible,hold_exec_cagr,hold_cagr_retention,hold_exec_dd,hold_exec_turnover,hold_median_holdings,hold_p95_exec_l1,hold_mean_inaccessible,current_fit_pass,current_holdings,current_cash,current_l1,current_p95_abs_error,current_max_overweight,current_inaccessible_target_weight,pre_gate_cagr_retention,pre_gate_cagr_shortfall,pre_gate_dd,pre_gate_turnover,pre_gate_tracking,hold_gate_cagr_retention,hold_gate_cagr_shortfall,hold_gate_dd,hold_gate_turnover,hold_gate_tracking
15000.0,False,0.16043909989505467,0.4977860779543277,-0.20365569660729976,9.130610747239142,24.0,1.200789204312457,0.451731818343629,0.13527633319185006,0.4474296132983215,-0.1543410796443928,10.724109745513106,21.0,1.247438052141974,0.47474418844572774,False,20,0.33317640823546957,0.6783950798156331,0.0491696886495237,0.006243823487937451,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
20000.0,False,0.16065017450280572,0.498440968197522,-0.2033536642740984,9.124085816739681,24.0,1.2007478874703403,0.45175164896441233,0.13311896092682285,0.44029405443517067,-0.15436918552119827,10.704790879163314,21.0,1.2461254250240932,0.4747250297999394,False,20,0.33709344213129455,0.677053189658743,0.0491696886495237,0.0028551900650858877,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
30000.0,False,0.16059214170282798,0.4982609128374974,-0.2039290196839153,9.130346002608597,24.0,1.200983015631616,0.4517812779956836,0.13231842083572198,0.43764624949442704,-0.15423934108782278,10.707595491816837,21.0,1.2466125187792743,0.47474989886793956,False,20,0.3401137759776134,0.6758529319462303,0.0491696886495237,0.0013073742284937639,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
50000.0,False,0.16055599602584736,0.49814876551935017,-0.2039620958849483,9.13277239067087,24.0,1.2005542084597696,0.4517887979868271,0.13265527065263916,0.4387603880859064,-0.15432438828157835,10.698852860987094,21.0,1.2462592360014004,0.47480081842790517,False,20,0.3422518107435293,0.6764169492973505,0.0491696886495237,0.0008220100113749502,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
75000.0,False,0.16037441424532806,0.4975853811422763,-0.20410569384412047,9.133239721161283,24.0,1.2003186707922031,0.45178743658689596,0.13123535546738463,0.4340639856386739,-0.1543148183529348,10.717187814528918,21.0,1.245267320046973,0.4748105943510444,False,20,0.3413801540705217,0.6742779243978709,0.0491696886495237,0.000822010011374952,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
100000.0,False,0.160457348113354,0.4978426957552429,-0.2040540325119673,9.13260227434583,24.0,1.2003791885787256,0.45179184342293427,0.13209367551264983,0.43690289911953056,-0.15438235822623003,10.710077953145465,21.0,1.2452611094054278,0.47480359448394616,False,20,0.3406720311812149,0.6731566514488845,0.0491696886495237,0.0008220100113749502,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
150000.0,False,0.16046192104384271,0.497856883949606,-0.20401467092685477,9.13326369423438,24.0,1.2005283666587723,0.45179318694028087,0.1320557484637399,0.4367774545245529,-0.1543124465178327,10.716771101300605,21.0,1.2449348970955516,0.4748189078753029,False,20,0.34234618117726723,0.6742892348625955,0.0491696886495237,9.974553490026128e-05,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
250000.0,False,0.1604299149228312,0.4977575802171662,-0.20401320771847398,9.133268800823723,24.0,1.200379618664921,0.4517947484592317,0.13201043614511065,0.4366275829784844,-0.15430877878014382,10.716237109502066,21.0,1.2448063559565885,0.47482326537180225,False,20,0.3420956651680278,0.6731880101622203,0.0491696886495237,6.769836905097526e-05,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
500000.0,False,0.16041979279157959,0.49772617480527115,-0.20402429761039398,9.133128029893744,24.0,1.2003717093419692,0.45179504815338767,0.1320268692431792,0.43668193583194087,-0.15428791903061645,10.71724630404062,21.0,1.2448452713599119,0.47481968619012926,False,20,0.341988494505275,0.6727686134438465,0.0491696886495237,4.682366706480062e-05,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
750000.0,False,0.1604211639924209,0.4977304291590373,-0.20401911901777037,9.132826477885418,24.0,1.2003577196868302,0.45179504367911544,0.13195946015492566,0.4364589787072286,-0.15429848471082286,10.71977802533757,21.0,1.2448116895549333,0.4748212084921996,False,20,0.34199264239475136,0.6726700650975943,0.0491696886495237,4.295352613335052e-05,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
1000000.0,False,0.1604212323948213,0.4977306413876191,-0.2039904977573559,9.132837893229423,24.0,1.2003427806428162,0.4517952500536275,0.13194879372381507,0.436423699238644,-0.1542851033773125,10.719397105089259,21.0,1.2448260352508438,0.4748210555744876,False,20,0.34196111942251195,0.6725818279830891,0.0491696886495237,3.4186252419543886e-05,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
2000000.0,False,0.160418328500745,0.49772163162600863,-0.2040038839747499,9.132369080524917,24.0,1.2003403413062317,0.45179569273901937,0.13193949961199203,0.43639295874796974,-0.15428675696057403,10.71875954907597,21.0,1.2448447413099213,0.47482164766096446,False,20,0.34199069132959237,0.6725622980389283,0.0491696886495237,1.0406859670131219e-05,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
