end_month,window_months,strategy_cagr,spy_cagr,spread
2018-07,60,0.3979884017294457,0.0922465693929817,0.305741832336464
2018-07,60,0.3499642427917702,0.09757276058325393,0.25239148220851626
2018-07,60,0.34161341809327794,0.10292492421728627,0.23868849387599167
2018-07,60,0.3289738762506411,0.10830318694615237,0.22067068930448874
2018-07,60,0.2904642609147676,0.11370767603852294,0.17675658487624468
2018-08,60,0.2682074454291903,0.11802966167237017,0.15017778375682012
2018-08,60,0.206506297572576,0.12236841971447232,0.08413787785810367
2018-08,60,0.1908779441742503,0.12672401525381916,0.06415392892043115
2018-08,60,0.16511391471295878,0.13109651363199237,0.0340174010809664
2018-08,60,0.1590482135076301,0.125813652040619,0.03323456146701109
2018-08,60,0.16036799171392757,0.1205554644061162,0.039812527307811374
2018-08,60,0.1733430333958874,0.11532183548712482,0.05802119790876259
2018-08,60,0.18810538722319303,0.11011265058052921,0.07799273664266382
2018-09,60,0.15939341883896763,0.09930857370264468,0.06008484513632295
2018-09,60,0.15045082931771914,0.08860964658332016,0.06184118273439898
2018-09,60,0.12803426656656636,0.07801484586148133,0.05001942070508503
2018-09,60,0.10552598205831698,0.06752315813582799,0.03800282392248899
2018-09,60,0.08799643385569467,0.07673603823656294,0.011260395619131724
2018-09,60,0.07925374051848744,0.08602842683236345,-0.0067746863138760105
2018-09,60,0.06561333360505417,0.09540101009310376,-0.029787676488049586
2018-09,60,0.047909453760748066,0.10485448011040521,-0.056945026349657146
2018-10,60,0.05055129487861376,0.09724178377575043,-0.04669048889713667
2018-10,60,0.0561053569481893,0.08968154063427791,-0.03357618368608861
2018-10,60,0.060091918719923365,0.08217338927166695,-0.022081470551743587
2018-10,60,0.06591866765711463,0.07471697076382333,-0.008798303106708705
2018-10,60,0.06227020945638073,0.06534039577488726,-0.0030701863185065292
2018-10,60,0.06319785365631736,0.05604562851851291,0.007152225137804447
2018-10,60,0.06039325157159037,0.046831955247396584,0.013561296324193783
2018-10,60,0.057939587392950465,0.03769866844146175,0.020240918951488718
2018-11,60,0.029311352823666592,0.047325821659926604,-0.01801446883626001
2018-11,60,0.011804679467459556,0.05704228990009308,-0.045237610432633524
2018-11,60,-0.00909367234344749,0.06684890177379721,-0.0759425741172447
2018-11,60,-0.026185888152485348,0.07674649358024399,-0.10293238173272934
2018-11,60,-0.04528885012453543,0.07959823962060897,-0.1248870897451444
2018-11,60,-0.07427480299256228,0.08245753846521042,-0.1567323414577727
2018-11,60,-0.09219074170732755,0.08532441011753122,-0.17751515182485877
2018-11,60,-0.11176468377886473,0.08819887463403275,-0.19996355841289748
2018-12,60,-0.09784559112113955,0.06722219719338529,-0.16506778831452484
2018-12,60,-0.06764471481375989,0.04664987690353617,-0.11429459171729606
2018-12,60,-0.04713911991651354,0.0264741191694704,-0.07361323908598394
2018-12,60,-0.04383549871561654,0.006687279648769584,-0.05052277836438612
2018-12,60,-0.04514087579303805,-0.016435782483704364,-0.028705093309333685
2018-12,60,-0.0342015349630711,-0.039027720390024445,0.004826185426953344
2018-12,60,-0.02392074794900645,-0.0611007337062941,0.03717998575728765
2018-12,60,-0.009304713545427279,-0.0826667418495759,0.07336202830414862
2019-01,60,-0.021988259221699558,-0.07289061887323034,0.05090235965153078
2019-01,60,-0.017487790323716834,-0.06301031066256624,0.045522520338849404
2019-01,60,-0.011204441977525126,-0.05302470690390637,0.041820264926381245
2019-01,60,-0.0077923233233360145,-0.04293268545083684,0.035140362127500824
2019-01,60,0.02279064569793743,-0.029189581996773795,0.05198022769471122
2019-01,60,0.02977943253186388,-0.015249133079462851,0.04502856561132673
2019-01,60,0.030618283083602593,-0.0011085048970634892,0.03172678798066608
2019-01,60,0.03546835166789353,0.013235177044524926,0.0222331746233686
2019-02,60,0.04329630067989787,0.018551785554498323,0.024744515125399547
2019-02,60,0.0695203436955687,0.02389629116742298,0.04562405252814572
2019-02,60,0.07052255812955921,0.02926884026390164,0.04125371786565757
2019-02,60,0.07030027389907834,0.034669579992617994,0.03563069390646034
2019-02,60,0.07441039040550468,0.03374385022670645,0.04066654017879823
