date,effective_n,top1,top5,top10,n_gt_1pct,n_gt_2pct,n_gt_5pct
2022-05-23,46.367867646931444,0.05984410988776075,0.2265511734206828,0.3650288368572786,32,12,1
2022-05-24,45.99982908844499,0.059047817785637294,0.22140033857947292,0.36979454432945164,32,12,1
2022-05-25,46.57219049358894,0.049323664453062105,0.21758083454598962,0.3679289781398782,32,13,0
2022-05-26,46.746234818706036,0.046746591616796826,0.2043079999731472,0.3609906193634201,31,16,0
2022-05-27,46.35219317828363,0.04885777944145677,0.21212902750564389,0.3674456276697859,30,15,0
2022-05-31,47.536112814096015,0.049288503489966905,0.20768281088473858,0.3577589863777876,32,16,0
2022-06-01,47.18448903031572,0.04787328079460053,0.20331489147888515,0.3488062223994236,31,18,0
2022-06-02,47.63082325562814,0.051407705494922594,0.20466393564832006,0.35219386706710515,33,16,1
2022-06-03,47.725469465531894,0.04855495129327499,0.2078633580518211,0.3521126350877585,31,15,0
2022-06-06,48.871921933411095,0.05083197969740297,0.2023327462094624,0.34041464577487374,31,16,1
2022-06-07,46.67324188481167,0.060506283232467914,0.21453209352943786,0.35215244130788725,34,15,1
2022-06-08,44.33588573447318,0.06374792122563296,0.22646689289944819,0.3640486509515517,32,15,2
2022-06-09,45.327337981375095,0.06505169136633537,0.2250446761621056,0.3569122314130552,33,16,1
2022-06-10,43.03405114804545,0.06172266853771748,0.2365069178393554,0.3743100869587712,33,15,2
2022-06-13,46.03141650019417,0.05217654662933835,0.21898564108383323,0.36110052384312197,32,15,1
2022-06-14,46.22198394684887,0.05582957252388349,0.2053754401177586,0.3546760291647574,29,17,1
2022-06-15,44.72189348538041,0.05817842603970587,0.21948916659643397,0.35895562654519014,31,18,2
2022-06-16,46.00269201941119,0.05175874839878877,0.2074017335521822,0.35451424197240183,30,19,2
2022-06-17,45.931615552609735,0.05370660816761523,0.20731922303827258,0.3520713120075079,32,18,1
2022-06-21,47.3861456708876,0.048793101421999524,0.19518648599279845,0.3466211933893564,31,18,0
2022-06-22,44.3649320835727,0.062140373791983186,0.22344973909691332,0.3611597354264599,31,17,2
2022-06-23,38.999901276964344,0.0948492905348622,0.2406921445130641,0.37063357400229857,29,18,1
2022-06-24,42.7382636781208,0.06297626688503911,0.23609390615005113,0.3732052954030654,32,17,2
2022-06-27,41.3391386661075,0.06008993479634036,0.24827845730654302,0.39781185659100543,32,14,2
2022-06-28,43.45412537299719,0.05827624536889101,0.2327090079771652,0.3787237877410837,31,16,1
2022-06-29,43.93796719538399,0.0626012594835611,0.2201214935495108,0.35545611583238124,30,18,2
2022-06-30,43.12096533673545,0.06678223428386486,0.23585123907707833,0.36839979791039285,32,16,2
2022-07-01,44.279397063164986,0.06600094918397795,0.22120713059309485,0.3570530658854065,30,18,1
2022-07-05,45.71695729627749,0.05308784081963089,0.21035115812046873,0.3480437053226781,31,18,1
2022-07-06,43.73490400825202,0.059431586555857396,0.22994313067446628,0.36814305190673235,30,16,2
2022-07-07,38.982287989478735,0.08601193145376829,0.25578071415738723,0.39019629025522595,30,15,2
2022-07-08,34.75845074225511,0.10304504182150812,0.27187247006120424,0.40667788708046354,31,14,3
2022-07-11,41.77848035429112,0.06475011190507443,0.23712239397057117,0.39477470460420844,33,13,1
2022-07-12,36.33496370081813,0.08656543065150228,0.2733627386033908,0.40504131914198516,31,16,3
2022-07-13,35.84052988377339,0.0980992366641381,0.27527438068153554,0.400289761776709,33,13,2
2022-07-14,35.31835273230181,0.09654560663354504,0.27734312540099776,0.40689135687856787,31,14,2
2022-07-15,34.5941763479833,0.09694940618524427,0.28995816612919834,0.4158045820849394,29,14,3
