horizon_skill_beta,uncertainty_z,entry_hurdle_bps,sparsity_bps,rebalance_extra_edge_bps,cagr_20bps,robust_excess_cagr_20bps,excess_vs_spy_20bps,excess_vs_qqq_20bps,excess_vs_uew_20bps,cagr_40bps,robust_excess_cagr_40bps,max_drawdown_20bps,annual_turnover_20bps,median_holdings_20bps,max_holdings_20bps,median_max_name_weight_20bps,p95_max_name_weight_20bps,mean_cash_weight_20bps,execution_blocked_rate_20bps,target_deviation_rate_20bps,qualified,return_first_rank
0.75,0.5,100.0,0.0,0.0,0.02206017727722087,-0.22709586972614249,-0.004305839763354413,0.0953224504288086,-0.22709586972614249,0.011573273717527144,-0.2375827732858362,-0.032435568186715114,3.9081933702494154,145.0,170,0.14784773094795703,0.24491767569784786,0.00206122507046479,0.4933142332150564,0.985825548459265,False,21
1.5,0.0,0.0,0.0,0.0,0.022025637569019985,-0.22713040943434337,-0.0043403794715553,0.09528791072060772,-0.22713040943434337,0.01220180118925085,-0.2369542458141125,-0.03239883558651102,3.913394005522643,145.0,171,0.14797406858101017,0.2448317014371962,0.002061643025264281,0.49330065475065027,0.985800500914572,False,22
1.5,0.0,100.0,0.0,0.0,0.022025637569019985,-0.22713040943434337,-0.0043403794715553,0.09528791072060772,-0.22713040943434337,0.01220180118925085,-0.2369542458141125,-0.03239883558651102,3.913394005522643,145.0,171,0.14797406858101017,0.2448317014371962,0.002061643025264281,0.49330065475065027,0.985800500914572,False,23
1.5,0.0,250.0,0.0,0.0,0.022025637569019985,-0.22713040943434337,-0.0043403794715553,0.09528791072060772,-0.22713040943434337,0.01220180118925085,-0.2369542458141125,-0.03239883558651102,3.913394005522643,145.0,171,0.14797406858101017,0.2448317014371962,0.002061643025264281,0.49330065475065027,0.985800500914572,False,24
1.5,0.5,0.0,0.0,0.0,0.022025637569019985,-0.22713040943434337,-0.0043403794715553,0.09528791072060772,-0.22713040943434337,0.01220180118925085,-0.2369542458141125,-0.03239883558651102,3.913394005522643,145.0,171,0.14797406858101017,0.2448317014371962,0.002061643025264281,0.49330065475065027,0.985800500914572,False,25
1.5,0.5,100.0,0.0,0.0,0.022025637569019985,-0.22713040943434337,-0.0043403794715553,0.09528791072060772,-0.22713040943434337,0.01220180118925085,-0.2369542458141125,-0.03239883558651102,3.913394005522643,145.0,171,0.14797406858101017,0.2448317014371962,0.002061643025264281,0.49330065475065027,0.985800500914572,False,26
0.0,0.0,0.0,250.0,0.0,0.021350222464157298,-0.22780582453920606,-0.005015794576417987,0.09461249561574503,-0.22780582453920606,0.011363564891719413,-0.23779248211164394,-0.03180746740180307,4.367079633209732,144.0,170,0.1984147560766656,0.22978783807207362,0.00202007134835346,0.49243765171596127,0.9840577426270951,False,27
0.0,0.0,100.0,250.0,0.0,0.021350222464157298,-0.22780582453920606,-0.005015794576417987,0.09461249561574503,-0.22780582453920606,0.011363564891719413,-0.23779248211164394,-0.03180746740180307,4.367079633209732,144.0,170,0.1984147560766656,0.22978783807207362,0.00202007134835346,0.49243765171596127,0.9840577426270951,False,28
0.0,0.0,250.0,250.0,0.0,0.021350222464157298,-0.22780582453920606,-0.005015794576417987,0.09461249561574503,-0.22780582453920606,0.011363564891719413,-0.23779248211164394,-0.03180746740180307,4.367079633209732,144.0,170,0.1984147560766656,0.22978783807207362,0.00202007134835346,0.49243765171596127,0.9840577426270951,False,29
0.0,0.5,0.0,250.0,0.0,0.021350222464157298,-0.22780582453920606,-0.005015794576417987,0.09461249561574503,-0.22780582453920606,0.011363564891719413,-0.23779248211164394,-0.03180746740180307,4.367079633209732,144.0,170,0.1984147560766656,0.22978783807207362,0.00202007134835346,0.49243765171596127,0.9840577426270951,False,30
0.0,0.5,100.0,250.0,0.0,0.021350222464157298,-0.22780582453920606,-0.005015794576417987,0.09461249561574503,-0.22780582453920606,0.011363564891719413,-0.23779248211164394,-0.03180746740180307,4.367079633209732,144.0,170,0.1984147560766656,0.22978783807207362,0.00202007134835346,0.49243765171596127,0.9840577426270951,False,31
0.0,0.5,250.0,250.0,0.0,0.021350222464157298,-0.22780582453920606,-0.005015794576417987,0.09461249561574503,-0.22780582453920606,0.011363564891719413,-0.23779248211164394,-0.03180746740180307,4.367079633209732,144.0,170,0.1984147560766656,0.22978783807207362,0.00202007134835346,0.49243765171596127,0.9840577426270951,False,32
0.75,0.5,250.0,250.0,0.0,0.02113753095375781,-0.22801851604960555,-0.005228486086817474,0.09439980410534554,-0.22801851604960555,0.009345788652402653,-0.2398102583509607,-0.03712680079254682,6.327271394890571,139.0,168,0.2000380302363271,0.23649212010883625,0.0020181532484369346,0.48596718745951867,0.9711876524913895,False,33
0.75,0.5,250.0,0.0,0.0,0.02056202133484275,-0.2285940256685206,-0.005803995705732534,0.09382429448643048,-0.2285940256685206,0.007753210499630736,-0.24140283650373262,-0.03360927355169685,5.115645877782536,144.0,168,0.1478508739305032,0.2514329411392589,0.002060999293152333,0.48926520526851675,0.9777551974457328,False,34
0.75,0.0,0.0,0.0,50.0,0.019032516611551697,-0.23012353039181166,-0.007333500429023587,0.09229478976313943,-0.23012353039181166,0.011618108266520322,-0.23753793873684304,-0.03243556818671456,3.650422044398895,145.0,170,0.1530550443353989,0.24491767569784786,0.0020612250704647945,0.49482933554862674,0.9888532871466925,False,35
0.75,0.0,100.0,0.0,50.0,0.019032516611551697,-0.23012353039181166,-0.007333500429023587,0.09229478976313943,-0.23012353039181166,0.011618108266520322,-0.23753793873684304,-0.03243556818671456,3.650422044398895,145.0,170,0.1530550443353989,0.24491767569784786,0.0020612250704647945,0.49482933554862674,0.9888532871466925,False,36
0.75,0.0,250.0,0.0,50.0,0.019032516611551697,-0.23012353039181166,-0.007333500429023587,0.09229478976313943,-0.23012353039181166,0.011618108266520322,-0.23753793873684304,-0.03243556818671456,3.650422044398895,145.0,170,0.1530550443353989,0.24491767569784786,0.0020612250704647945,0.49482933554862674,0.9888532871466925,False,37
0.75,0.5,0.0,0.0,50.0,0.019032516611551697,-0.23012353039181166,-0.007333500429023587,0.09229478976313943,-0.23012353039181166,0.011618108266520322,-0.23753793873684304,-0.03243556818671456,3.650422044398895,145.0,170,0.1530550443353989,0.24491767569784786,0.0020612250704647945,0.49482933554862674,0.9888532871466925,False,38
