horizon_sessions,fold,expert,train_rows,test_rows,selected_features,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift,loser_avoidance,residual_tail_spread,broad20_robust_excess
5,WF_2021_2022,HGB_RESIDUAL_RETURN,264581,114008,36,-0.0019721478770166876,-0.003234249030536375,0.014037417988373999,0.0,1.7896659083792748,0.6647541124733501,0.0010286541372114455,-0.0011131672571295579
5,WF_2021_2022,HGB_UPSIDE_TAIL,264581,114008,36,-0.0033649443763287454,-0.0036084424497070684,-0.04730448949266909,0.0,2.4097566111777318,0.4726315292806564,-0.0014236465843615626,-0.0002649355393030224
5,WF_2021_2022,HGB_DOWNSIDE_AVOID,264581,114008,36,-0.0014320972057480332,-0.001919170419093997,0.05118932694082336,0.0,0.2658185127793993,2.6860499238957116,0.0005800391578464948,-0.0005941101413056563
5,WF_2023_2024,RIDGE_RESIDUAL_RANK,229824,107087,36,-0.0010110614260651907,-0.0016916775160693088,0.05420566942079305,0.0,0.81340959499286,1.4171169891540882,0.0018540182825386895,-0.0021653360719781556
5,WF_2023_2024,HGB_RESIDUAL_RANK,229824,107087,36,-0.0009928586564299103,-0.0018632942022016757,0.05832746626826981,0.0,1.1035316168393288,1.0915630862403114,0.0014443964364058439,-0.0026834393641874286
5,WF_2023_2024,HGB_RESIDUAL_RETURN,229824,107087,36,-0.0003340688348931413,-0.0026084927407789733,0.03839357817653258,0.3333333333333333,1.4009047856283117,0.8245753738987851,-0.00027526590186461984,-0.002310476012718669
5,WF_2023_2024,HGB_UPSIDE_TAIL,229824,107087,36,-0.0040144460334106255,-0.006600623547250311,-0.04772678724948385,0.0,2.4073008254438584,0.46118482687843987,-5.435359630087868e-05,-0.0014668362646309053
5,WF_2023_2024,HGB_DOWNSIDE_AVOID,229824,107087,36,-0.0019925696612413065,-0.003248469646281868,0.05398269079001567,0.0,0.3132605880060029,2.24376856616064,0.0007851108408774097,-0.003727414804557465
10,WF_2017_2018,RIDGE_RESIDUAL_RANK,145912,147532,36,2.088431897762949e-05,-0.0011773264069397812,0.023888148958673583,0.6666666666666666,0.9440889567397505,1.1122575728390123,0.0007685180049889432,0.0003143612415521199
10,WF_2017_2018,HGB_RESIDUAL_RANK,145912,147532,36,0.001665012023491407,6.222732179037709e-05,0.030653542211543705,1.0,1.2959885956914239,0.914750698153621,0.0016709640404676623,-0.0008146638279454649
10,WF_2017_2018,HGB_RESIDUAL_RETURN,145912,147532,36,0.00846640292277455,0.007028602114512192,0.018859866376720224,1.0,1.7173351662902974,0.7522483565969046,0.009562848678605953,0.0038385281027391257
10,WF_2017_2018,HGB_UPSIDE_TAIL,145912,147532,36,-2.8305187702549854e-05,-0.0015648844844705725,-0.05334636665194287,0.3333333333333333,2.4291579554499836,0.5048344392149943,0.0004237418929826336,0.0009892098455505666
10,WF_2017_2018,HGB_DOWNSIDE_AVOID,145912,147532,36,0.0016420413260207435,-0.005803859407703226,0.0602753604224337,0.6666666666666666,0.2238764494076877,3.201627443537673,0.006956485485141133,0.0015411610562421807
10,WF_2019_2020,RIDGE_RESIDUAL_RANK,296799,113517,36,0.0032836698018568616,0.002021337809377869,0.06619511665053554,1.0,1.0378907301070515,1.3099088940230537,0.005939456474180698,7.897710519138852e-05
10,WF_2019_2020,HGB_RESIDUAL_RANK,296799,113517,36,0.006705956704724763,0.004622833174352907,0.054665926701341405,1.0,1.3612368332719602,0.9612909084833905,0.006553591660310035,0.0016778368316852307
10,WF_2019_2020,HGB_RESIDUAL_RETURN,296799,113517,36,0.014538692704705654,0.011097042231275242,0.02225999879870695,1.0,2.1530333596947155,0.7044753362045045,0.013405385712322401,0.00433771839619187
10,WF_2019_2020,HGB_UPSIDE_TAIL,296799,113517,36,0.02673703834121896,0.017043241464253,-0.026754058968212178,1.0,2.535670088808753,0.5294928816858501,0.01844293026891293,0.011299506873472157
10,WF_2019_2020,HGB_DOWNSIDE_AVOID,296799,113517,36,-0.011908335319405931,-0.014789974844303782,0.03913638666756984,0.0,0.22952547219477976,2.497899860680325,-0.003795316307620682,-0.008290797730919376
10,WF_2021_2022,RIDGE_RESIDUAL_RANK,263426,112898,36,-0.0029788311445360857,-0.004699554394271847,0.03840198377907672,0.0,1.294107287314128,0.9555481183370819,0.0035942901501782535,0.00038395831553511523
10,WF_2021_2022,HGB_RESIDUAL_RANK,263426,112898,36,0.0015903496464717804,-0.0003119571164803658,0.032730076214543616,0.6666666666666666,1.2497999964693933,0.9555481183370819,0.0034021976417054666,-0.00030010499596184873
10,WF_2021_2022,HGB_RESIDUAL_RETURN,263426,112898,36,-0.006424293829801186,-0.008210508344432767,0.019077999316704203,0.0,1.8183733458035212,0.6475947640665366,0.000776954020819305,-0.002672343173839453
10,WF_2021_2022,HGB_UPSIDE_TAIL,263426,112898,36,-0.011754707465252102,-0.013987160689417615,-0.05764019838207658,0.0,2.2402514476018935,0.4518408461188951,-0.007318334292757932,-0.0036509176635882634
10,WF_2021_2022,HGB_DOWNSIDE_AVOID,263426,112898,36,-0.003078932888455239,-0.004239208731118457,0.06404135247561037,0.0,0.27671157112466166,2.9210054995436963,0.0014299026211740842,-0.0002679210615285472
10,WF_2023_2024,RIDGE_RESIDUAL_RANK,228714,106032,36,-0.0020805138863843192,-0.0033734765682359026,0.06725353436360092,0.0,0.9005029435250637,1.3533454150881956,0.002579354357880217,-0.0043598086416340885
10,WF_2023_2024,HGB_RESIDUAL_RANK,228714,106032,36,-0.00012498993023937134,-0.0032529832425337267,0.07633988687380865,0.3333333333333333,1.2123537632887333,1.0886790738310284,0.0028558321177667113,-0.004627246316446654
10,WF_2023_2024,HGB_RESIDUAL_RETURN,228714,106032,36,-0.0036200898435587506,-0.004296332172245809,0.06321866443908272,0.0,1.432141218073861,0.8704817168903566,0.00011170425507354563,-0.004182778400037027
10,WF_2023_2024,HGB_UPSIDE_TAIL,228714,106032,36,-0.018415841267058388,-0.03408711816624572,-0.052584380666629765,0.0,2.250358653280199,0.4773346480620465,-0.0003383305631206914,-0.006373326266568579
10,WF_2023_2024,HGB_DOWNSIDE_AVOID,228714,106032,36,-0.003999041569263729,-0.0067547627064266655,0.06579383360119655,0.0,0.2857883593223256,2.3325478212535207,0.0015384810538454368,-0.007698299690583263
20,WF_2017_2018,RIDGE_RESIDUAL_RANK,142862,145092,36,-0.00026231128401065564,-0.0008433377344669793,0.03978131966131766,0.3333333333333333,0.9139128564991952,1.1925835833186929,0.003583389658539845,0.002595413928111249
20,WF_2017_2018,HGB_RESIDUAL_RANK,142862,145092,36,0.0035563852395927267,0.002528453793165559,0.04853718493517965,1.0,1.2290091810190054,1.0151847077140743,0.005021471826685849,0.001612618078858056
20,WF_2017_2018,HGB_RESIDUAL_RETURN,142862,145092,36,0.00042601304006771785,-0.0022119506747110447,0.03540656799467975,0.6666666666666666,1.6536901038764888,0.7859377649273647,0.0047728787739871725,0.0015954691554934655
20,WF_2017_2018,HGB_UPSIDE_TAIL,142862,145092,36,0.008422499482723864,0.0035081076480346393,-0.06312920253653403,1.0,2.4419965150285288,0.5045308800702034,0.019048574197123334,0.00857685450999006
20,WF_2017_2018,HGB_DOWNSIDE_AVOID,142862,145092,36,-0.008625867026970982,-0.010759568099657243,0.07356424441037179,0.0,0.2096049554986224,3.3655071011622906,0.0005765236914569202,-0.0027743797956853345
20,WF_2019_2020,RIDGE_RESIDUAL_RANK,294359,111207,36,0.007475910276221145,0.0046714893842636105,0.08488816129172763,1.0,1.1495589299996483,1.3403511607656866,0.012664192895908725,0.00016495668815587753
20,WF_2019_2020,HGB_RESIDUAL_RANK,294359,111207,36,0.008202851875468995,0.006684914596444153,0.08444922120183682,1.0,1.4523445410263414,1.004519061844386,0.01245765832279751,0.006296416032814097
20,WF_2019_2020,HGB_RESIDUAL_RETURN,294359,111207,36,0.029119614031468996,0.011527133368252979,0.03631453293412976,1.0,2.077770471169616,0.6476580147024896,0.016669854616022137,0.006173476512840512
20,WF_2019_2020,HGB_UPSIDE_TAIL,294359,111207,36,0.04379244425700358,0.023338992302908323,-0.022367769182278376,1.0,2.542699506837062,0.5372094989438563,0.028782915933585857,0.01447470399045595
20,WF_2019_2020,HGB_DOWNSIDE_AVOID,294359,111207,36,-0.022450974590457192,-0.026317862621032022,0.04255519812944184,0.0,0.20955501328118592,2.7210257619876215,-0.006058607978257281,-0.015552690459138742
20,WF_2021_2022,RIDGE_RESIDUAL_RANK,261116,110678,36,-0.006651290718315297,-0.010957031320342632,0.04302304511584694,0.0,1.3472571114461995,0.9329253852569949,0.005756999160197096,0.001301024918065745
