horizon_sessions,period,test_start,test_end,architecture,train_rows,test_rows,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,rich_dates
120,EVIDENCE_2017_2018,2017-01-03,2019-01-02,RIDGE_RANK,112696,120944,-0.005125015687852197,-0.011779129662082572,0.06327067387361995,0.3333333333333333,501
120,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_RANK,112696,120944,0.015581811844051066,-0.00021004138952481041,0.061952836622500985,0.6666666666666666,501
120,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_ROBUST_EXCESS,112696,120944,0.06045355347535236,0.03354416423706819,0.050108134312462485,1.0,501
120,EVIDENCE_2017_2018,2017-01-03,2019-01-02,BLEND_RIDGE_HGB,112696,120944,0.006715134179159486,-0.0019309542265402628,0.0663215202925576,0.6666666666666666,501
120,OUTER_2019_2020,2019-01-02,2021-01-04,IC_COMPOSITE,270211,88542,-0.05732519520815906,-0.07170993855988646,0.15745172804290722,0.0,487
120,OUTER_2019_2020,2019-01-02,2021-01-04,RIDGE_RANK,270211,88542,-0.01969881910699719,-0.03472530457977341,0.20451368178400578,0.0,487
120,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_RANK,270211,88542,-0.0008406405557090981,-0.03931794803937236,0.13813837567979992,0.3333333333333333,487
120,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_ROBUST_EXCESS,270211,88542,-0.017153416481759585,-0.052577435894904115,0.07875224913357834,0.3333333333333333,487
120,OUTER_2019_2020,2019-01-02,2021-01-04,BLEND_RIDGE_HGB,270211,88542,-0.005433263988704324,-0.029042992329028915,0.19661031495337652,0.3333333333333333,487
120,OUTER_2021_2022,2021-01-04,2023-01-03,IC_COMPOSITE,388024,88641,-0.007509935692731634,-0.013847308186033757,0.10157303665429349,0.0,502
120,OUTER_2021_2022,2021-01-04,2023-01-03,RIDGE_RANK,388024,88641,0.004857954163641479,-0.025447574810792576,-0.016314808283028937,0.6666666666666666,502
120,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_RANK,388024,88641,-0.018573817622146792,-0.03095326913679572,0.03832577778925157,0.0,502
120,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_ROBUST_EXCESS,388024,88641,-0.04336067067412125,-0.07607416917273081,0.013235488335438838,0.0,502
120,OUTER_2021_2022,2021-01-04,2023-01-03,BLEND_RIDGE_HGB,388024,88641,-0.030308012669998396,-0.038907631412273797,0.01864495691636738,0.0,502
252,EVIDENCE_2017_2018,2017-01-03,2019-01-02,IC_COMPOSITE,73618,89533,-0.07441727997008737,-0.07758607576379106,-0.0999792275223306,0.0,501
252,EVIDENCE_2017_2018,2017-01-03,2019-01-02,RIDGE_RANK,73618,89533,-0.03726824837820562,-0.04258781219738428,-0.10224681445946009,0.0,501
252,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_RANK,73618,89533,-0.05306643256795451,-0.060905488691992686,-0.07760248607004804,0.0,501
252,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_ROBUST_EXCESS,73618,89533,0.029080542854338195,0.013919679879944172,-0.03243527519878581,1.0,501
252,EVIDENCE_2017_2018,2017-01-03,2019-01-02,BLEND_RIDGE_HGB,73618,89533,-0.07119672186542426,-0.07317977065417768,-0.10380297184633519,0.0,501
252,OUTER_2019_2020,2019-01-02,2021-01-04,IC_COMPOSITE,238800,59189,-0.27202038002610557,-0.2878906027334848,0.27665639765195493,0.0,487
252,OUTER_2019_2020,2019-01-02,2021-01-04,RIDGE_RANK,238800,59189,-0.1881286612541596,-0.20457844378432066,0.27185231538565063,0.0,487
252,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_RANK,238800,59189,-0.2061292636398262,-0.2240218508881479,0.21147627195113394,0.0,487
252,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_ROBUST_EXCESS,238800,59189,-0.1056494338062537,-0.18624140401784098,0.13141066921970002,0.0,487
252,OUTER_2019_2020,2019-01-02,2021-01-04,BLEND_RIDGE_HGB,238800,59189,-0.2120553844172092,-0.21904146366598418,0.26256567066769054,0.0,487
252,OUTER_2021_2022,2021-01-04,2023-01-03,IC_COMPOSITE,358671,59864,-0.08695690741943789,-0.09472154321069397,0.01615828583577414,0.0,502
252,OUTER_2021_2022,2021-01-04,2023-01-03,RIDGE_RANK,358671,59864,-0.13322552767884016,-0.1525676683171798,-0.10684024696249604,0.0,502
252,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_RANK,358671,59864,-0.17682080631898237,-0.23727389732057674,-0.03141775758559341,0.0,502
252,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_ROBUST_EXCESS,358671,59864,-0.1559945172839685,-0.22305594115981267,-0.0963573557305333,0.0,502
252,OUTER_2021_2022,2021-01-04,2023-01-03,BLEND_RIDGE_HGB,358671,59864,-0.163849920369025,-0.1969817317499734,-0.0649282092986106,0.0,502
