date,nav,net_return,turnover,cost_fraction,holdings,cash_weight,max_name_weight,rebalance_scheduled,requested_trade_notional,executed_trade_notional,blocked_requested_notional,target_deviation_notional,blocked_trade_names,partial_execution,full_skip,expected_incremental_return
2021-10-11,1.06803045280941,-0.0009690749519142283,0.021807223633288665,4.361444726657733e-05,136,0.0,0.1820007540417909,1,0.6328430620463507,0.04361444726657733,0.3154902205510153,0.6309804411020307,4,1,0,0.015289305445575139
2021-10-12,1.0677710760886396,-0.00024285517335964624,0.025344770770922592,5.068954154184518e-05,138,0.0,0.18203573682743313,1,0.6457638199726443,0.050689541541845184,0.31555086165558577,0.6311017233111714,4,1,0,0.01569542926383746
2021-10-13,1.0697244103869714,0.0018293568182115028,0.029290439737611213,5.858087947522243e-05,134,0.0,0.18169269224848988,1,0.6526605213605234,0.058580879475222426,0.3149562091199991,0.6299124182399981,4,1,0,0.015580733140788826
2021-10-14,1.0740024444751162,0.003999192732824675,0.03985252848219581,7.970505696439162e-05,134,0.0,0.1809545383473737,1,0.6384465550351763,0.07970505696439162,0.31367665212975576,0.6273533042595114,4,1,0,0.01642460692419105
2021-10-15,1.075103346864101,0.001025046446260891,0.044844723257370316,8.968944651474063e-05,134,0.0,0.1807530283855875,1,0.6509393260739634,0.08968944651474063,0.3133273435644046,0.6266546871288092,4,1,0,0.0154566393386646
2021-10-18,1.0768337425521526,0.0016095156740967287,0.02638690246180309,5.277380492360618e-05,138,0.0,0.18045304735237594,1,0.643802696493584,0.05277380492360618,0.3385407937049426,0.6256146795439252,5,1,0,0.019063768230709904
2021-10-19,1.0776356947345271,0.0007447316616155941,0.029016675090191877,5.803335018038375e-05,134,0.0,0.18030829376227117,1,0.7525667912204833,0.058033350180383754,0.366565755754528,0.7331315115090558,5,1,0,0.018795725571473854
2021-10-20,1.0781583311834786,0.0004849843518595076,0.023897509263896437,4.779501852779287e-05,136,0.0,0.1802122757902588,1,0.7447032033066784,0.047795018527792874,0.3663705517528577,0.7327411035057154,5,1,0,0.01862539639153931
2021-10-21,1.0796310481609055,0.0013659561261381015,0.02649538117163245,5.29907623432649e-05,132,1.1102230246251565e-16,0.179956912956687,1,0.7385792235776718,0.0529907623432649,0.36585140053620163,0.7317028010724035,5,1,0,0.019637298731604122
2021-10-22,1.0794310352489487,-0.00018526042975286483,0.025266582386184035,5.053316477236807e-05,135,1.1102230246251565e-16,0.17998116255187444,1,0.7474332599642829,0.05053316477236807,0.387149514467164,0.7318013996559865,6,1,0,0.020750050807295566
2021-10-25,1.080710870711494,0.0011856574628228422,0.02565161731803834,5.130323463607668e-05,136,0.0,0.1797587965773919,1,0.8111387249374133,0.05130323463607668,0.4023150208343565,0.804630041668713,6,1,0,0.020753856443823396
2021-10-26,1.0805515760182953,-0.00014739806687968926,0.029828416589346048,5.9656833178692095e-05,135,1.1102230246251565e-16,0.1797745711611153,1,0.8269643196869221,0.059656833178692095,0.4023503256544831,0.8047006513089664,6,1,0,0.020721785362251163
2021-10-27,1.0782156380613657,-0.0021618014436083355,0.022417999867817243,4.483599973563449e-05,134,0.0,0.18015597222933027,1,0.8247326065381013,0.044835999735634485,0.40320393271920935,0.8064078654384187,6,1,0,0.020428357841874526
2021-10-28,1.081116218485359,0.002690167274153721,0.02195454649428711,4.390909298857422e-05,135,0.0,0.1796647335574574,1,0.8109537721806945,0.04390909298857422,0.40210450003345427,0.8042090000669085,6,1,0,0.021008885806797776
2021-10-29,1.0814429793545643,0.00030224398045120004,0.028715328520752603,5.7430657041505205e-05,130,0.0,0.17960013223490578,1,0.8228942334469258,0.057430657041505205,0.4019599169425395,0.8039198338850788,6,1,0,0.0206498195909145
