signal_gamma,return_z_gate,alpha_z_gate,alpha_tilt,cagr_20bps,robust_excess_cagr_20bps,excess_vs_spy_20bps,excess_vs_qqq_20bps,excess_vs_uew_20bps,cagr_40bps,robust_excess_cagr_40bps,max_drawdown_20bps,annual_turnover_20bps,median_holdings_20bps,max_holdings_20bps,median_max_name_weight_20bps,p95_max_name_weight_20bps,mean_cash_weight_20bps,execution_blocked_rate_20bps,target_deviation_rate_20bps,qualified,return_first_rank
0.75,0.0,0.0,0.0,-0.17422042135490856,-0.4233764683582719,-0.20058643839548385,-0.10095814820332083,-0.4233764683582719,-0.2570418304281481,-0.5061978774315115,-0.5462269447032493,34.032222827510594,12.0,20,0.26810727959285796,0.5629431785737938,0.0021008004310740834,0.0,3.050413044923214e-17,False,37
0.75,0.5,0.0,0.0,-0.17422042135490856,-0.4233764683582719,-0.20058643839548385,-0.10095814820332083,-0.4233764683582719,-0.2570418304281481,-0.5061978774315115,-0.5462269447032493,34.032222827510594,12.0,20,0.26810727959285796,0.5629431785737938,0.0021008004310740834,0.0,3.050413044923214e-17,False,38
0.75,1.0,0.0,0.0,-0.17422042135490856,-0.4233764683582719,-0.20058643839548385,-0.10095814820332083,-0.4233764683582719,-0.2570418304281481,-0.5061978774315115,-0.5462269447032493,34.032222827510594,12.0,20,0.26810727959285796,0.5629431785737938,0.0021008004310740834,0.0,3.050413044923214e-17,False,39
0.0,0.0,0.5,1.0,-0.19987373412156095,-0.4490297811249243,-0.22623975116213624,-0.12661146096997322,-0.4490297811249243,-0.28156463451978375,-0.5307206815231471,-0.5788671809082198,21.028704110700282,2.0,4,0.7581993723023377,1.0,0.01974253607048685,0.0,1.1654654666142898e-17,False,40
0.0,0.5,0.5,1.0,-0.19987373412156095,-0.4490297811249243,-0.22623975116213624,-0.12661146096997322,-0.4490297811249243,-0.28156463451978375,-0.5307206815231471,-0.5788671809082198,21.028704110700282,2.0,4,0.7581993723023377,1.0,0.01974253607048685,0.0,1.1654654666142898e-17,False,41
0.0,1.0,0.5,1.0,-0.19987373412156095,-0.4490297811249243,-0.22623975116213624,-0.12661146096997322,-0.4490297811249243,-0.28156463451978375,-0.5307206815231471,-0.5788671809082198,21.028704110700282,2.0,4,0.7581993723023377,1.0,0.01974253607048685,0.0,1.1654654666142898e-17,False,42
1.5,0.0,0.5,0.5,-0.20987887957557105,-0.4590349265789344,-0.23624489661614634,-0.13661660642398332,-0.4590349265789344,-0.23018685497016955,-0.4793429019735329,-0.5982732560588493,8.087391060433255,10.0,17,0.3304675234988291,0.4835748943478124,0.0031774637977513903,0.0,2.7349044292020658e-17,False,43
1.5,0.5,0.5,0.5,-0.20987887957557105,-0.4590349265789344,-0.23624489661614634,-0.13661660642398332,-0.4590349265789344,-0.23018685497016955,-0.4793429019735329,-0.5982732560588493,8.087391060433255,10.0,17,0.3304675234988291,0.4835748943478124,0.0031774637977513903,0.0,2.7349044292020658e-17,False,44
1.5,1.0,0.5,0.5,-0.20987887957557105,-0.4590349265789344,-0.23624489661614634,-0.13661660642398332,-0.4590349265789344,-0.23018685497016955,-0.4793429019735329,-0.5982732560588493,8.087391060433255,10.0,17,0.3304675234988291,0.4835748943478124,0.0031774637977513903,0.0,2.7349044292020658e-17,False,45
1.5,0.0,0.5,1.0,-0.22248654289461023,-0.4716425898979736,-0.2488525599351855,-0.1492242697430225,-0.4716425898979736,-0.23807474026630593,-0.4872307872696693,-0.6006511901359017,6.78047498583323,10.0,17,0.3267032668119843,0.5043204450312309,0.0032121430718630092,0.0,5.59723387704887e-17,False,46
1.5,0.5,0.5,1.0,-0.22248654289461023,-0.4716425898979736,-0.2488525599351855,-0.1492242697430225,-0.4716425898979736,-0.23807474026630593,-0.4872307872696693,-0.6006511901359017,6.78047498583323,10.0,17,0.3267032668119843,0.5043204450312309,0.0032121430718630092,0.0,5.59723387704887e-17,False,47
1.5,1.0,0.5,1.0,-0.22248654289461023,-0.4716425898979736,-0.2488525599351855,-0.1492242697430225,-0.4716425898979736,-0.23807474026630593,-0.4872307872696693,-0.6006511901359017,6.78047498583323,10.0,17,0.3267032668119843,0.5043204450312309,0.0032121430718630092,0.0,5.59723387704887e-17,False,48
1.5,0.0,0.0,1.0,-0.23094549210604665,-0.48010153910941,-0.25731150914662193,-0.15768321895445891,-0.48010153910941,-0.2352920802468328,-0.48444812725019615,-0.5957655266766984,18.163615218974403,18.0,26,0.21315546007109903,0.40968685215044753,0.00203600562586139,0.0,2.874003051195159e-17,False,49
