feature,family,horizon_sessions,development_coverage,validation_coverage,direction_from_development,development_mean_ic,development_hac_t,development_p,development_rich_dates,validation_aligned_ic,validation_aligned_hac_t,validation_rich_dates,development_fdr_q,development_candidate,development_top10_return,development_top10_excess_spy,development_top10_excess_qqq,development_top10_excess_uew,development_top10_dates,validation_top10_return,validation_top10_excess_spy,validation_top10_excess_qqq,validation_top10_excess_uew,validation_top10_dates,validation_confirmation,dev_score,dev_rank,recommended_for_phase2
dist_low_252,PRICE_TREND_RISK,5,0.9612878128369613,0.9823134460765546,1,0.0036049412215418413,0.5614077234942536,0.5745196200504894,2008,0.025623432313592168,1.6841472094961394,496,0.6987400784397845,False,,,,,,,,,,,False,-9.0,58.0,False
vol_10,PRICE_TREND_RISK,5,0.998279668170462,0.9990288270284908,-1,-0.02154955164324692,-2.7486378751591,0.005984346053306666,2008,0.023258014403100158,1.3913057090617684,496,0.016865864060940372,True,0.006580079213515068,0.004348849219559199,0.0035603745763238544,0.0023173963718181334,2008.0,0.004035807421323741,-0.000756563619500787,-0.0031635329776162277,-0.00036315109551786795,496.0,False,0.0034088733892337288,12.0,True
downside_vol_10,PRICE_TREND_RISK,5,0.9984930572997022,0.9991315472466312,-1,-0.020282042671661733,-2.5879173855159037,0.0096558135744369,2008,0.02682813561076981,1.7692662177377905,496,0.026334037021191546,True,0.007020047995481607,0.004787101537303689,0.003997211102261379,0.0027559640227950736,2008.0,0.004768901923441996,-2.3521939169440785e-05,-0.002432467897917173,0.0003692990594351679,496.0,True,0.0038467588874533803,6.0,True
vol_20,PRICE_TREND_RISK,5,0.9965725551365407,0.9982444180899642,-1,-0.02563219475044916,-3.150362584921724,0.0016306794704923355,2008,0.02152052227513877,1.2228410254482436,496,0.006380919667143921,True,0.00544532621778106,0.003212860615050948,0.0024300464858491547,0.0011795211949770668,2008.0,0.0031596118754929664,-0.0016205149997216598,-0.004015726276027383,-0.001224102050806557,496.0,False,0.00227414276529239,22.0,True
downside_vol_20,PRICE_TREND_RISK,5,0.9967859442657809,0.9983378001064555,-1,-0.024950852295224767,-3.03752815507088,0.002385271208601436,2008,0.023026592479758894,1.3951828306829814,496,0.007950904028671454,True,0.005631144140084862,0.003399072333159924,0.0026168072086397926,0.0013651643671891368,2008.0,0.004159999308168324,-0.0006225127579077022,-0.0030206445765099312,-0.00022676754300631752,496.0,False,0.002460347969662951,21.0,True
vol_60,PRICE_TREND_RISK,5,0.9899971485169455,0.995274869965542,-1,-0.027430607273369816,-3.2698024048498318,0.0010762263331665078,2008,0.02290360524119843,1.208351706925586,496,0.005297633929013507,True,0.0035056457464714558,0.0012767925689220927,0.0004982457657343769,-0.0007466271264179815,2008.0,0.003160409661869164,-0.0016498649875985826,-0.004024479552380581,-0.0012629272899690543,496.0,False,0.000342803736079496,40.0,True
downside_vol_60,PRICE_TREND_RISK,5,0.990197318850569,0.9953682519820333,-1,-0.026596939381850756,-3.1685032087483305,0.0015322605763501418,2008,0.02138421693479303,1.194010779172629,496,0.006268338721432398,True,0.003512128972872827,0.0012853025996739994,0.0005061207495179753,-0.0007393100218462912,2008.0,0.0028892583911282617,-0.001922685815952288,-0.004299280337668789,-0.001534626282776677,496.0,False,0.00035070444244856116,39.0,True
vol_120,PRICE_TREND_RISK,5,0.9807590987802829,0.9904190051079963,-1,-0.025993560731514067,-3.0710023658658105,0.0021334146045137725,2008,0.016367536917734325,0.8397507216118769,496,0.007730327837806967,True,0.0024262841459279597,0.0002148939835637218,-0.0005610018753642602,-0.001805161714401503,2008.0,0.0031544840167858556,-0.001650587478481376,-0.004028614574694109,-0.0012669192680733066,496.0,False,-0.0007170898687340138,46.0,False
downside_vol_120,PRICE_TREND_RISK,5,0.9809479387176635,0.9905123871244875,-1,-0.024795481425390564,-2.921021971728123,0.003488852216603444,2008,0.018106885690785692,0.9829280044333503,496,0.011214167839082499,True,0.002745880324421455,0.000533634127662422,-0.00024247782585919416,-0.0014864810568821568,2008.0,0.0034238593083596503,-0.0013802376005724241,-0.0037587584994170473,-0.0009949620268832708,496.0,False,-0.0003984415850263096,43.0,False
skew_20,PRICE_TREND_RISK,5,0.9965725551365407,0.9982444180899642,-1,-0.009418501627040214,-2.5139573352874116,0.01193848756171767,2008,0.015035913515491838,1.6989793666754003,496,0.027550355911656162,True,0.0067111353366500585,0.004478669733919947,0.003695855604718154,0.0024453303138460654,2008.0,0.0056440506812929225,0.0008639238060782974,-0.0015312874702274259,0.0012603367549934006,496.0,True,0.003539951884161389,11.0,True
