feature,abs_train_ic,train_ic,selected,horizon_sessions,fold
mom_5d,0.005149534061235595,0.005149534061235595,False,120,WF_2023_2024
rel_mom_qqq_5,0.005149534061235595,0.005149534061235595,False,120,WF_2023_2024
rel_mom_spy_5,0.005149534061235595,0.005149534061235595,False,120,WF_2023_2024
equity_assets,0.004832618826385646,0.004832618826385646,False,120,WF_2023_2024
chg_net_income_252d,0.0045009796383020245,-0.0045009796383020245,False,120,WF_2023_2024
beta_spy_120,0.004356395168083427,0.004356395168083427,False,120,WF_2023_2024
macro_idx_vix_vol60_z252,0.0021212744356030695,0.0021212744356030695,False,120,WF_2023_2024
macro_qqq_level_z252,0.0021134487678099393,0.0021134487678099393,False,120,WF_2023_2024
macro_spy_level_z252,0.0017754974332954048,0.0017754974332954048,False,120,WF_2023_2024
macro_uup_vol60_z252,0.0014857659994843948,-0.0014857659994843948,False,120,WF_2023_2024
macro_spread_iwm_spy_120_z252,0.0014393786710032422,-0.0014393786710032422,False,120,WF_2023_2024
macro_tlt_level_z252,0.0012085799399619798,0.0012085799399619798,False,120,WF_2023_2024
macro_idx_vix_ret60_z252,0.0011217966554668108,0.0011217966554668108,False,120,WF_2023_2024
macro_hyg_ret60_z252,0.0011070290689174295,-0.0011070290689174295,False,120,WF_2023_2024
macro_iwm_ret60_z252,0.0010854025028598762,-0.0010854025028598762,False,120,WF_2023_2024
macro_idx_vix_vol20_z252,0.0010665537336888191,0.0010665537336888191,False,120,WF_2023_2024
macro_idx_vix_ret120_z252,0.0010482380203141902,0.0010482380203141902,False,120,WF_2023_2024
macro_uup_vol20_z252,0.0010330152942866792,-0.0010330152942866792,False,120,WF_2023_2024
chg_assets_252d,0.0009970167033137437,0.0009970167033137437,False,120,WF_2023_2024
macro_hyg_ret20_z252,0.0009881065422709685,-0.0009881065422709685,False,120,WF_2023_2024
macro_spread_hyg_tlt_120_z252,0.0009179040887127012,-0.0009179040887127012,False,120,WF_2023_2024
macro_spread_iwm_spy_60_z252,0.0008888842755649487,-0.0008888842755649487,False,120,WF_2023_2024
macro_tlt_ret20_z252,0.0008829564933911466,-0.0008829564933911466,False,120,WF_2023_2024
macro_hyg_level_z252,0.0008237890570743895,0.0008237890570743895,False,120,WF_2023_2024
macro_uup_level_z252,0.0007793333947248089,-0.0007793333947248089,False,120,WF_2023_2024
macro_hyg_vol60_z252,0.0007343434715024461,-0.0007343434715024461,False,120,WF_2023_2024
macro_iwm_level_z252,0.0007230414438572463,0.0007230414438572463,False,120,WF_2023_2024
macro_uup_ret120_z252,0.0007054392921136487,-0.0007054392921136487,False,120,WF_2023_2024
macro_iwm_ret20_z252,0.0006329108450094803,-0.0006329108450094803,False,120,WF_2023_2024
macro_iwm_ret120_z252,0.0006308348839431553,-0.0006308348839431553,False,120,WF_2023_2024
macro_spy_ret60_z252,0.0006219680548206205,-0.0006219680548206205,False,120,WF_2023_2024
macro_spy_vol60_z252,0.0005695872624000271,-0.0005695872624000271,False,120,WF_2023_2024
macro_qqq_ret60_z252,0.0005462628774721562,-0.0005462628774721562,False,120,WF_2023_2024
macro_iwm_vol60_z252,0.0005298057412166865,-0.0005298057412166865,False,120,WF_2023_2024
