ticker,target_weight,current_weight,execution_present,vehicle_available,vehicle,byma_ticker,ratio,unit_usd,target_usd,q_star,quantity,actual_usd,actual_weight,weight_error,abs_weight_error,reason
OXY,0.0422388603943087,0.0,True,True,CEDEAR_CAJA_DE_VALORES,OXY,5:1,12.00800018310547,13.534298976925367,1.1271068263279433,1,12.00800018310547,0.03747547207385901,-0.004763388320449688,0.004763388320449688,INTEGER_NEAREST
YPF,0.0405271845870347,0.0,True,True,LOCAL_BYMA_SHARE,YPFD,1 ADR:10 LOCAL,5.261999893188476,12.985838816993168,2.4678523528293876,2,10.523999786376953,0.03284409177929171,-0.007683092807742986,0.007683092807742986,INTEGER_NEAREST
DOW,0.0374667717983052,0.0,True,True,CEDEAR_BANCO_COMAFI,DOW,6:1,4.9066667556762695,12.00521241540938,2.4467144424514196,2,9.813333511352539,0.03062619090175998,-0.006840580896545222,0.006840580896545222,INTEGER_NEAREST
HON,0.0317332531891169,0.0,True,True,CEDEAR_BANCO_COMAFI,HON,8:1,26.201250076293945,10.16806164187725,0.3880754396171726,0,0.0,0.0,-0.0317332531891169,0.0317332531891169,INTEGER_NEAREST
MDB,0.0283513054893302,0.0,True,False,,,,,9.084408085272168,,0,0.0,0.0,-0.0283513054893302,0.0283513054893302,NO_CURRENT_BYMA_VEHICLE
NXPI,0.0269556326686798,0.0,True,False,,,,,8.637202524982088,,0,0.0,0.0,-0.0269556326686798,0.0269556326686798,NO_CURRENT_BYMA_VEHICLE
ADSK,0.0264867380627547,0.0,True,False,,,,,8.486957946269142,,0,0.0,0.0,-0.0264867380627547,0.0264867380627547,NO_CURRENT_BYMA_VEHICLE
MELI,0.0252164199273556,0.0,True,True,CEDEAR_BANCO_COMAFI,MELI,120:1,16.48633321126302,8.079918900238951,0.4900979979416507,0,0.0,0.0,-0.0252164199273556,0.0252164199273556,INTEGER_NEAREST
UPS,0.0224855231580329,0.0,True,False,,,,,7.204876983717142,,0,0.0,0.0,-0.0224855231580329,0.0224855231580329,NO_CURRENT_BYMA_VEHICLE
LAR,0.0222553588180592,0.0,True,True,CEDEAR_BANCO_COMAFI,LAR,1:1,6.789999961853027,7.1311270538669875,1.050239630917592,1,6.789999961853027,0.021190743676864243,-0.0010646151411949564,0.0010646151411949564,INTEGER_NEAREST
GOOGL,0.0207533058329905,0.0,True,True,CEDEAR_BANCO_COMAFI,GOOGL,58:1,5.835517094053071,6.649834850684295,1.1395450897506731,1,5.835517094053071,0.018211921598934904,-0.002541384234055595,0.002541384234055595,INTEGER_NEAREST
ON,0.0164049542491225,0.0,True,False,,,,,5.256523339827666,,0,0.0,0.0,-0.0164049542491225,0.0164049542491225,NO_CURRENT_BYMA_VEHICLE
AMD,0.0152354165673102,0.0,True,True,CEDEAR_BANCO_COMAFI,AMD,10:1,47.75700073242188,4.881776660995378,0.10222117356882454,0,0.0,0.0,-0.0152354165673102,0.0152354165673102,INTEGER_NEAREST
MCHP,0.015013352268419,0.0,True,False,,,,,4.810622169959446,,0,0.0,0.0,-0.015013352268419,0.015013352268419,NO_CURRENT_BYMA_VEHICLE
KMB,0.0144467072578633,0.0,True,True,CEDEAR_BANCO_COMAFI,KMB,6:1,17.49333318074544,4.629056121182305,0.26461830191843677,0,0.0,0.0,-0.0144467072578633,0.0144467072578633,INTEGER_NEAREST
FCX,0.0105398134384801,0.0,True,True,CEDEAR_BANCO_COMAFI,FCX,3:1,24.243334452311196,3.377197796194002,0.13930417875631967,0,0.0,0.0,-0.0105398134384801,0.0105398134384801,INTEGER_NEAREST
CAT,0.0096995816602459,0.0,True,True,CEDEAR_BANCO_COMAFI,CAT,20:1,40.697000122070314,3.107968276496364,0.0763684858140413,0,0.0,0.0,-0.0096995816602459,0.0096995816602459,INTEGER_NEAREST
AMAT,0.0077868256006078,0.0,True,True,CEDEAR_BANCO_COMAFI,AMAT,5:1,90.94199829101564,2.495077394985842,0.027435920057546574,0,0.0,0.0,-0.0077868256006078,0.0077868256006078,INTEGER_NEAREST
MU,0.0073107102034688,0.0,True,True,CEDEAR_CAJA_DE_VALORES,MU,5:1,203.31800537109376,2.34251910926881,0.011521454309928281,0,0.0,0.0,-0.0073107102034688,0.0073107102034688,INTEGER_NEAREST
KEEL,0.0069983337028542,0.0,True,True,CEDEAR_CAJA_DE_VALORES,KEEL,1:5,17.350000143051147,2.2424265188623376,0.12924648417138213,0,0.0,0.0,-0.0069983337028542,0.0069983337028542,INTEGER_NEAREST
DDOG,0.0022620307597557,0.0,True,False,,,,,0.7248065007374199,,0,0.0,0.0,-0.0022620307597557,0.0022620307597557,NO_CURRENT_BYMA_VEHICLE
