horizon_sessions,fold,expert,train_rows,test_rows,selected_features,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift
5,WF_2023_2024,RIDGE_RANK_DECAY,302090,107087,40,-0.0012136657956245756,-0.0016223364198020992,0.05356190857276622,0.0,0.8407679160713729
5,WF_2023_2024,HGB_RANK_DECAY,302090,107087,40,-0.001911476195181951,-0.0021162277017140224,0.04748328155936677,0.0,1.1459355300528342
5,WF_2023_2024,HGB_ABS_RETURN_DECAY,302090,107087,40,-0.002569933332987286,-0.002669249293970623,0.03069139291438563,0.0,1.1399284657300266
5,WF_2023_2024,HGB_BENCH_EXCESS_DECAY,302090,107087,40,-0.0031426125625058695,-0.003466042077259401,0.0259165621605008,0.0,1.248137435408293
5,WF_2023_2024,HGB_WINNER_DECAY,302090,107087,40,0.001362676404219279,-0.0014909850038479454,-0.031768902082269526,0.3333333333333333,2.45646583732599
10,WF_2017_2018,RIDGE_RANK_DECAY,145912,147532,40,5.2987924435638464e-05,-5.5145968649613904e-05,0.059021124561293006,0.6666666666666666,0.9475223144720821
10,WF_2017_2018,HGB_RANK_DECAY,145912,147532,40,0.0019095612938892523,0.0016220544241604634,0.06765360687565597,1.0,1.3950363161825807
10,WF_2017_2018,HGB_ABS_RETURN_DECAY,145912,147532,40,0.007260908727749882,0.005241946210215833,0.04995306537454021,1.0,1.672908263989858
10,WF_2017_2018,HGB_BENCH_EXCESS_DECAY,145912,147532,40,0.006238794433348598,0.004584127153125881,0.05667493247809785,1.0,1.7867751124013016
10,WF_2017_2018,HGB_WINNER_DECAY,145912,147532,40,0.0007393526758414015,-0.0015753664200774784,-0.04945183745034153,0.6666666666666666,2.469201156065405
10,WF_2019_2020,RIDGE_RANK_DECAY,296799,113517,40,0.006128570408712476,0.002802827673621134,0.08127148780355824,1.0,1.140088203128085
10,WF_2019_2020,HGB_RANK_DECAY,296799,113517,40,-0.0021916345786008487,-0.0026124480140690704,0.05468790137626557,0.0,0.9609063282372914
10,WF_2019_2020,HGB_ABS_RETURN_DECAY,296799,113517,40,0.0038436705822485887,-0.0003871073485507753,0.04772483734954711,0.6666666666666666,1.4451304772185343
10,WF_2019_2020,HGB_BENCH_EXCESS_DECAY,296799,113517,40,-0.0006196699020356741,-0.0012914591047493466,0.011045292214854013,0.0,1.2697111102370515
10,WF_2019_2020,HGB_WINNER_DECAY,296799,113517,40,0.023334047686216584,0.011995266141002884,-0.011315437836326011,1.0,2.6299425611260387
10,WF_2021_2022,RIDGE_RANK_DECAY,339905,112898,40,-0.003833564502237563,-0.004336513142199787,0.01937920331657968,0.0,1.2773438281593252
10,WF_2021_2022,HGB_RANK_DECAY,339905,112898,40,-0.004165068502110714,-0.006346701223179096,0.046143282805063225,0.0,1.425211622524401
10,WF_2021_2022,HGB_ABS_RETURN_DECAY,339905,112898,40,-0.0028119420910945694,-0.00379354144244992,0.017335569762325764,0.0,1.6087253552487752
10,WF_2021_2022,HGB_BENCH_EXCESS_DECAY,339905,112898,40,-0.007330903076483395,-0.009760257795220165,0.011956914483527658,0.0,1.8417650095137847
10,WF_2021_2022,HGB_WINNER_DECAY,339905,112898,40,-0.010938241733016857,-0.014173295431309524,-0.06071201070684297,0.0,2.2247002056169283
10,WF_2023_2024,RIDGE_RANK_DECAY,300980,106032,40,-0.0032728785418195444,-0.003448859274841178,0.06948621379316437,0.0,0.8944516926897135
10,WF_2023_2024,HGB_RANK_DECAY,300980,106032,40,-0.005127086002257554,-0.005615436578180458,0.05365135124721225,0.0,1.0363426238593667
10,WF_2023_2024,HGB_ABS_RETURN_DECAY,300980,106032,40,-0.004032674248280508,-0.005316616196390985,0.043316804720319436,0.0,1.151186295095405
10,WF_2023_2024,HGB_BENCH_EXCESS_DECAY,300980,106032,40,-0.004631789651567395,-0.005090845003390339,0.04753714841928237,0.0,1.352827568370346
10,WF_2023_2024,HGB_WINNER_DECAY,300980,106032,40,-0.003722003754289416,-0.006017021595576604,-0.03408905137554667,0.3333333333333333,2.2801333812642395
20,WF_2017_2018,RIDGE_RANK_DECAY,142862,145092,40,0.0011941318663238698,-6.669404006058657e-06,0.06715450833582447,0.6666666666666666,0.9622033670254266
20,WF_2017_2018,HGB_RANK_DECAY,142862,145092,40,0.004750773015563717,0.0011984664161216213,0.0787725619796398,1.0,1.3429505067146286
20,WF_2017_2018,HGB_ABS_RETURN_DECAY,142862,145092,40,0.016032152498389345,0.008470315556054105,0.06037216115135394,1.0,1.5739061772331773
20,WF_2017_2018,HGB_BENCH_EXCESS_DECAY,142862,145092,40,0.010581687769723834,0.005771041700656087,0.0789903854708024,1.0,1.7478955541693915
20,WF_2017_2018,HGB_WINNER_DECAY,142862,145092,40,0.0018957274082674433,-0.002974571896449207,-0.05991213426685265,0.6666666666666666,2.3665001729544275
20,WF_2019_2020,RIDGE_RANK_DECAY,294359,111207,40,0.010553513679178344,0.006981345400324565,0.10887767109041745,1.0,1.1860258884469024
20,WF_2019_2020,HGB_RANK_DECAY,294359,111207,40,0.0013114639684027457,0.0009272433160982109,0.0714544380417849,1.0,1.339944172455873
20,WF_2019_2020,HGB_ABS_RETURN_DECAY,294359,111207,40,0.012619404743474229,0.007169345041046973,0.07850462778848037,1.0,1.6466368565640748
20,WF_2019_2020,HGB_BENCH_EXCESS_DECAY,294359,111207,40,0.014290237613405676,0.008318494423266235,0.045591530876508544,1.0,2.057374396253242
20,WF_2019_2020,HGB_WINNER_DECAY,294359,111207,40,0.02903992673486408,0.018653458458578,0.01254197749957021,1.0,2.6157557265746747
20,WF_2021_2022,RIDGE_RANK_DECAY,337595,110678,40,-0.009407260875745442,-0.01094444388959538,0.010339954453889355,0.0,1.2644146997405108
20,WF_2021_2022,HGB_RANK_DECAY,337595,110678,40,-0.008524682733314777,-0.013476785648939492,0.05436852314653685,0.0,1.3529067110278683
20,WF_2021_2022,HGB_ABS_RETURN_DECAY,337595,110678,40,-0.012149052708890993,-0.015162177398607677,0.021997942408777255,0.0,1.6439092866074474
20,WF_2021_2022,HGB_BENCH_EXCESS_DECAY,337595,110678,40,-0.011665179677924553,-0.01603119284542093,0.030892294974468822,0.0,1.713681833968633
20,WF_2021_2022,HGB_WINNER_DECAY,337595,110678,40,-0.01819795839858934,-0.020429545283161953,-0.0684532632006271,0.0,2.1289135792400793
20,WF_2023_2024,RIDGE_RANK_DECAY,298760,103922,40,-0.008346447247286703,-0.009002458147048944,0.08790220109810637,0.0,0.9865925539841643
20,WF_2023_2024,HGB_RANK_DECAY,298760,103922,40,-0.007218240269196434,-0.008137282432315866,0.07803743499363085,0.0,1.1604817796400002
20,WF_2023_2024,HGB_ABS_RETURN_DECAY,298760,103922,40,-0.0027504143091338523,-0.006236955787171105,0.08635577001283984,0.0,1.3733512834980115
20,WF_2023_2024,HGB_BENCH_EXCESS_DECAY,298760,103922,40,-0.006479745769785428,-0.007497327218712061,0.07236209709686121,0.0,1.4835496567795272
20,WF_2023_2024,HGB_WINNER_DECAY,298760,103922,40,-0.01560160358059407,-0.0208373689233895,-0.04406972378247435,0.0,2.0345039401732814
60,WF_2017_2018,RIDGE_RANK_DECAY,130731,135386,40,0.01335122406794352,0.009438287564270844,0.1115558401073639,1.0,1.1715577326820399
60,WF_2017_2018,HGB_RANK_DECAY,130731,135386,40,0.010880457845198104,0.005680193775709984,0.09911983480579976,1.0,1.3435098724971262
60,WF_2017_2018,HGB_ABS_RETURN_DECAY,130731,135386,40,0.013083214027013353,0.005771176089414053,0.09072145846530151,1.0,1.7789997236762054
60,WF_2017_2018,HGB_BENCH_EXCESS_DECAY,130731,135386,40,0.014789884794853617,0.009346495781966632,0.09703836349254036,1.0,1.8690838395932514
60,WF_2017_2018,HGB_WINNER_DECAY,130731,135386,40,0.02818584541818947,0.022356510492778883,-0.04450123806744114,1.0,2.4342660267152323
60,WF_2019_2020,RIDGE_RANK_DECAY,284653,102000,40,0.008656094641661536,-0.0008898578113124991,0.16569233027123925,0.6666666666666666,1.4810817624967592
60,WF_2019_2020,HGB_RANK_DECAY,284653,102000,40,0.009384995161177178,-0.003740275415555934,0.08908006608798172,0.6666666666666666,1.6490490551107402
60,WF_2019_2020,HGB_ABS_RETURN_DECAY,284653,102000,40,0.010915954620339221,-0.005742920154618796,0.09171710896845506,0.6666666666666666,2.100582430250017
60,WF_2019_2020,HGB_BENCH_EXCESS_DECAY,284653,102000,40,-0.019052241908229666,-0.024880955788689024,0.05086849912838329,0.0,2.072215272966957
60,WF_2019_2020,HGB_WINNER_DECAY,284653,102000,40,0.01408914338755226,0.0053440555215673105,-0.0022004901012759688,1.0,2.331164760598475
60,WF_2021_2022,RIDGE_RANK_DECAY,328388,101828,40,-0.026809358715751703,-0.027615100224932018,-0.018402275194030836,0.0,1.3540221086906268
60,WF_2021_2022,HGB_RANK_DECAY,328388,101828,40,-0.018236562145689632,-0.03488266833190651,0.04872972591997747,0.0,1.2924338661364707
60,WF_2021_2022,HGB_ABS_RETURN_DECAY,328388,101828,40,-0.0346512714381811,-0.05461575190763709,0.020404415683729766,0.0,1.3227683736631448
60,WF_2021_2022,HGB_BENCH_EXCESS_DECAY,328388,101828,40,-0.02525067244041751,-0.04327200452814533,0.027459049659584397,0.0,1.445944858771457
60,WF_2021_2022,HGB_WINNER_DECAY,328388,101828,40,-0.030547731247341416,-0.038829748386593296,-0.0992099877176563,0.0,2.0351696867895774
60,WF_2023_2024,RIDGE_RANK_DECAY,289910,95501,40,-0.016362644453968313,-0.01824267306208364,0.07866217414702459,0.0,1.0694494572173634
60,WF_2023_2024,HGB_RANK_DECAY,289910,95501,40,-0.011726928943845824,-0.01844679265177755,0.10644329305560454,0.0,1.2181217635960515
60,WF_2023_2024,HGB_ABS_RETURN_DECAY,289910,95501,40,-0.008205588216285083,-0.013745634157682391,0.1122793188856381,0.0,1.5739441501957119
60,WF_2023_2024,HGB_BENCH_EXCESS_DECAY,289910,95501,40,-0.011047814439692686,-0.012794856919719955,0.11309856712272111,0.0,1.7089144694368223
60,WF_2023_2024,HGB_WINNER_DECAY,289910,95501,40,-0.045144939493542646,-0.06252324958925917,-0.02350148595629211,0.0,2.334908491241388
120,WF_2017_2018,RIDGE_RANK_DECAY,112696,120944,40,-0.0026132270907317343,-0.005139825945612684,0.1003830523063737,0.3333333333333333,0.9009003898670195
