sample,group,horizon_sessions,events_total,events_resolved,unique_signal_dates,unique_tickers,mean_active,median_active,hit_rate_active_gt0,std_active,mean_raw_return,target_weighted_mean_active,date_cluster_mean_active,hac_se,hac_t,hac_lag,bootstrap_ci_low,bootstrap_ci_high,bootstrap_block_length
PRE2025_OOF,WEAK60_POSITIVE_1Y,20,600,598,458,142,0.0040222601231745,-0.008563099876462782,0.459866220735786,0.14255844418949618,0.028449608886328553,-0.012262574404382163,0.005419890748447729,0.00832039537939348,0.6513982210353585,20,-0.011175461014484384,0.02132875271608603,20
PRE2025_OOF,POSITIVE_MOMENTUM_60_252,20,2488,2471,1027,185,-0.0003886831787443049,-0.005095260781461164,0.4678267907729664,0.09308299909423351,0.01771788370295598,-0.0027638153173398985,8.204893660127283e-05,0.003370334648699713,0.024344448001010106,20,-0.005942973361007145,0.00724721019432624,20
PRE2025_OOF,ALL,60,5216,5072,1368,234,-0.006385178175823549,-0.015496023921530419,0.4589905362776025,0.2200983345752744,0.06410952452414477,-0.01496305894663344,-0.0016053125195065162,0.009461494644760735,-0.16966796259779648,60,-0.017811365263954083,0.01837344452485109,60
PRE2025_OOF,WEAK_60_Q25,60,1542,1483,866,199,-0.010160301151559898,-0.030439806673567632,0.4335805799055968,0.2888315303057602,0.062483199790044366,-0.012498180339070016,-0.0016965543341888514,0.01644883629091843,-0.10314129852003794,60,-0.028054721582687285,0.035497283990098535,60
PRE2025_OOF,NORMAL_60,60,3669,3584,1230,210,-0.005393845229501233,-0.010058755356981308,0.46902901785714285,0.1827788955878691,0.06421872527787238,-0.01579975818056571,6.160964387026934e-05,0.00890044290375887,0.006922087421542822,60,-0.017070579750678487,0.018418075370475993,60
PRE2025_OOF,DEEP_DD252_Q25,60,1399,1338,825,145,-0.008011812595178858,-0.028201125169191543,0.45440956651718983,0.3203557267254427,0.0534046550737391,0.00564765988544258,0.0021554181951934084,0.020534386591593092,0.10496628110020341,60,-0.029896559953089295,0.04876896790718497,60
PRE2025_OOF,NOT_DEEP_DD252,60,3817,3734,1255,204,-0.005802308102685518,-0.0131677388088393,0.4606320299946438,0.1704359223929183,0.06794538829614336,-0.01821266069043534,-0.0018930552576506541,0.008142421152973893,-0.2324929185171471,60,-0.016668155784370104,0.015232601282557412,60
PRE2025_OOF,REVERSAL_Q4,60,1490,1426,863,183,-0.009255506877765666,-0.0287314725419546,0.4481065918653576,0.2944455489854293,0.06351422263994816,-0.004426453175748443,-0.0021503665198888814,0.01697185189323438,-0.12670193762096751,60,-0.02916479069737081,0.03647374491384761,60
PRE2025_OOF,REVERSAL_Q1_Q3,60,3726,3646,1241,208,-0.005262553730138015,-0.011693537077824737,0.4632473944048272,0.18302038773746973,0.06434235515685578,-0.01758903595705264,0.0015715861637807282,0.008635052235643113,0.18200077091527647,60,-0.014225347187475033,0.020421870624764058,60
PRE2025_OOF,BROKEN_1Y_REVERSAL_Q4,60,941,901,598,150,-0.0015967074000360097,-0.027685876967092238,0.45172031076581576,0.33259399417483765,0.07952274552979421,0.0038752977411100043,0.0006005126600694916,0.025005412744739226,0.02401530685374632,60,-0.03052114540644354,0.06314518339639306,60
PRE2025_OOF,POSITIVE_1Y_REVERSAL_Q4,60,478,459,371,118,-0.007231703718366011,-0.014152486521472607,0.47058823529411764,0.20933839498398873,0.056450139723142514,-0.013820936052426713,-0.007744029875551606,0.015659839349524057,-0.49451528222650426,60,-0.04218996577962504,0.022245226343433115,60
PRE2025_OOF,WEAK60_BROKEN_1Y,60,876,841,561,144,-0.003862424891346464,-0.031307823260506795,0.4399524375743163,0.3366414656742359,0.07967983779622886,-0.0004092406695065743,-0.0011488938515616272,0.02525633579853453,-0.045489332289773025,60,-0.03294154411715548,0.05893932133119508,60
PRE2025_OOF,WEAK60_POSITIVE_1Y,60,600,581,444,139,-0.007794013344611553,-0.02399435294219554,0.4457831325301205,0.2073014609509322,0.054361176178877,-0.02212182728385882,-0.004000346692104346,0.016978493928094626,-0.2356125760651184,60,-0.03723742074335738,0.03229844769659627,60
PRE2025_OOF,POSITIVE_MOMENTUM_60_252,60,2488,2421,1006,181,-0.008988686381825168,-0.015059953925438019,0.4560099132589839,0.17123243877911382,0.0478062266029865,-0.023088753726969412,-0.005106794438271703,0.009104899280237617,-0.5608842317845417,60,-0.022504189208795565,0.013582559385841438,60
FINAL_HOLDOUT,ALL,20,1432,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,WEAK_60_Q25,20,400,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,NORMAL_60,20,1031,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,DEEP_DD252_Q25,20,472,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,NOT_DEEP_DD252,20,960,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,REVERSAL_Q4,20,419,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,REVERSAL_Q1_Q3,20,1013,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,BROKEN_1Y_REVERSAL_Q4,20,325,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,POSITIVE_1Y_REVERSAL_Q4,20,94,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,WEAK60_BROKEN_1Y,20,275,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,WEAK60_POSITIVE_1Y,20,125,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,POSITIVE_MOMENTUM_60_252,20,583,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,ALL,60,1432,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,WEAK_60_Q25,60,400,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,NORMAL_60,60,1031,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,DEEP_DD252_Q25,60,472,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,NOT_DEEP_DD252,60,960,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,REVERSAL_Q4,60,419,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,REVERSAL_Q1_Q3,60,1013,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,BROKEN_1Y_REVERSAL_Q4,60,325,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,POSITIVE_1Y_REVERSAL_Q4,60,94,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,WEAK60_BROKEN_1Y,60,275,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,WEAK60_POSITIVE_1Y,60,125,0,0,0,,,,,,,,,,0,,,0
FINAL_HOLDOUT,POSITIVE_MOMENTUM_60_252,60,583,0,0,0,,,,,,,,,,0,,,0
