horizon_sessions,scheme,fold,expert_weights,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift
10,ADAPTIVE_T250,WF_2021_2022,"{""HGB_ABS_RETURN_DECAY"": 0.20194884547070457, ""HGB_BENCH_EXCESS_DECAY"": 0.14203748347048104, ""HGB_RANK_DECAY"": 0.09591669095714449, ""HGB_WINNER_DECAY"": 0.4059019668233487, ""RIDGE_RANK_DECAY"": 0.15419501327832127}",-0.007392153864456105,-0.011056308477398602,-0.017907019321963365,0.0,1.7785905887189037
10,ADAPTIVE_T250,WF_2023_2024,"{""HGB_ABS_RETURN_DECAY"": 0.2793674250088873, ""HGB_BENCH_EXCESS_DECAY"": 0.14241700185462838, ""HGB_RANK_DECAY"": 0.14751262122980055, ""HGB_WINNER_DECAY"": 0.21739614290576426, ""RIDGE_RANK_DECAY"": 0.21330680900091953}",-0.000927379588937955,-0.0025978599249591333,0.05454605202139577,0.3333333333333333,1.2958773017582896
20,EQUAL,WF_2017_2018,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",0.008312116088560884,0.005987336527223713,0.06841748277118753,1.0,1.6252362170346972
20,EQUAL,WF_2019_2020,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",0.022184849775264026,0.009794080847681541,0.09649045848879675,1.0,1.712109183599701
20,EQUAL,WF_2021_2022,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",-0.012315471931092982,-0.01660668422550455,0.016799221175271252,0.0,1.5527965145248346
20,EQUAL,WF_2023_2024,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",-3.3758061479431115e-05,-0.003567970221500735,0.08427384024837498,0.6666666666666666,1.4348816828362494
20,ADAPTIVE_T075,WF_2017_2018,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",0.008312116088560884,0.005987336527223713,0.06841748277118753,1.0,1.6252362170346972
20,ADAPTIVE_T075,WF_2019_2020,"{""HGB_ABS_RETURN_DECAY"": 0.6794234758996889, ""HGB_BENCH_EXCESS_DECAY"": 0.1930888893968174, ""HGB_RANK_DECAY"": 0.050261530368327326, ""HGB_WINNER_DECAY"": 0.03861305216758317, ""RIDGE_RANK_DECAY"": 0.03861305216758317}",0.01766534558138001,0.009677275172510514,0.08561882973692371,1.0,1.7657847582140254
20,ADAPTIVE_T075,WF_2021_2022,"{""HGB_ABS_RETURN_DECAY"": 0.3741774353649872, ""HGB_BENCH_EXCESS_DECAY"": 0.15933551658038583, ""HGB_RANK_DECAY"": 0.037425461017003385, ""HGB_WINNER_DECAY"": 0.39163612602062015, ""RIDGE_RANK_DECAY"": 0.037425461017003385}",-0.014199977130663316,-0.018186834798005924,-0.01030873404467331,0.0,1.7553751854405608
20,ADAPTIVE_T075,WF_2023_2024,"{""HGB_ABS_RETURN_DECAY"": 0.5199219415523215, ""HGB_BENCH_EXCESS_DECAY"": 0.24709216877899917, ""HGB_RANK_DECAY"": 0.03941834993158787, ""HGB_WINNER_DECAY"": 0.10052841333972548, ""RIDGE_RANK_DECAY"": 0.0930391263973661}",-0.00010763568112123207,-0.004325442224514729,0.08695573914694282,0.6666666666666666,1.4643303213123033
