ticker,first_eligible,last_eligible,eligible_sessions,eligible_at_start,eligible_at_end
TM,2019-01-02,2024-12-31,1510,True,True
TMO,2019-01-02,2024-12-31,1510,True,True
TMUS,2019-01-02,2024-12-31,1510,True,True
TRAK,2019-01-02,2024-10-07,1451,True,False
TSLA,2019-01-02,2024-12-31,1510,True,True
TSM,2019-01-02,2024-12-31,1510,True,True
TTWO,2019-01-02,2024-12-31,1510,True,True
TXN,2019-01-02,2024-12-31,1510,True,True
UBER,2019-05-31,2024-12-31,1407,False,True
UHAL-B,2022-11-30,2022-12-23,18,False,False
UL,2019-01-02,2024-12-31,1510,True,True
UNH,2019-01-02,2024-12-31,1510,True,True
UNP,2019-01-02,2024-12-31,1510,True,True
UPS,2019-01-02,2024-12-31,1510,True,True
USB,2019-01-02,2024-12-31,1510,True,True
UWMC,2020-05-01,2021-03-04,212,False,False
UZB,2019-01-02,2021-05-11,594,True,False
V,2019-01-02,2024-12-31,1510,True,True
VALE,2019-01-02,2024-12-31,1510,True,True
VIST,2019-07-31,2024-12-31,1365,False,True
VLO,2019-01-02,2024-12-31,1510,True,True
VRTX,2019-01-02,2024-12-31,1510,True,True
VS,2019-01-02,2021-01-14,514,True,False
VZ,2019-01-02,2024-12-31,1510,True,True
WFC,2019-01-02,2024-12-31,1510,True,True
WM,2019-01-02,2024-12-31,1510,True,True
WMB,2019-01-02,2024-12-31,1510,True,True
WMT,2019-01-02,2024-12-31,1510,True,True
XOM,2019-01-02,2024-12-31,1510,True,True
YPF,2019-01-02,2024-12-31,1510,True,True
ZTS,2019-01-02,2024-12-31,1510,True,True
