feature,family,horizon_sessions,development_coverage,validation_coverage,direction_from_development,development_mean_ic,development_hac_t,development_p,development_rich_dates,validation_aligned_ic,validation_aligned_hac_t,validation_rich_dates,development_fdr_q,development_candidate,development_top10_return,development_top10_excess_spy,development_top10_excess_qqq,development_top10_excess_uew,development_top10_dates,validation_top10_return,validation_top10_excess_spy,validation_top10_excess_qqq,validation_top10_excess_uew,validation_top10_dates,validation_confirmation,dev_score,dev_rank,recommended_for_phase2
vol_60,PRICE_TREND_RISK,10,0.9899950609247236,0.9952750113173382,-1,-0.03040878905344091,-2.674905003087612,0.007475042796997622,2003,0.026178298735037235,1.0682676439338874,491,0.0336376925864893,True,0.006328133296132887,0.00184952689842733,0.0002617505090955223,-0.000924745280329327,2003.0,0.006759251481747155,-0.0026405329098859506,-0.007316614078364124,-0.0012297969987831395,491.0,False,0.00039551070906450846,37.0,True
downside_vol_60,PRICE_TREND_RISK,10,0.9901937593553845,0.9953693224686887,-1,-0.029068828787250842,-2.547578892817678,0.010847332290230272,2003,0.023872833631950946,1.028879968045444,491,0.03855922030615355,True,0.006389695995249833,0.0019174915202382612,0.0003302581083124102,-0.0008584953329339132,2003.0,0.0056419930657397995,-0.003758211252449667,-0.008435840537921752,-0.0023468726411150927,491.0,False,0.00046308476520558607,36.0,True
skew_20,PRICE_TREND_RISK,10,0.9965653556985764,0.99822695035461,-1,-0.014341316170920677,-3.1814141199429744,0.0014655796790066233,2003,0.02235833390459983,1.8436298844816172,491,0.009421583650756864,True,0.009763779136659113,0.0052920259880187065,0.0037043186119338815,0.0025057472864263557,2003.0,0.010965394028846442,0.0016279264321084025,-0.0030861511413581423,0.003056405572576909,491.0,True,0.003834030628792981,20.0,True
skew_60,PRICE_TREND_RISK,10,0.9899950609247236,0.9952750113173382,-1,-0.024531854464230552,-4.5343535839037035,5.778016644475414e-06,2003,0.02592836227163446,2.3494848625148976,491,0.00010400429960055746,True,0.006553639416932379,0.0020750330192268224,0.00048725662989501347,-0.0006992391595298351,2003.0,0.006293815324432814,-0.0031059690672002923,-0.007782050235678466,-0.0016952331560974817,491.0,False,0.0006210168298640003,34.0,True
skew_120,PRICE_TREND_RISK,10,0.9807376064219333,0.9903708314471104,-1,-0.026346231141734185,-4.700703442967554,2.5926680891075193e-06,2003,0.0252556353833391,1.9763487553421388,491,7.778004267322558e-05,True,0.0067319856065262895,0.002297031428827527,0.0007214754235163928,-0.00047243305797543567,2003.0,0.009478270691888087,9.072540451389194e-05,-0.00458983039095418,0.0014917084210256245,491.0,True,0.0008486912647894949,33.0,True
worst_day_20,PRICE_TREND_RISK,10,0.9965653556985764,0.99822695035461,1,0.0251334355665384,2.4307956226795033,0.015065710126848986,2003,0.026258413734161008,1.3796072071216303,491,0.046517909247462574,True,0.008223782458485316,0.003748718350204944,0.002165383091427282,0.0009563182858156889,2013.0,0.005427403046853482,-0.003910569196145596,-0.008623110444815365,-0.002478031743770282,499.0,False,0.002290139909149305,24.0,True
best_day_20,PRICE_TREND_RISK,10,0.9965653556985764,0.99822695035461,-1,-0.030522482861103623,-3.3578157337658956,0.0007856096502514287,2003,0.028927791484445176,1.3980632205665933,491,0.005892072376885715,True,0.011339490644796264,0.0068677374961558565,0.005280030120071033,0.004081458794563506,2003.0,0.006212032191894167,-0.003125435404843874,-0.007839512978310417,-0.001696956264375367,491.0,False,0.005409742136930132,15.0,True
worst_day_60,PRICE_TREND_RISK,10,0.9899950609247236,0.9952750113173382,1,0.025666717453136992,2.5876892349312457,0.00966221071781459,2003,0.028181698451681954,1.430214310945941,491,0.03855922030615355,True,0.0064790646274820885,0.001997374552983092,0.0004140146540488417,-0.000783531063793934,2013.0,0.005402830328907393,-0.003994647902708347,-0.008670914029688155,-0.0025789610593357224,499.0,False,0.0005426193810793333,35.0,True
best_day_60,PRICE_TREND_RISK,10,0.9899950609247236,0.9952750113173382,-1,-0.03069732339954187,-3.3087157086090366,0.0009372495418751292,2003,0.030964140232889667,1.5453362671000626,491,0.006488650674520125,True,0.00772248842826472,0.003243882030559163,0.0016561056412273546,0.0004696098518025055,2003.0,0.00438107807430035,-0.005018706317332756,-0.00969478748581093,-0.0036079704062299454,491.0,False,0.001789865841196341,29.0,True
mom_accel_60_120,PRICE_TREND_RISK,10,0.9762337753269535,0.9881356571601027,-1,-0.014423205222062077,-1.7595719089208623,0.07848041793146954,2003,0.04165892284825309,2.62650262825878,491,0.16052812758709678,True,0.015202995485953361,0.010770713736279455,0.009195982457919525,0.0080044200908419,2003.0,0.01443890135522455,0.005064956064921122,0.0003738986977803619,0.006461674451807689,491.0,True,0.009323705428346962,2.0,True
rel_mom_spy_120,PRICE_TREND_RISK,10,0.9762337753269535,0.9881356571601027,1,0.018414953343661524,1.779862907001717,0.07509839946497543,2003,0.03479851538409293,1.817007569503794,491,0.15740265560571987,True,0.011888009216237847,0.007450883558001933,0.005880109598858937,0.00467763657809185,2013.0,0.00810269725194911,-0.0012681061270722446,-0.0059586664268895745,0.00013220643326952602,499.0,True,0.0060028765783175725,12.0,True
rel_mom_qqq_120,PRICE_TREND_RISK,10,0.9762337753269535,0.9881356571601027,1,0.018414953343661524,1.779862907001717,0.07509839946497543,2003,0.03479851538409293,1.817007569503794,491,0.15740265560571987,True,0.011888009216237847,0.007450883558001933,0.005880109598858937,0.00467763657809185,2013.0,0.00810269725194911,-0.0012681061270722446,-0.0059586664268895745,0.00013220643326952602,499.0,True,0.0060028765783175725,13.0,True
rel_mom_spy_252,PRICE_TREND_RISK,10,0.9517749446956034,0.9787705598309944,1,0.03544525268257538,3.1034585398969456,0.0019127303270365381,2003,0.05727938402008647,2.656525692106732,491,0.010126219378428732,True,0.013687506415226714,0.009181043542128358,0.007613520470345694,0.006382733085190656,2013.0,0.010796229657207413,0.001390942926508204,-0.0033503657101351557,0.0027985919485418414,499.0,True,0.007725765699221569,5.0,True
rel_mom_qqq_252,PRICE_TREND_RISK,10,0.9517749446956034,0.9787705598309944,1,0.03544525268257538,3.1034585398969456,0.0019127303270365381,2003,0.05727938402008647,2.656525692106732,491,0.010126219378428732,True,0.013687506415226714,0.009181043542128358,0.007613520470345694,0.006382733085190656,2013.0,0.010796229657207413,0.001390942926508204,-0.0033503657101351557,0.0027985919485418414,499.0,True,0.007725765699221569,6.0,True
corr_qqq_60,PRICE_TREND_RISK,10,0.9886003871780848,0.9952750113173382,1,0.0426001511969717,3.682611249965238,0.00023085706826497798,2003,0.06960237369604698,2.528178490819988,491,0.00230857068264978,True,0.0074695460963686644,0.0029874291172592208,0.0014068140479615765,0.00020961203132502864,2013.0,0.01274310774429794,0.003351061725385543,-0.0013252044015942639,0.004761316356054825,499.0,True,0.0015346183988486086,32.0,True
corr_spy_120,PRICE_TREND_RISK,10,0.9798557638630002,0.9903708314471104,1,0.04626845132500869,4.773105571864464,1.8140663582411065e-06,2003,0.07590246382047315,3.381097993632907,491,7.778004267322558e-05,True,0.005668406981252104,0.0012240528826393269,-0.00034770839693208617,-0.0015485596031856702,2013.0,0.010325860182212031,0.0009437159535152846,-0.0037368215334350136,0.0023464502399377827,499.0,True,-0.00022407170582614314,39.0,True
corr_qqq_120,PRICE_TREND_RISK,10,0.9798557638630002,0.9903708314471104,1,0.04801895709963914,3.972775735276817,7.103992731471998e-05,2003,0.0745162754496158,2.678581736520046,491,0.0009133704940463996,True,0.008088400091055086,0.003644045992442309,0.0020722847128708966,0.0008714335066173121,2013.0,0.013832658205039535,0.004453112807670499,-0.00022742467927979978,0.005853248262765287,499.0,True,0.0021959214039768394,25.0,True
mom_120d_x_breadth,PRICE_TREND_RISK,10,0.9762337753269535,0.9881356571601027,1,0.018414953343661524,1.779862907001717,0.07509839946497543,2003,0.03479851538409293,1.817007569503794,491,0.15740265560571987,True,0.011888009216237847,0.007450883558001933,0.005880109598858937,0.00467763657809185,2013.0,0.00810269725194911,-0.0012681061270722446,-0.0059586664268895745,0.00013220643326952602,499.0,True,0.0060028765783175725,14.0,True
size_log_market_cap,SIZE_SINGLE_FACTOR,10,0.5733509449529652,0.7585823147728987,-1,-0.04263283488538491,-4.568547393477085,4.911160269349679e-06,2003,0.029653003735873148,2.026124454070401,491,0.00010400429960055746,True,0.012888389465563492,0.008432423925228022,0.0070453199191889155,0.005611707983043441,2003.0,0.01582847085646278,0.006449633696917996,0.0017694804278233895,0.007860769352985646,491.0,True,0.007029817275820127,8.0,True
cash_assets,QUALITY_BALANCE_SHEET,10,0.5638701912614322,0.7437471706654595,1,0.03650240108726462,3.4452198351517307,0.0005705951288950128,2003,0.034885177120889066,1.8297263181719645,491,0.004668505600050105,True,0.010275614605747031,0.005789094521893563,0.004336602120190448,0.002990517354507845,2003.0,0.014545850380253342,0.005167013220708562,0.0004868599516139563,0.006578148876776213,491.0,True,0.004372071332197285,18.0,True
current_ratio,QUALITY_BALANCE_SHEET,10,0.513870096643132,0.6740417987022785,1,0.021234578712952694,2.1425774683323846,0.03214704200226559,2003,0.0011071533675523556,0.05020638632469938,491,0.0826638222915401,True,0.009861546866009485,0.0054105901230230005,0.00401167606718186,0.0026010539252634356,2003.0,0.018147030464243492,0.00876819330469871,0.004088040035604106,0.010179328960766364,491.0,True,0.004007773371822765,19.0,True
cash_yield,VALUATION,10,0.5407757565206202,0.6961483325788441,1,0.019034535825128658,1.9766152310308516,0.04808513918461088,2003,0.022157143949176724,1.3696664050978067,491,0.1138858559635521,True,0.010590478999252974,0.006189908974522073,0.0047862313242251105,0.0034170398432841744,2003.0,0.011082453297874316,0.0017036161383295362,-0.00297653713076507,0.0031147517943971867,491.0,True,0.004797726714010453,16.0,True
