program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker,issuer
DANONE,20:1,20,1,8053,BSN,BSN,BANCO_COMAFI
DEERE & CO,40:1,40,1,8095,DE,DE,BANCO_COMAFI
DELTA AIR LINES INC.,8:1,8,1,8633,DAL,DAL,BANCO_COMAFI
DESPEGAR.COM CORP,1:1,1,1,8497,DESP,DESP,BANCO_COMAFI
DEUTSCHE TELEKOM AG-SPON ADR,3:1,3,1,8189,DTEA,DTEA,BANCO_COMAFI
DIAGEO PLC-SPONSORED ADR,6:1,6,1,8248,DEO,DEO,BANCO_COMAFI
DOCUSIGN INC,22:1,22,1,8533,DOCU,DOCU,BANCO_COMAFI
DOW INC,6:1,6,1,8569,DOW,DOW,BANCO_COMAFI
DUPONT DE NEMOURS INC,5:1,5,1,8018,DD,DD,BANCO_COMAFI
E.ON SE,6:1,6,1,8216,EOAN,EOAN,BANCO_COMAFI
EBAY INC,2:1,2,1,8443,EBAY,EBAY,BANCO_COMAFI
ELECTRONIC ARTS INC,14:1,14,1,8566,EA,EA,BANCO_COMAFI
ELI LILLY & CO,56:1,56,1,8124,LLY,LLY,BANCO_COMAFI
EMBOTELLADORA ANDINA S.A.,1:1,1,1,8558,AKO.B,AKO.B,BANCO_COMAFI
EMBRAER SA-SPON ADR,1:1,1,1,8515,ERJ,ERJ,BANCO_COMAFI
ENI SPA-SPONSORED ADR,4:1,4,1,8265,E,E,BANCO_COMAFI
EQUIFAX INC,16:1,16,1,8544,EFX,EFX,BANCO_COMAFI
EQUINOR ASA,6:1,6,1,8655,EQNR,EQNR,BANCO_COMAFI
ERICSSON (LM) TEL-SP ADR,2:1,2,1,8056,ERIC,ERIC,BANCO_COMAFI
ETSY INC,16:1,16,1,8534,ETSY,ETSY,BANCO_COMAFI
EXXON MOBIL CORP,10:1,10,1,8019,XOM,XOM,BANCO_COMAFI
FANNIE MAE,1:1,1,1,8102,FNMA,FNMA,BANCO_COMAFI
FEDEX CORP,10:1,10,1,8101,FDX,FDX,BANCO_COMAFI
FERRARI NV,83:1,83,1,8644,RACE,RACE,BANCO_COMAFI
FIRST SOLAR INC,18:1,18,1,8439,FSLR,FSLR,BANCO_COMAFI
FOMENTO ECONOMICO MEX-SP ADR,6:1,6,1,8191,FMX,FMX,BANCO_COMAFI
FREDDIE MAC,1:1,1,1,8238,FMCC,FMCC,BANCO_COMAFI
