horizon_sessions,fold,expert,economic_score,worst_cut_robust_excess,positive_cut_share,winner_lift,mean_rank_ic
5,WF_2023_2024,BASE_OOF,0.0018307897869271484,-0.001180271483208827,0.6666666666666666,2.2696285226434627,-0.02734524724148747
5,WF_2023_2024,RIDGE_NEWINFO,0.00139143561131721,6.733805428344793e-06,1.0,1.3381110537262908,0.04375633252324526
5,WF_2023_2024,HGB_NEWINFO_RANK,-0.000778710814569219,-0.001445630457150108,0.0,1.041935426512276,0.05470864490729674
5,WF_2023_2024,HGB_NEWINFO_RETURN,-3.1508580011234974e-05,-0.0013932122408543716,0.3333333333333333,1.3478343589341002,0.03465520407208671
5,WF_2023_2024,HGB_NEWINFO_WINNER,-0.00012364040892365696,-0.0006695405703409434,0.3333333333333333,1.9240735849480246,-0.011894521967811246
5,WF_2023_2024,HGB_NEWINFO_AVOID,-0.0029171340260544035,-0.0038035123049889874,0.0,0.26513104654949116,0.02516859796229626
5,WF_2023_2024,META_BLEND,4.781829546051462e-05,-9.747297073531124e-06,0.6666666666666666,1.650396279695658,0.004821980626019319
10,WF_2019_2020,BASE_OOF,0.009120873729534967,0.003297602654037245,1.0,1.5727656200169793,0.061534302569043166
10,WF_2019_2020,RIDGE_NEWINFO,0.005841858754251719,0.003803791051215828,1.0,1.3034366231207202,0.07699861455655856
10,WF_2019_2020,HGB_NEWINFO_RANK,0.003601376206668737,0.001899488753001484,1.0,1.0915025192328396,0.07597658516569752
10,WF_2019_2020,HGB_NEWINFO_RETURN,0.007909341210013117,0.006381186357866421,1.0,1.6992233455880996,0.05621898819035215
10,WF_2019_2020,HGB_NEWINFO_WINNER,0.007888771609980414,0.0037938837760144737,1.0,1.983636197654155,0.023949857222720267
10,WF_2019_2020,HGB_NEWINFO_AVOID,-0.008142377305401223,-0.010248348582560976,0.0,0.23540948407557008,0.021988996260713205
10,WF_2019_2020,META_BLEND,0.007778399523202187,0.0035538671223049496,1.0,1.4225099785064699,0.07591939472543242
10,WF_2021_2022,BASE_OOF,-0.006500073070314229,-0.008756721078527678,0.0,1.6039743843340697,0.010594511373888022
10,WF_2021_2022,RIDGE_NEWINFO,-0.0031617162068483195,-0.0052920914435252795,0.0,1.2572939577369422,0.033711020510618674
10,WF_2021_2022,HGB_NEWINFO_RANK,-0.0009678465084027427,-0.0012683878972152335,0.0,1.2188650394273746,0.03085407060631285
10,WF_2021_2022,HGB_NEWINFO_RETURN,-0.0037433305421072905,-0.005647296374942517,0.0,1.6046870193383687,0.03016604430751496
10,WF_2021_2022,HGB_NEWINFO_WINNER,0.0017607367108780504,0.0004844525760704129,1.0,1.7535282506909247,-0.007508653889294871
10,WF_2021_2022,HGB_NEWINFO_AVOID,-0.002461599219394364,-0.003863218951603787,0.0,0.37092260281408795,0.048543447411888645
10,WF_2021_2022,META_BLEND,-0.0031919486331404303,-0.0041341802013413155,0.0,1.4193637436512059,0.025170989247260255
10,WF_2023_2024,BASE_OOF,-0.001388377566682019,-0.0027101363529784877,0.3333333333333333,1.298574899757636,0.05599044836408854
10,WF_2023_2024,RIDGE_NEWINFO,0.0005680910533014563,-0.0023486333253238483,0.6666666666666666,1.2249318361734631,0.0654787867502693
10,WF_2023_2024,HGB_NEWINFO_RANK,-0.000627173491358819,-0.0024850837007003267,0.3333333333333333,1.058793720563426,0.07876602886591993
10,WF_2023_2024,HGB_NEWINFO_RETURN,0.0004496946134744787,-0.0011625578761887726,0.6666666666666666,1.576066988624947,0.06030129068778849
10,WF_2023_2024,HGB_NEWINFO_WINNER,-0.0005493018097304413,-0.003709345671763677,0.6666666666666666,1.740889659695704,0.002039628976257027
10,WF_2023_2024,HGB_NEWINFO_AVOID,-0.0064046939640993545,-0.007173759244862339,0.0,0.27210729205319595,0.03573132937218088
10,WF_2023_2024,META_BLEND,0.0009108589725707097,-0.0006740360158712065,0.6666666666666666,1.6236633136375522,0.01556998422906099
20,WF_2019_2020,BASE_OOF,0.022184849775264026,0.009794080847681541,1.0,1.712109183599701,0.09649045848879675
20,WF_2019_2020,RIDGE_NEWINFO,0.011903134406293753,0.006872058871924417,1.0,1.4485420728399803,0.10568683499184262
20,WF_2019_2020,HGB_NEWINFO_RANK,0.008498614520631314,0.0031070889968625626,1.0,1.2518687099396286,0.08554002940810872
20,WF_2019_2020,HGB_NEWINFO_RETURN,0.01825277599762345,0.01178114262624224,1.0,1.9118394816281574,0.06661419710938409
20,WF_2019_2020,HGB_NEWINFO_WINNER,0.014835830575284625,0.008166283802451352,1.0,2.2873967206888706,0.040880420710861023
20,WF_2019_2020,HGB_NEWINFO_AVOID,-0.016596772869438763,-0.019725292075766915,0.0,0.2676467938600436,0.00969290216879659
20,WF_2019_2020,META_BLEND,0.016737829913180232,0.009640226920286578,1.0,1.6315338104950898,0.11026050175545003
20,WF_2021_2022,BASE_OOF,-0.012315471931092982,-0.01660668422550455,0.0,1.5527965145248346,0.016799221175271252
20,WF_2021_2022,RIDGE_NEWINFO,-0.007937567104051536,-0.011657600835269536,0.0,1.1189134119507211,0.02736136392323467
