alpha_tilt,edge_z,edge_power,qualified,positive_absolute_folds,cagr_20bps,excess_vs_spy_20bps,excess_vs_qqq_20bps,excess_vs_uew_20bps,cagr_40bps,excess_vs_spy_40bps,max_drawdown_20bps,annual_turnover_20bps,median_holdings_20bps,max_holdings_20bps,median_max_name_weight_20bps,p95_max_name_weight_20bps,execution_blocked_rate_20bps,target_deviation_rate_20bps,return_first_rank
0.0,1.0,1.5,False,0,0.0,-0.1711653713660084,-0.22929847464373498,-0.40488066509133414,0.0,-0.1711653713660084,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11
0.0,1.0,2.0,False,0,0.0,-0.1711653713660084,-0.22929847464373498,-0.40488066509133414,0.0,-0.1711653713660084,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12
0.5,1.0,1.0,False,0,0.0,-0.1711653713660084,-0.22929847464373498,-0.40488066509133414,0.0,-0.1711653713660084,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13
0.5,1.0,1.5,False,0,0.0,-0.1711653713660084,-0.22929847464373498,-0.40488066509133414,0.0,-0.1711653713660084,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14
0.5,1.0,2.0,False,0,0.0,-0.1711653713660084,-0.22929847464373498,-0.40488066509133414,0.0,-0.1711653713660084,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15
1.0,1.0,1.0,False,0,0.0,-0.1711653713660084,-0.22929847464373498,-0.40488066509133414,0.0,-0.1711653713660084,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16
1.0,1.0,1.5,False,0,0.0,-0.1711653713660084,-0.22929847464373498,-0.40488066509133414,0.0,-0.1711653713660084,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17
1.0,1.0,2.0,False,0,0.0,-0.1711653713660084,-0.22929847464373498,-0.40488066509133414,0.0,-0.1711653713660084,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18
0.0,0.5,1.0,False,0,-0.015806353809656448,-0.18697172517566485,-0.24510482845339143,-0.4206870189009906,-0.03325489440478735,-0.20442026577079575,-0.36958837034534353,16.521854304635763,0.0,1,0.0,1.0,0.0,0.0,19
0.0,0.5,1.5,False,0,-0.015806353809656448,-0.18697172517566485,-0.24510482845339143,-0.4206870189009906,-0.03325489440478735,-0.20442026577079575,-0.36958837034534353,16.521854304635763,0.0,1,0.0,1.0,0.0,0.0,20
0.0,0.5,2.0,False,0,-0.015806353809656448,-0.18697172517566485,-0.24510482845339143,-0.4206870189009906,-0.03325489440478735,-0.20442026577079575,-0.36958837034534353,16.521854304635763,0.0,1,0.0,1.0,0.0,0.0,21
1.0,0.5,1.0,False,0,-0.06305704957529945,-0.23422242094130785,-0.29235552421903443,-0.4679377146666336,-0.0940160619310304,-0.2651814332970388,-0.446777361472548,16.951420142571223,0.0,10,0.0,0.5457612416302503,0.0,4.482168781545771e-17,22
1.0,0.5,1.5,False,0,-0.07696887770226368,-0.24813424906827208,-0.30626735234599867,-0.4818495427935978,-0.11016240355363627,-0.28132777491964467,-0.49519032987920863,18.457803688176124,0.0,10,0.0,0.7043290365036868,0.0,4.0378527710482094e-17,23
1.0,0.5,2.0,False,0,-0.08768334538738376,-0.25884871675339216,-0.31698182003111874,-0.4925640104787179,-0.12273396320895791,-0.2938993345749663,-0.5348887453036837,19.728077814093368,0.0,10,0.0,0.8266977313145395,0.0,4.1909989317089266e-17,24
0.5,0.5,2.0,False,0,-0.10649002522719786,-0.27765539659320626,-0.33578849987093284,-0.511370690318532,-0.14519321800708485,-0.31635858937309325,-0.6294569829541067,22.50790100299409,0.0,5,0.0,1.0,0.0,1.2958617298385258e-17,25
