lifecycle_id,sample,ticker,entry_signal_date,entry_execution_date,exit_date,exit_reason,status,entry_weight,entry_notional_nav_units,held_sessions,exposure_nav_days,gross_pnl_nav_units,benchmark_pnl_nav_units,gross_active_pnl_nav_units,allocated_cost_nav_units,entry_trade_nav_units,resize_trade_nav_units,exit_trade_nav_units,terminal_exit_weight,ret_20d,ret_60d,ret_120d,ret_252d,dd_60d,dd_252d,range_position_252d,reversal_signature_score,reversal_signature_pctile,ret_60d_pctile,expected_active_total,effective_horizon_sessions,model_target_weight,entry_anatomy_class,net_pnl_nav_units,net_active_pnl_nav_units,net_daily_return_on_exposure,net_daily_active_on_exposure
PRE2025_OOF_002373,PRE2025_OOF,LRCX,2023-01-03,2023-01-04,2024-10-30,POLICY_EXIT,CLOSED,0.019528143426653818,0.050141502027171096,458,74.21936573247508,0.10028514299725351,0.07561652339207663,0.024668619605176977,0.002796379715995174,0.050190211854783055,2.5369766999336347,0.2092128042067583,0.0,-0.0913867210609091,0.0458877098217966,0.0132157732055806,-0.4156933593663094,-0.1696717152895682,-0.424235967038485,0.2477173086852916,0.667440885083395,0.7227272727272728,0.4654377880184331,0.0165722520893978,35.725124337691014,0.0195281434266538,MIXED_OTHER,0.09748876328125834,0.021872239889181803,0.0013135219133057292,0.00029469720838117436
PRE2025_OOF_002374,PRE2025_OOF,COF,2023-01-04,2023-01-05,2023-02-14,POLICY_EXIT,CLOSED,0.004638929617714889,0.012035613737050048,27,0.3937948890802223,0.002542630383126952,0.0014070277385189636,0.0011356026446079884,4.8080455587900326e-05,0.012036177470414548,0.021007487707886633,0.015036790409599142,0.0,0.0082086271484576,0.0266306998542729,-0.0631818714856723,-0.3407141449575908,-0.1759140755038954,-0.3939490025877048,0.1129586578240133,0.624185250969387,0.6863636363636364,0.336405529953917,0.0020312281624324,30.556988662976188,0.0046389296177148,MIXED_OTHER,0.002494549927539052,0.001087522189020088,0.006334642720644534,0.002761646276212951
PRE2025_OOF_002375,PRE2025_OOF,CRWD,2023-01-04,2023-01-05,2023-01-06,POLICY_EXIT,CLOSED,0.003108500966332407,0.008064946014518962,1,0.008064946014518962,-1.4448583243015712e-05,0.00018680481653814154,-0.00020125339978115724,1.6115821197960327e-05,0.008065323766684378,0.0,0.008050497431275947,0.0,-0.1180174406421766,-0.3928031481327603,-0.3958610832777451,-0.4737810875801244,-0.3928031481327603,-0.5648920303585396,0.031486767199799,0.9144961387117816,0.95,0.0506912442396313,0.0030421978827416,40.25855452752451,0.0031085009663324,DEEP_REVERSAL_BROKEN_1Y,-3.056440444097604e-05,-0.00021736922097911757,-0.0037897841332046496,-0.026952346684999188
PRE2025_OOF_002376,PRE2025_OOF,MA,2023-01-05,2023-01-06,2023-02-01,POLICY_EXIT,CLOSED,0.017252118593964146,0.0458725770269206,17,0.6928688003618128,0.0006492965066804284,0.0035808819232558695,-0.002931585416575441,9.237019414583078e-05,0.04587698498904588,0.011421024989520741,0.03507218416726415,0.0,0.0122003067499538,0.2056003377625626,0.0594386971930347,-0.0574309256723863,-0.0250276622714126,-0.1093451646355981,0.612942306573394,0.3114702593767994,0.2636363636363636,0.7419354838709677,0.0039263592856616,37.101379318857695,0.0172521185939641,MIXED_OTHER,0.0005569263125345976,-0.0030239556107212718,0.000803797648622327,-0.004364398583313575
PRE2025_OOF_002377,PRE2025_OOF,GLOB,2023-01-06,2023-01-09,2024-12-24,POLICY_EXIT,CLOSED,0.005711039966025398,0.015369489203355874,493,46.58400920601339,0.03167127232305356,0.06027009583641176,-0.02859882351335821,0.0012712755753404093,0.015370707486345963,1.1069839246229796,0.1489209432310849,0.0,-0.066457006813797,-0.0579522783926345,-0.1363293609339977,-0.3885243332633225,-0.1700927109873391,-0.4186223752768765,0.0024202504398656,0.8754308440123729,0.9090909090909092,0.1612903225806451,0.003609573742801,29.46934330155127,0.0057110399660253,DEEP_REVERSAL_BROKEN_1Y,0.030399996747713154,-0.02987009908869862,0.0006525843796155894,-0.0006412092818503646
PRE2025_OOF_002378,PRE2025_OOF,NVDA,2023-01-06,2023-01-09,2023-01-23,POLICY_EXIT,CLOSED,0.0022557355849746152,0.006070611294114487,9,0.1368945785163571,0.003220098287996625,0.0005228416914904879,0.002697256596506137,4.656062840557626e-05,0.006071092489187479,0.020253273921049524,0.020236261995339257,0.0,-0.0782259599226484,0.2828244577813916,-0.0766274746904396,-0.4612050911458839,-0.1777888037508687,-0.4810734427028007,0.2087809323690168,0.6595635032223631,0.759090909090909,0.8202764976958525,0.0020217072169349,38.94685749608802,0.0022557355849746,DEEP_REVERSAL_BROKEN_1Y,0.0031735376595910486,0.0026506959681005604,0.023182347277630518,0.01936304561384684
PRE2025_OOF_002379,PRE2025_OOF,UBER,2023-01-06,2023-01-09,2023-01-11,POLICY_EXIT,CLOSED,0.00716967400386143,0.019294949404918854,2,0.035396703396131296,0.0006287006686126017,0.00039755747899050697,0.0002311431896220948,3.9219709348621866e-05,0.01929647884472935,0.0036434617132851304,0.016279768790607385,0.0,0.0,0.0705596018606935,0.1691762492352233,-0.389454241587662,-0.1637630702017887,-0.3947730338151669,0.2564767086870836,0.6629916997128663,0.7681818181818182,0.3732718894009216,0.0041665844522215,33.49211029382237,0.0071696740038614,DEEP_REVERSAL_BROKEN_1Y,0.0005894809592639799,0.00019192348027347294,0.016653555351383586,0.005422072166597563
PRE2025_OOF_002380,PRE2025_OOF,PBR,2023-01-06,2023-01-09,2023-06-30,POLICY_EXIT,CLOSED,0.003702601054405179,0.009964400051225522,119,5.072589521722775,0.024015996051017723,0.007534431793094816,0.016481564257922916,0.0002299077777529212,0.009965189892639783,0.1935906213208022,0.02635196653947933,0.0,-0.0722021665980318,-0.1715301804183959,0.2207323780362355,0.5530443555712201,-0.2773472046996422,-0.2773472046996422,0.4812898740785177,0.7245090893787314,0.8227272727272728,0.1013824884792626,0.0022219497368061,27.77325558564152,0.0037026010544051,REVERSAL_POSITIVE_1Y,0.0237860882732648,0.016251656480169994,0.004689141151950822,0.0032038185645761725
PRE2025_OOF_002381,PRE2025_OOF,ORLY,2023-01-11,2023-01-12,2023-04-24,POLICY_EXIT,CLOSED,0.01803905588732477,0.05043479729512493,69,8.277519761861573,0.01572531575770585,0.0029173872171268478,0.012807928540579005,0.000398936814210629,0.050437587800591335,0.27384383494118336,0.0746553914688545,0.0,-0.010607062198677,0.1278709322937734,0.2035984165885773,0.222818035582331,-0.0451569971987431,-0.0451569971987431,0.8662875356733678,0.3997098514363187,0.3727272727272727,0.4587155963302752,0.002070582280936,38.4676734308396,0.018298659426235,POSITIVE_MOMENTUM,0.015326378943495221,0.012408991726368376,0.0018515665784467298,0.0014991195531229582
PRE2025_OOF_002382,PRE2025_OOF,BA,2023-01-17,2023-01-18,2023-01-25,POLICY_EXIT,CLOSED,0.007822004412129383,0.02189357255788627,5,0.10841476538478861,0.0003360649957721757,0.0006430219961747092,-0.0003069570004025335,4.412028178548265e-05,0.021894051559811067,0.00021246199344015493,0.022013768232231414,0.0,0.1507184969378603,0.5276393134945185,0.3558876740944963,-0.0557837899725424,-0.0135778441706899,-0.0643919393673166,0.8678473910521135,0.1684572569987927,0.059090909090909,0.9587155963302753,0.0026651820319136,31.097169408174885,0.0078220044121293,MIXED_OTHER,0.00029194471398669305,-0.0003510772821880161,0.0026928501200967872,-0.0032382792227789556
