window_end,window_months,strategy_cagr,benchmark_cagr,cagr_spread,strategy_vol,benchmark_vol,strategy_mdd,benchmark_mdd,profile
2023-03,36,0.37656126900681697,0.18469726391871744,0.19186400508809953,0.2687141244084573,0.19215962489202917,-0.18734415710898544,-0.2392718238921986,AGGRESSIVE
2023-04,36,0.2851798633594409,0.1444474631768362,0.1407324001826047,0.2556027419131465,0.18045201712248662,-0.18734415710898544,-0.23927182389219848,AGGRESSIVE
2023-05,36,0.28837573049963416,0.1285596778856437,0.15981605261399046,0.25588325778603405,0.17929556006177363,-0.18734415710898544,-0.23927182389219848,AGGRESSIVE
2023-06,36,0.30298187989320247,0.1456949384902717,0.15728694140293076,0.2586390822441053,0.1819028472308781,-0.18734415710898544,-0.2392718238921987,AGGRESSIVE
2023-07,36,0.2861931503442099,0.13618181731734835,0.15001133302686154,0.255758666623201,0.1802467702502358,-0.18734415710898544,-0.2392718238921987,AGGRESSIVE
2023-08,36,0.2546382873389703,0.10486364243124391,0.1497746449077264,0.2548191437283807,0.17761624837685946,-0.18734415710898544,-0.2392718238921986,AGGRESSIVE
2023-09,36,0.27880427061337754,0.10102772036974472,0.1777765502436328,0.25083631069928547,0.1786148162836864,-0.18734415710898544,-0.2392718238921988,AGGRESSIVE
2023-10,36,0.2835118440455515,0.10224025345391996,0.18127159059163156,0.2500007285946857,0.17841220009817652,-0.18734415710898555,-0.2392718238921986,AGGRESSIVE
2023-11,36,0.2603304732595606,0.09643286397446671,0.1638976092850939,0.24268801982659644,0.17534156680290647,-0.18734415710898544,-0.2392718238921986,AGGRESSIVE
2023-12,36,0.2539311019157302,0.09945780120122527,0.15447330071450494,0.24176025578132623,0.175884016053014,-0.18734415710898544,-0.2392718238921986,AGGRESSIVE
2024-01,36,0.279772234962695,0.10904411900672817,0.17072811595596682,0.2431715915354052,0.17554333745946482,-0.18734415710898533,-0.23927182389219848,AGGRESSIVE
