profile,month,return_1m,description
CONTROLLED,2022-10,0.1338038586693619,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-11,0.029759457231305506,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-12,-0.03787665365608557,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-01,0.055586582728862716,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-02,-0.010642497233542329,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-03,-0.005199541768530939,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-04,-0.02675071101130001,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-05,0.00497309830001134,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-06,0.06715707358473387,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-07,0.04169369291649997,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-08,0.0003801450905777902,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-09,-0.00720051300759662,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-10,-0.017861567601344802,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-11,0.06411387110375064,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2023-12,0.04538479829608147,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-01,0.051161544783024836,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-02,0.03008237827917896,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-03,0.033488407006821645,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-04,0.0059635361601338,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-05,0.01800745300417706,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-06,0.01562656263245851,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-07,-0.004533689545481509,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-08,0.03297732786126957,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-09,0.010233309233751809,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-10,-0.0009522336750243296,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-11,0.07307437864133394,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2024-12,-0.03125681338197069,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-01,0.05491653902276835,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-02,0.01189232388154868,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-03,-0.00911969658201647,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-04,0.016935957042143297,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-05,0.01471430196538367,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-06,0.03090625280100719,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-07,0.00172474601750735,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-08,0.05011879232014832,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-09,0.04168120614879257,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-10,-0.006701248254799499,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-11,0.015496765367331978,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2025-12,-0.004826705099736969,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2026-01,0.07106531491798716,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2026-02,0.046045370212402605,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2026-03,0.0085596495657184,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2026-04,0.02753716643738525,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2026-05,-0.020319911684503738,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2026-06,0.0633301309205314,70% final optimizer + 30% historical risk-free sleeve
CORE,2014-02,0.0547824025134386,100% final optimizer; default production research profile
CORE,2014-03,-0.0695283381831918,100% final optimizer; default production research profile
CORE,2014-04,-0.0013313781121581,100% final optimizer; default production research profile
CORE,2014-05,0.0593186444226514,100% final optimizer; default production research profile
CORE,2014-06,0.0458199074109379,100% final optimizer; default production research profile
CORE,2014-07,0.0002857337257545,100% final optimizer; default production research profile
CORE,2014-08,0.1100804939944612,100% final optimizer; default production research profile
CORE,2014-09,-0.0900764842224952,100% final optimizer; default production research profile
CORE,2014-10,0.0048580566086552,100% final optimizer; default production research profile
CORE,2014-11,0.0004979805883109,100% final optimizer; default production research profile
CORE,2014-12,-0.009968436860571,100% final optimizer; default production research profile
CORE,2015-01,0.0236858743917115,100% final optimizer; default production research profile
CORE,2015-02,0.0724352389496441,100% final optimizer; default production research profile
CORE,2015-03,-0.0227504210238967,100% final optimizer; default production research profile
CORE,2015-04,0.0719577489412305,100% final optimizer; default production research profile
