signal_date,price_date,ticker,target_weight,vehicle,byma_ticker,ratio,unit_usd,q_star,quantity,actual_weight,weight_error
2026-09-04,2026-09-04,DOW,0.013049523743659636,CEDEAR_BANCO_COMAFI,DOW,6:1,4.9066667556762695,0.852172891730676,1,0.015313234990563227,0.002263711246903591
2026-09-04,2026-09-04,ADBE,0.012545662747742083,CEDEAR_BANCO_COMAFI,ADBE,44:1,6.0570456764914775,0.6636702894999499,1,0.018903456951786645,0.0063577942040445624
2026-09-04,2026-09-04,LAR,0.011931256119311805,CEDEAR_BANCO_COMAFI,LAR,1:1,6.789999961853027,0.5630358037154639,1,0.021190936776271853,0.009259680656960048
2026-09-04,2026-09-04,OXY,0.011399921866925553,CEDEAR_CAJA_DE_VALORES,OXY,5:1,12.00800018310547,0.30419411299972354,0,0.0,-0.011399921866925553
2026-09-04,2026-09-04,SHOP,0.010605346998634154,CEDEAR_BANCO_COMAFI,SHOP,107:1,1.3559812741858936,2.5060562044579506,3,0.012695661389918485,0.0020903143912843307
2026-09-04,2026-09-04,SID,0.008383677506257004,CEDEAR_BANCO_COMAFI,SID,1:8,9.760000228881836,0.27523543888918817,0,0.0,-0.008383677506257004
2026-09-04,2026-09-04,CRM,0.008140225925136918,CEDEAR_BANCO_COMAFI,CRM,18:1,14.401667277018229,0.1811103631795888,0,0.0,-0.008140225925136918
2026-09-04,2026-09-04,PLTR,0.007492693901812098,CEDEAR_BANCO_COMAFI,PLTR,3:1,58.11000061035156,0.041314901992807046,0,0.0,-0.007492693901812098
2026-09-04,2026-09-04,GOOGL,0.007313596691945759,CEDEAR_BANCO_COMAFI,GOOGL,58:1,5.835517094053071,0.40157926268803557,0,0.0,-0.007313596691945759
2026-09-04,2026-09-04,AMD,0.0071955018127754285,CEDEAR_BANCO_COMAFI,AMD,10:1,47.75700073242188,0.048277376206422015,0,0.0,-0.0071955018127754285
2026-09-04,2026-09-04,ACN,0.006511381411007664,CEDEAR_BANCO_COMAFI,ACN,75:1,2.4896000162760417,0.8380369609877697,1,0.007769802185494169,0.001258420774486505
2026-09-04,2026-09-04,ARM,0.006400651529047439,CEDEAR_BANCO_COMAFI,ARM,27:1,9.336666531032986,0.21966049190261425,0,0.0,-0.006400651529047439
2026-09-04,2026-09-04,TXN,0.006305207800085654,CEDEAR_BANCO_COMAFI,TXN,5:1,51.688000488281254,0.03908672543372021,0,0.0,-0.006305207800085654
2026-09-04,2026-09-04,COIN,0.006086540026390773,CEDEAR_BANCO_COMAFI,COIN,27:1,6.838518495912905,0.2851859151103727,0,0.0,-0.006086540026390773
2026-09-04,2026-09-04,CSCO,0.00601473882289693,CEDEAR_BANCO_COMAFI,CSCO,5:1,21.83999938964844,0.08824371188151656,0,0.0,-0.00601473882289693
2026-09-04,2026-09-04,GS,0.006004256884367928,CEDEAR_BANCO_COMAFI,GS,13:1,79.89307579627405,0.024080735053874286,0,0.0,-0.006004256884367928
2026-09-04,2026-09-04,BMY,0.005690382607471247,CEDEAR_BANCO_COMAFI,BMY,3:1,22.27333323160807,0.08186077836336035,0,0.0,-0.005690382607471247
2026-09-04,2026-09-04,UBER,0.0054391213570863925,CEDEAR_CAJA_DE_VALORES,UBER,2:1,37.880001068115234,0.046008532631869256,0,0.0,-0.0054391213570863925
2026-09-04,2026-09-04,ORCL,0.005117037796213084,CEDEAR_BANCO_COMAFI,ORCL,3:1,52.926666259765625,0.030978736552485384,0,0.0,-0.005117037796213084
2026-09-04,2026-09-04,KEEL,0.004309988215818366,CEDEAR_CAJA_DE_VALORES,KEEL,1:5,17.350000143051147,0.0795969113963165,0,0.0,-0.004309988215818366
2026-09-04,2026-09-04,BABA,0.0028589090770663435,CEDEAR_BANCO_COMAFI,BABA,9:1,12.582221984863281,0.07280523643404402,0,0.0,-0.0028589090770663435
2026-09-04,2026-09-04,IBM,0.0028154088261061003,CEDEAR_BANCO_COMAFI,IBM,15:1,15.659333292643229,0.05760866565658517,0,0.0,-0.0028154088261061003
2026-09-04,2026-09-04,INTC,0.0026923457706257837,CEDEAR_BANCO_COMAFI,INTC,5:1,19.160000610351563,0.04502512548761785,0,0.0,-0.0026923457706257837
2026-09-04,2026-09-04,MRVL,0.0023722794930837545,CEDEAR_BANCO_COMAFI,MRVL,14:1,15.967857360839844,0.04760349356815129,0,0.0,-0.0023722794930837545
2026-09-04,2026-09-04,LRCX,0.0013227985516386202,CEDEAR_BANCO_COMAFI,LRCX,56:1,5.493749891008649,0.07715151223206267,0,0.0,-0.0013227985516386202
