period_start,period_end,alpha_engine_wealth,alpha_engine_drawdown,spy_wealth,spy_drawdown
2015-10-30,2015-11-30,1.319564240962608,-0.023674234896614466,1.158804060671272,-0.003444458722574373
2015-11-30,2015-12-31,1.2701492387350612,-0.06023565294641009,1.1387771096353534,-0.020667360943140478
2015-12-31,2016-01-29,1.1690633623571387,-0.1350275748037546,1.0820808569495257,-0.06942535783089454
2016-01-29,2016-02-29,1.1871537600700395,-0.12164276121166451,1.0811874429484332,-0.07019368157401973
2016-02-29,2016-03-31,1.2986225020554725,-0.039168713017808,1.1539146991321936,-0.007649242344280549
2016-03-31,2016-04-29,1.3731087935404163,0.0,1.1584623452334883,-0.003738329295366438
2016-04-29,2016-05-31,1.3048995796036424,-0.04967502521115141,1.1781699237640937,0.0
2016-05-31,2016-06-30,1.3345441755285465,-0.02808562452829022,1.1822651507576722,0.0
2016-06-30,2016-07-29,1.4255531740027574,0.0,1.2253833708529462,0.0
2016-07-29,2016-08-31,1.4270939915019802,0.0,1.2268509274490602,0.0
2016-08-31,2016-09-30,1.4566367657988617,0.0,1.2269224046131173,0.0
2016-09-30,2016-10-31,1.5828646119726746,0.0,1.2056507197103379,-0.0173374329320255
2016-10-31,2016-11-30,1.6142764078907927,0.0,1.2500653353851081,0.0
2016-11-30,2016-12-30,1.6095124783924526,-0.0029511237821809866,1.2754063658755275,0.0
2016-12-30,2017-01-31,1.6680209564097468,0.0,1.2982292164475115,0.0
2017-01-31,2017-02-28,1.705495925409959,0.0,1.3492387378730188,0.0
2017-02-28,2017-03-31,1.721255239481902,0.0,1.3509251743279498,0.0
2017-03-31,2017-04-28,1.76007759375019,0.0,1.3643347755814186,0.0
2017-04-28,2017-05-31,1.8542834297510595,0.0,1.3835894295080982,0.0
2017-05-31,2017-06-30,1.8032428674009144,-0.027525760911856545,1.3924099339710738,0.0
2017-06-30,2017-07-31,1.9927886670016188,0.0,1.4210292084808915,0.0
2017-07-31,2017-08-31,1.9927058013464198,-4.158276116839055e-05,1.4251755916908957,0.0
2017-08-31,2017-09-29,2.019023286162988,0.0,1.4538921236714673,0.0
2017-09-29,2017-10-31,2.1094982806140847,0.0,1.4881519270880352,0.0
2017-10-31,2017-11-30,2.1068610555298863,-0.001250166974978817,1.5336390035213876,0.0
2017-11-30,2017-12-29,2.1427223289773756,0.0,1.5522383321617614,0.0
2017-12-29,2018-01-31,2.536126576654156,0.0,1.6397211238070415,0.0
2018-01-31,2018-02-28,2.5592837402912627,0.0,1.5801003733493906,-0.0363602990728239
2018-02-28,2018-03-29,2.5133782888274516,-0.017936835506401017,1.5367888515035126,-0.0627742552127063
2018-03-29,2018-04-30,2.5496815340710226,-0.003751911548169118,1.5447314101494138,-0.05793040796906013
2018-04-30,2018-05-31,2.558721508797142,-0.00021968314230635944,1.5822821960898659,-0.03502969308818571
2018-05-31,2018-06-29,2.642008440552435,0.0,1.5913817344606171,-0.029480250418553955
2018-06-29,2018-07-31,2.6302244985999756,-0.004460221160381916,1.6503375552039774,0.0
2018-07-31,2018-08-31,2.774632999844245,0.0,1.703015517419349,0.0
2018-08-31,2018-09-28,2.8215473980348826,0.0,1.7131406065004187,0.0
2018-09-28,2018-10-31,2.65294195542566,-0.05975637436629655,1.5947550117674465,-0.06910442393564453
2018-10-31,2018-11-30,2.6716023209525805,-0.05314285245987149,1.6243374587553006,-0.051836461880688245
2018-11-30,2018-12-31,2.446764860775334,-0.13282872282087932,1.4813167084391885,-0.13532099886114834
2018-12-31,2019-01-31,2.581149283330295,-0.08520080678850794,1.5999192621453806,-0.06608993092886006
2019-01-31,2019-02-28,2.6913927173425196,-0.046128830152919464,1.6517821622721693,-0.035816350389120455
2019-02-28,2019-03-29,2.7781885703593456,-0.015367038563922408,1.681679634497933,-0.018364500778925374
