decision_id,asof,period_start,period_end,universe_rows,full_alpha_available,candidate_count,selected_count,gross_return_1m_reconstructed,turnover_reconstructed,transaction_cost_return_reconstructed,net_return_1m_reconstructed,net_return_1m_persisted,gross_return_1m_persisted,turnover_persisted,transaction_cost_return_persisted,replay_error,gross_replay_error,turnover_replay_error,cost_replay_error,weights_sum,month,spy_return_1m,alpha_engine_return_1m,active_return_1m,period_start_reuse_count,forward_interval_reused,alpha_engine_nav_start,alpha_engine_nav,spy_nav_start,spy_nav,active_nav
21,2015-09-30,2015-09-30,2015-10-30,165,26,8,8,0.05638281192286257,0.02877837205104191,2.8778372051041914e-06,0.05637993408565747,0.0562431767268884,0.0562457972912486,0.0262056436013153,2.6205643601315318e-06,0.0001367573587690643,0.00013701463161396726,0.00257272844972661,2.572728449726596e-07,1.0,2015-10,0.08505979500511307,0.0562431767268884,-0.028816618278224668,1,False,123.23402969791987,130.1651030089866,106.4073868767724,115.45837739154042,112.73768603864315
22,2015-10-30,2015-10-30,2015-11-30,165,26,8,8,0.013813737600449225,0.20636870946253894,2.0636870946253896e-05,0.013793100729502971,0.013761915028412,0.0137825207233646,0.2060569495264134,2.0605694952641346e-05,3.118570109097128e-05,3.1216877084624256e-05,0.000311759936125533,3.117599361254994e-08,1.0,2015-11,0.0036552451638534045,0.013761915028412,0.010106669864558595,1,False,130.1651030089866,131.95642409626078,115.45837739154042,115.88040606712721,113.87293898488848
23,2015-11-30,2015-11-30,2015-12-31,165,26,8,8,-0.0373998671266643,0.10783373016335086,1.0783373016335087e-05,-0.037410650499680634,-0.0374479700901103,-0.0374371721066949,0.1079798341532764,1.0797983415327648e-05,3.731959042966443e-05,3.730498003060023e-05,-0.00014610398992553897,-1.4610398992561318e-08,1.0,2015-12,-0.017282430840220964,-0.0374479700901103,-0.020165539249889335,1,False,131.95642409626078,127.01492387350609,115.88040606712721,113.87771096353536,111.53624602989902
24,2015-12-31,2015-12-31,2016-01-29,166,26,8,8,-0.0797071228380862,0.23759936600933415,2.3759936600933418e-05,-0.07973088277468714,-0.0795858260550498,-0.0795614883679092,0.2433768714062771,2.433768714062771e-05,-0.00014505671963734035,-0.00014563447017700015,-0.005777505396942939,-5.777505396942926e-07,1.0,2016-01,-0.04978696200170585,-0.0795858260550498,-0.02979886405334395,1,False,127.01492387350609,116.90633623571384,113.87771096353536,108.20808569495259,108.03844785248519
25,2016-01-29,2016-01-29,2016-02-29,166,26,8,8,0.015515097242503592,0.40859703746845394,4.0859703746845395e-05,0.015474237538756746,0.0154742662334622,0.0155150969837607,0.4083075029855019,4.083075029855019e-05,-2.8694705453760627e-08,2.5874289169558473e-10,0.0002895344829520474,2.895344829520344e-08,1.0,2016-02,-0.0008256444011135455,0.0154742662334622,0.016299910634575747,1,False,116.90633623571384,118.71537600700391,108.20808569495259,108.11874429484334,109.80092007289986
26,2016-02-29,2016-02-29,2016-03-31,166,26,8,8,0.09377232913069318,0.13192429343906786,1.3192429343906786e-05,0.09375913670134928,0.0938957915433437,0.0939089743251645,0.1318278182077387,1.3182781820773875e-05,-0.00013665484199441857,-0.00013664519447131873,9.64752313291628e-05,9.647523132910903e-09,1.0,2016-03,0.06726609401366224,0.0938957915433437,0.02662969752968146,1,False,118.71537600700391,129.8622502055472,108.11874429484334,115.39146991321938,112.54059793432793
27,2016-03-31,2016-03-31,2016-04-29,166,26,8,8,0.057352858694096565,0.2273446540704405,2.273446540704405e-05,0.05733012422868952,0.0573579245446973,0.0573806373612124,0.2271281651503346,2.2712816515033465e-05,-2.7800316007776937e-05,-2.7778667115833933e-05,0.00021648892010589504,2.1648892010584354e-08,1.0,2016-04,0.003941059165564642,0.0573579245446973,0.05341686537913266,1,False,129.8622502055472,137.3108793540416,115.39146991321938,115.84623452334885,118.52856497149808
28,2016-04-29,2016-04-29,2016-05-31,166,26,8,8,-0.049676674289963946,0.20424008391161436,2.0424008391161436e-05,-0.04969709829835511,-0.0496750252111514,-0.0496545990708483,0.2042614030302211,2.0426140303022117e-05,-2.2073087203706987e-05,-2.207521911564564e-05,-2.1319118606755172e-05,-2.1319118606809545e-09,1.0,2016-05,0.017011842129951438,-0.0496750252111514,-0.06668686734110284,1,False,137.3108793540416,130.4899579603642,115.84623452334885,117.8169923764094,110.75648370267879
29,2016-05-31,2016-05-31,2016-06-30,166,27,8,8,0.022748396771307577,0.30069503339701215,3.0069503339701217e-05,0.022718327267967877,0.0227179136144013,0.0227479500326565,0.3003641825516149,3.003641825516149e-05,4.136535665770491e-07,4.467386510789706e-07,0.00033085084539724585,3.3085084539726266e-08,1.0,2016-06,0.003475922200165238,0.0227179136144013,0.019241991414236062,1,False,130.4899579603642,133.4544175528546,117.8169923764094,118.22651507576727,112.88027687133322
30,2016-06-30,2016-06-30,2016-07-29,166,27,8,8,0.06821306714510533,0.19387741906683292,1.9387741906683294e-05,0.06819367940319865,0.068194818982419,0.0682142072920865,0.193883096674749,1.938830966747491e-05,-1.1395792203494626e-06,-1.1401469811739284e-06,-5.677607916088068e-06,-5.677607916145314e-10,1.0,2016-07,0.03647085433216146,0.068194818982419,0.031723964650257536,1,False,133.4544175528546,142.5553174002757,118.22651507576727,122.53833708529467,116.33527987330847
31,2016-07-29,2016-07-29,2016-08-31,166,27,8,8,0.001049688287214313,0.17188964930356265,1.7188964930356265e-05,0.0010324993222839568,0.0010808558581483,0.0010980452464803,0.1718938833200088,1.7189388332000888e-05,-4.835653586434318e-05,-4.835695926598679e-05,-4.234016446141853e-06,-4.234016446230974e-10,1.0,2016-08,0.0011976305791487896,0.0010808558581483,-0.00011677472100048961,1,False,142.5553174002757,142.70939915019798,122.53833708529467,122.68509274490606,116.321711103832
32,2016-08-31,2016-08-31,2016-09-30,166,27,8,8,0.020664756877473815,0.30004179035798206,3.0004179035798207e-05,0.02063475269843802,0.0207013514686503,0.0207312808216498,0.2992935299957551,2.992935299957551e-05,-6.659877021228042e-05,-6.652394417598628e-05,0.0007482603622269712,7.482603622269566e-08,1.0,2016-09,5.826067573311278e-05,0.0207013514686503,0.020643090792917186,1,False,142.70939915019798,145.66367657988613,122.68509274490606,122.69224046131175,118.72281085764172
