decision_id,asof,period_start,period_end,universe_rows,full_alpha_available,candidate_count,selected_count,gross_return_1m_reconstructed,turnover_reconstructed,transaction_cost_return_reconstructed,net_return_1m_reconstructed,net_return_1m_persisted,gross_return_1m_persisted,turnover_persisted,transaction_cost_return_persisted,replay_error,gross_replay_error,turnover_replay_error,cost_replay_error,weights_sum
63,2019-03-29,2019-03-29,2019-04-30,170,88,18,18,0.009954631447720488,0.20953842408882298,2.09538424088823e-05,0.009933677605311605,0.0099295701758354,0.0099505295175639,0.2095934172855192,2.0959341728551927e-05,4.107429476204322e-06,4.101930156588315e-06,-5.499319669621805e-05,-5.499319669626933e-09,1.0
64,2019-04-30,2019-04-30,2019-05-31,170,91,19,19,-0.11057859436065576,0.1142391395645591,1.142391395645591e-05,-0.11059001827461222,-0.1106042049907784,-0.1105927749085243,0.1143008225415566,1.143008225415567e-05,1.4186716166181279e-05,1.4180547868544724e-05,-6.168297699750414e-05,-6.168297699759036e-09,1.0
65,2019-05-31,2019-05-31,2019-06-28,171,92,19,19,0.09617873920415777,0.20402722223432465,2.0402722223432466e-05,0.09615833648193434,0.0961616415526122,0.0961820574433259,0.204158907137067,2.0415890713706707e-05,-3.3050706778614547e-06,-3.318239168131898e-06,-0.00013168490274234612,-1.3168490274241296e-08,1.0
66,2019-06-28,2019-06-28,2019-07-31,172,95,19,19,0.002946344219374038,0.162290062752601,1.62290062752601e-05,0.002930115213098778,0.0028704724176538,0.0028867045555893,0.1623213793548529,1.6232137935485296e-05,5.964279544497762e-05,5.96396637847379e-05,-3.131660225191846e-05,-3.131660225195662e-09,1.0
67,2019-07-31,2019-07-31,2019-08-30,173,97,20,20,-0.00013642002286728982,0.2844461156809335,2.8444611568093348e-05,-0.00016486463443538316,-0.0001041784129142,-7.577903620709289e-05,0.2839937670718119,2.839937670718119e-05,-6.068622152118316e-05,-6.064098666019693e-05,0.0004523486091215778,4.52348609121586e-08,1.0
68,2019-08-30,2019-08-30,2019-09-30,174,100,20,20,-0.007217795512818217,0.06622633444504986,6.622633444504986e-06,-0.007224418146262721,-0.0071578376882222,-0.0071511723483969,0.0666533982530644,6.665339825306442e-06,-6.658045804052142e-05,-6.662316442131687e-05,-0.00042706380801454946,-4.2706380801455257e-08,1.0
69,2019-09-30,2019-09-30,2019-10-31,175,102,21,21,-0.00048621882794640324,0.18727224647378965,1.8727224647378965e-05,-0.0005049460525937822,-0.0002498942070255,-0.0002311321706686,0.187620363568383,1.87620363568383e-05,-0.00025505184556828223,-0.0002550866572778032,-0.00034811709459334206,-3.4811709459335046e-08,0.9999999999999998
70,2019-10-31,2019-10-31,2019-11-29,175,104,21,21,-0.001473602526863009,0.19665921725853264,1.9665921725853265e-05,-0.0014932684485888623,-0.0014720294086685,-0.0014526745838828,0.1935482478574634,1.9354824785746348e-05,-2.123903992036231e-05,-2.092794298020912e-05,0.0031109694010692246,3.110969401069165e-07,1.0
71,2019-11-29,2019-11-29,2019-12-31,175,107,22,22,0.04303775262562788,0.4095604097840966,4.095604097840966e-05,0.04299679658464947,0.0428420583778591,0.0428828032885027,0.4074491064360228,4.074491064360229e-05,0.00015473820679037104,0.00015494933712518338,0.002111303348073801,2.1113033480737455e-07,1.0
72,2019-12-31,2019-12-31,2020-01-31,175,109,22,22,-0.05619693643874411,0.11965132372740522,1.1965132372740522e-05,-0.056208901571116854,-0.0561911523415857,-0.0561790293677364,0.1212297384921694,1.2122973849216942e-05,-1.774922953115543e-05,-1.790707100771116e-05,-0.0015784147647641827,-1.5784147647642014e-07,1.0
73,2020-01-31,2020-01-31,2020-02-28,175,110,22,22,-0.02916451304775783,0.2467977763649574,2.467977763649574e-05,-0.029189192825394325,-0.0293723594588995,-0.0293477439743341,0.2461548456536988,2.461548456536988e-05,0.0001831666335051739,0.00018323092657627008,0.0006429307112585936,6.429307112586097e-08,1.0000000000000002
74,2020-02-28,2020-02-28,2020-03-31,175,127,26,26,-0.0642471409792473,0.30978837285258726,3.0978837285258725e-05,-0.06427811981653256,-0.0645019024973664,-0.0644709370453491,0.3096545201730975,3.096545201730975e-05,0.00022378268083383945,0.00022379606610180292,0.00013385267948973212,1.338526794897397e-08,1.0
75,2020-03-31,2020-03-31,2020-04-30,175,128,26,26,0.18612893982441947,0.12888970328425045,1.2888970328425046e-05,0.18611605085409105,0.1861860568450139,0.18619888195031,0.1282510529616009,1.2825105296160097e-05,-7.000599092285564e-05,-6.99421258905375e-05,0.0006386503226495643,6.386503226494908e-08,1.0
76,2020-04-30,2020-04-30,2020-05-29,175,128,26,26,0.04502272770099383,0.007852807692700442,7.852807692700442e-07,0.04502194242022456,0.0451517710814845,0.0451525916375797,0.00820556095222,8.205560952220026e-07,-0.00012982866125994114,-0.00012986393658587225,-0.0003527532595195577,-3.527532595195838e-08,1.0
77,2020-05-29,2020-05-29,2020-06-30,175,129,26,26,0.06734010039911248,0.007269645600160794,7.269645600160795e-07,0.06733937343455246,0.0674746729223512,0.0674753799936936,0.0070707134247903,7.070713424790378e-07,-0.00013529948779873735,-0.0001352795945811225,0.00019893217537049392,1.989321753704173e-08,1.0
78,2020-06-30,2020-06-30,2020-07-31,175,130,26,26,0.09857406987528555,0.023837479290907165,2.3837479290907166e-06,0.09857168612735646,0.0985347672246364,0.0985371500559255,0.0238283128904781,2.382831289047819e-06,3.691890272006226e-05,3.69198193600484e-05,9.16640042906633e-06,9.166400428976381e-10,1.0
79,2020-07-31,2020-07-31,2020-08-31,175,130,26,26,0.07055641573059875,8.568819800849198e-08,8.568819800849198e-12,0.07055641572202992,0.0707447880176612,0.0707447880256413,7.980149914965305e-08,7.980149914965304e-12,-0.00018837229563127555,-0.00018837229504255204,5.886698858838927e-09,5.88669885883894e-13,0.9999999999999999
80,2020-08-31,2020-08-31,2020-09-30,175,130,26,26,-0.05803568675139441,0.17132966579520967,1.7132966579520966e-05,-0.05805281971797393,-0.0580580977337961,-0.0580409477214822,0.1715001231395776,1.7150012313957762e-05,5.278015822174353e-06,5.260970087794803e-06,-0.0001704573443679358,-1.7045734436796356e-08,1.0
