period,alpha_engine_return,spy_return,active_return,volatility_annualized,max_drawdown,turnover,number_of_trades_periods
2020Q4,0.17607389173703436,0.12118548056846534,0.05488841116856902,0.2956287709090718,0.0,0.38302089083093926,3
2021Q1,0.02943050456647378,0.06351765517198915,-0.03408715060551537,0.011776899944738656,0.0,0.2866213934766593,3
2021Q2,0.16234455054090446,0.08359311949369874,0.07875143104720572,0.10533847063985714,0.0,0.7127449433980596,3
2021Q3,0.013839747015529369,0.005734965624074162,0.008104781391455207,0.16705407014157378,-0.04964051898194155,0.2395123565361772,3
2021Q4,0.1262579488079616,0.1106599650813731,0.015597983726588494,0.09943903334422949,0.0,0.25981510743376307,3
2022Q1,-0.028002878770001516,-0.04614481645535695,0.018141937685355436,0.3319480592794573,0.0,0.7947086071713165,3
2022Q2,-0.18177521530902796,-0.16110253252360118,-0.020672682785426777,0.39669262088704493,-0.18287526725584957,0.3870666044402933,3
2022Q3,0.05429835482781886,-0.049311644163529955,0.10360999899134882,0.4146194186492836,-0.09820327090415548,0.10304070445446124,3
2022Q4,0.1704718415351325,0.0756092499056562,0.0948625916294763,0.42871860823940267,-0.055523790937265005,0.22595160988303875,3
2023Q1,0.05044208971200037,0.07458222427486483,-0.024140134562864457,0.18193848922755967,-0.02548202482234252,0.3034947459117741,3
2023Q2,0.05661085214103134,0.08680365630508535,-0.03019280416405401,0.2360124239998576,0.0,0.46015426763772277,3
2023Q3,0.04335789893253206,-0.0322416839291374,0.07559958286166946,0.1301200262305956,-0.013498006073855429,0.17676542891548136,3
2023Q4,0.12645859698970008,0.1163963313894869,0.010062265600213172,0.21284935633670632,0.0,0.3041510073944605,3
2024Q1,0.16647041396827222,0.10390114447037746,0.06256926949789476,0.05560576340360531,0.0,0.5093313504956684,3
2024Q2,0.05169312897075162,0.043790918479911456,0.007902210490840167,0.03190325214106911,0.0,0.24814054521489182,3
2024Q3,0.04964214314020032,0.05751318066119193,-0.007871037520991608,0.09322521010366336,0.0,0.5731958788649641,3
2024Q4,0.04850325744340611,0.024910283679011824,0.023592973764394287,0.26539504132662717,-0.04623830483138669,0.21644540145395946,3
2025Q1,0.07779674939366599,-0.04266860832833452,0.12046535772200051,0.16127880979901532,-0.014485280831451952,0.2276232573279795,3
2025Q2,0.08703645407962401,0.10777184804991524,-0.020735393970291227,0.04367934040175196,0.0,0.2704156811024024,3
2025Q3,0.1333072007526721,0.08121220317503552,0.05209499757763658,0.12774311954486314,0.0,0.29269348276529195,3
2025Q4,0.0010294466724132256,0.026651987079179484,-0.02562254040676626,0.06140909953962826,-0.008352435856767038,0.09490156057257634,3
2026Q1,0.18415527939266862,-0.0437058763665904,0.22786115575925903,0.15562431078846894,0.0,0.3502765343741305,3
2026Q2,0.09639855873512504,0.1512345321807702,-0.05483597344564517,0.2078515356648485,-0.030357016692148076,0.4782669411518553,3
2026Q3,0.007704353647901785,0.03136170748372735,-0.023657353835825568,0.0687493597001706,-0.007642335011816659,0.372985021892667,3
