month,return_for_profile,return_1m,_merge
2019-10,-0.0002498942070255,-0.0002498942070255,both
2019-11,-0.0014720294086685,-0.0014720294086685,both
2019-12,0.0428420583778591,0.0428420583778591,both
2020-01,-0.0561911523415857,-0.0561911523415857,both
2020-02,-0.0293723594588995,-0.0293723594588995,both
2020-03,-0.0645019024973664,-0.0645019024973664,both
2020-04,0.1861860568450139,0.1861860568450139,both
2020-05,0.0451517710814845,0.0451517710814845,both
2020-06,0.0674746729223512,0.0674746729223512,both
2020-07,0.0985347672246364,0.0985347672246364,both
2020-08,0.0707447880176612,0.0707447880176612,both
2020-09,-0.0580580977337961,-0.0580580977337961,both
2020-10,-0.0345543569595397,-0.0345543569595397,both
2020-11,0.1336739525125152,0.1336739525125152,both
2020-12,0.07453016954851,0.07453016954851,both
2021-01,0.0070580708299207,0.0070580708299207,both
2021-02,0.0135491715443367,0.0135491715443367,both
2021-03,0.0085506090041769,0.0085506090041769,both
2021-04,0.0216141314856393,0.0216141314856393,both
2021-05,0.0511173622905038,0.0511173622905038,both
2021-06,0.0824224280346998,0.0824224280346998,both
2021-07,0.0254396987237928,0.0254396987237928,both
2021-08,0.0403303658489819,0.0403303658489819,both
2021-09,-0.0496405189819415,-0.0496405189819415,both
2021-10,0.0706945595117541,0.0706945595117541,both
2021-11,0.0378953496848197,0.0378953496848197,both
2021-12,0.0134882245877207,0.0134882245877207,both
2022-01,-0.1151686021708687,-0.1151686021708687,both
2022-02,0.0314294504865949,0.0314294504865949,both
2022-03,0.0650375648577676,0.0650375648577676,both
2022-04,-0.0405717321196184,-0.0405717321196184,both
2022-05,0.0436905819855711,0.0436905819855711,both
2022-06,-0.1828752672558496,-0.1828752672558496,both
2022-07,0.1411518864242694,0.1411518864242694,both
2022-08,0.0244987210058284,0.0244987210058284,both
2022-09,-0.0982032709041555,-0.0982032709041555,both
2022-10,0.1901626552419456,0.1901626552419456,both
2022-11,0.0412706531875793,0.0412706531875793,both
2022-12,-0.0555237909372651,-0.0555237909372651,both
2023-01,0.0779094038983753,0.0779094038983753,both
2023-02,-0.0166607103336319,-0.0166607103336319,both
