ticker,arithmetic_contribution_sum,linked_terminal_contribution_index,months_contributing,share_of_terminal_gain
AMGN,0.000236221305206871,0.0236221305206871,8,1.4575560084100652e-05
MDT,0.0001510222130994681,0.015102221309946809,1,9.318521625885597e-06
TSLA,0.0,0.0,6,0.0
PH,0.0,0.0,11,0.0
TXN,0.0,0.0,1,0.0
VRTX,0.0,0.0,4,0.0
NKE,0.0,0.0,4,0.0
ON,0.0,0.0,13,0.0
MPWR,0.0,0.0,10,0.0
MDB,0.0,0.0,9,0.0
MCHP,0.0,0.0,1,0.0
MO,0.0,0.0,1,0.0
MSFT,0.0,0.0,1,0.0
MRVL,0.0,0.0,8,0.0
INTC,0.0,0.0,7,0.0
INTU,0.0,0.0,1,0.0
EMR,0.0,0.0,8,0.0
ETN,0.0,0.0,9,0.0
DHR,0.0,0.0,2,0.0
ADSK,0.0,0.0,1,0.0
ADI,0.0,0.0,4,0.0
AMAT,0.0,0.0,7,0.0
AAPL,0.0,0.0,4,0.0
AMD,0.0,0.0,27,0.0
AXP,0.0,0.0,4,0.0
APD,0.0,0.0,2,0.0
ARM,0.0,0.0,7,0.0
ASML,0.0,0.0,5,0.0
BSX,0.0,0.0,5,0.0
BLK,0.0,0.0,2,0.0
GILD,0.0,0.0,4,0.0
ISRG,0.0,0.0,1,0.0
SLB,0.0,0.0,17,0.0
SHW,0.0,0.0,5,0.0
V,-6.971026075927228e-13,-6.971026075927228e-11,7,-4.301331301532164e-14
TTWO,-6.597124694652477e-09,-4.318674515171958e-06,15,-2.6647511673190166e-09
CRM,-1.0219993433764286e-07,-1.0219993433764286e-05,5,-6.306041202443268e-09
WFC,-8.71875894652735e-06,-0.0028050319804962904,8,-1.7307885134976515e-06
TMO,-3.379585571632242e-05,-0.0033795855716322416,5,-2.0853052401664815e-06
MU,-8.534362670564093e-05,-0.008534362670564092,22,-5.265956674626586e-06
GE,-0.00024407410528860907,-0.024986053655557134,28,-1.5417141396378274e-05
WMB,-0.000924925654459427,-0.09901640160756292,22,-6.109607724326868e-05
MDLZ,-0.0010414609008252808,-0.10602739524306777,9,-6.542206972282323e-05
KMI,-0.001574099003325283,-0.17277631882442257,13,-0.0001066081492492681
WM,-0.0028880868745539134,-0.3206279649317214,6,-0.0001978370309745155
TMUS,-0.0006977568319055509,-0.3308492337057501,26,-0.00020414385909999416
VALE,-0.0005558221377426401,-0.37639531258417513,26,-0.00023224715015184472
ABBV,-5.752384900209787e-05,-0.4790511968638341,8,-0.0002955888969089501
LIN,-0.0008379929732013076,-0.5256176054574809,7,-0.00032432176187060466
JPM,0.00411445413866713,-0.6663777969578409,22,-0.00041117500429369046
LOW,-0.0019544978529772105,-0.6955064112466753,16,-0.00042914822933203683
LMT,-0.009421196968834599,-0.7885141408993569,27,-0.00048653677651033843
PFE,-0.0028694990943863145,-0.85614059046776,6,-0.000528264315781
__TRANSACTION_COST__,-0.0023174895719239724,-1.8117227439009613,152,-0.0011178870460619257
QCOM,-0.001211630167909978,-1.9423270002527135,11,-0.0011984737731578216
UPS,-0.005933243004040497,-1.9792579079807673,21,-0.001221261246289393
ZTS,-0.004334600705034071,-2.7457442609323826,3,-0.0016942062197034373
IBM,-0.0035721848673148414,-3.570964255178813,3,-0.002203391604070291
LRCX,-0.015374297333326702,-5.6069531664968455,52,-0.003459657573877297
FCX,-0.009839311056128047,-6.723544301964949,25,-0.004148627655138033
DOW,-0.03470698025648941,-12.047530675255677,24,-0.007433686265870617
STLD,0.013314826058605142,-12.409092779344956,39,-0.007656780883338417
EOG,-0.012795649851213365,-15.764417529398012,32,-0.00972711647196109
ANET,-0.02075389224890427,-28.3237089015071,64,-0.01747657437321132
