decision_id,asof,period_start,period_end,month,alpha_engine_return_1m,spy_return_1m,active_return_1m,alpha_engine_nav,spy_nav,active_nav,turnover,transaction_cost_return,number_of_positions,period_start_reuse_count,forward_interval_reused
16,2015-04-30,2015-04-30,2015-05-29,2015-05,0.0309525116039314,0.012856128431951053,0.018096383171980347,129.47441883542317,116.06987615646156,111.54868353688286,0.27057987447303494,2.7057987447303495e-05,8,1,False
17,2015-05-29,2015-05-29,2015-06-30,2015-06,0.0192606717765137,-0.020312111034906488,0.03957278281142019,131.96818312006712,113.71225194416367,116.05449796638246,0.20856030166702477,2.0856030166702478e-05,8,1,False
18,2015-06-30,2015-06-30,2015-07-31,2015-07,0.0241570290863272,0.02258928959607065,0.0015677394902565492,135.15614235816832,116.28093093395172,116.23242200816043,0.19390763232142838,1.939076323214284e-05,8,1,False
19,2015-07-31,2015-07-31,2015-08-31,2015-08,-0.0392788963537662,-0.06095049567619015,0.021671599322423955,129.84735825090695,109.19355055583853,118.91486043812326,0.1350621019652009,1.3506210196520092e-05,8,1,False
20,2015-08-31,2015-08-31,2015-09-30,2015-09,-0.0509315602725471,-0.025515826391608654,-0.025415733880938443,123.23402969791987,106.4073868767724,115.81341607480122,0.12139208707283818,1.2139208707283818e-05,8,1,False
21,2015-09-30,2015-09-30,2015-10-30,2015-10,0.0562431767268884,0.08505979500511307,-0.028816618278224668,130.1651030089866,115.45837739154042,112.73768603864315,0.02877837205104191,2.8778372051041914e-06,8,1,False
22,2015-10-30,2015-10-30,2015-11-30,2015-11,0.013761915028412,0.0036552451638534045,0.010106669864558595,131.95642409626078,115.88040606712721,113.87293898488848,0.20636870946253894,2.0636870946253896e-05,8,1,False
23,2015-11-30,2015-11-30,2015-12-31,2015-12,-0.0374479700901103,-0.017282430840220964,-0.020165539249889335,127.01492387350609,113.87771096353536,111.53624602989902,0.10783373016335086,1.0783373016335087e-05,8,1,False
24,2015-12-31,2015-12-31,2016-01-29,2016-01,-0.0795858260550498,-0.04978696200170585,-0.02979886405334395,116.90633623571384,108.20808569495259,108.03844785248519,0.23759936600933415,2.3759936600933418e-05,8,1,False
25,2016-01-29,2016-01-29,2016-02-29,2016-02,0.0154742662334622,-0.0008256444011135455,0.016299910634575747,118.71537600700391,108.11874429484334,109.80092007289986,0.40859703746845394,4.0859703746845395e-05,8,1,False
26,2016-02-29,2016-02-29,2016-03-31,2016-03,0.0938957915433437,0.06726609401366224,0.02662969752968146,129.8622502055472,115.39146991321938,112.54059793432793,0.13192429343906786,1.3192429343906786e-05,8,1,False
27,2016-03-31,2016-03-31,2016-04-29,2016-04,0.0573579245446973,0.003941059165564642,0.05341686537913266,137.3108793540416,115.84623452334885,118.52856497149808,0.2273446540704405,2.273446540704405e-05,8,1,False
28,2016-04-29,2016-04-29,2016-05-31,2016-05,-0.0496750252111514,0.017011842129951438,-0.06668686734110284,130.4899579603642,117.8169923764094,110.75648370267879,0.20424008391161436,2.0424008391161436e-05,8,1,False
29,2016-05-31,2016-05-31,2016-06-30,2016-06,0.0227179136144013,0.003475922200165238,0.019241991414236062,133.4544175528546,118.22651507576727,112.88027687133322,0.30069503339701215,3.0069503339701217e-05,8,1,False
30,2016-06-30,2016-06-30,2016-07-29,2016-07,0.068194818982419,0.03647085433216146,0.031723964650257536,142.5553174002757,122.53833708529467,116.33527987330847,0.19387741906683292,1.9387741906683294e-05,8,1,False
31,2016-07-29,2016-07-29,2016-08-31,2016-08,0.0010808558581483,0.0011976305791487896,-0.00011677472100048961,142.70939915019798,122.68509274490606,116.321711103832,0.17188964930356265,1.7188964930356265e-05,8,1,False
32,2016-08-31,2016-08-31,2016-09-30,2016-09,0.0207013514686503,5.826067573311278e-05,0.020643090792917186,145.66367657988613,122.69224046131175,118.72281085764172,0.30004179035798206,3.0004179035798207e-05,8,1,False
33,2016-09-30,2016-09-30,2016-10-31,2016-10,0.0866570507744845,-0.0173374329320255,0.10399448370651,158.2864611972674,120.56507197103382,131.28716186997863,0.071019123599904,7.101912359990401e-06,8,1,False
34,2016-10-31,2016-10-31,2016-11-30,2016-11,0.019844903777949,0.036838708714445056,-0.016993804936496056,161.42764078907922,125.00653353851084,129.1353629443281,0.24772350985201502,2.4772350985201504e-05,8,1,False
35,2016-11-30,2016-11-30,2016-12-30,2016-12,-0.002951123782181,0.020271764821486293,-0.023222888603667294,160.9512478392452,127.54063658755277,126.19605181973282,0.1434320249498587,1.4343202494985872e-05,8,1,False
36,2016-12-30,2016-12-30,2017-01-31,2017-01,0.0363516771710471,0.017894571630365785,0.018457105540681314,166.80209564097464,129.82292164475118,128.48431812173638,0.20447294532912577,2.0447294532912578e-05,8,1,False
37,2017-01-31,2017-01-31,2017-02-28,2017-02,0.0224667255265626,0.03929161413043092,-0.01682488860386832,170.5495925409959,134.92387378730191,126.40431063360619,0.23463178691418435,2.3463178691418435e-05,8,1,False
38,2017-02-28,2017-02-28,2017-03-31,2017-03,0.0092403117692322,0.0012499170143820404,0.00799039475485016,172.1255239481902,135.092517432795,127.41307010865214,0.2220960390715231,2.220960390715231e-05,8,1,False
39,2017-03-31,2017-03-31,2017-04-28,2017-04,0.022554676016541,0.009926235374316583,0.012628440642224417,176.007759375019,136.4334775581419,129.00628388660127,0.11806840484372674,1.1806840484372675e-05,8,1,False
40,2017-04-28,2017-04-28,2017-05-31,2017-05,0.0535236834645146,0.014112851384642022,0.03941083207987258,185.42834297510595,138.35894295080985,134.01977423391452,0.1384680330699368,1.384680330699368e-05,8,1,False
41,2017-05-31,2017-05-31,2017-06-30,2017-06,-0.0275257609118565,0.006375088067933188,-0.03390084897978969,180.32428674009145,139.24099339710742,129.50517109987632,0.10042841559454685,1.0042841559454686e-05,8,1,False
42,2017-06-30,2017-06-30,2017-07-31,2017-07,0.105113849624651,0.02055377070472142,0.08456007891992959,199.2788667001619,142.10292084808918,140.23558805887947,0.005563934772166884,5.563934772166884e-07,8,1,False
43,2017-07-31,2017-07-31,2017-08-31,2017-08,-4.1582761168379455e-05,0.00291787331692972,-0.0029594560780980992,199.270580134642,142.5175591690896,139.82177445111725,0.034790356550254024,3.4790356550254024e-06,8,1,False
44,2017-08-31,2017-08-31,2017-09-29,2017-09,0.0132069093183681,0.02014946940432849,-0.00694256008596039,201.90232861629883,145.38921236714674,138.87022656566936,0.10971571208956671,1.0971571208956671e-05,8,1,False
45,2017-09-29,2017-09-29,2017-10-31,2017-10,0.0448112684341735,0.02356419906179341,0.021247069372380085,210.9498280614085,148.81519270880355,141.75288438068813,0.1473859587669369,1.473859587669369e-05,8,1,False
46,2017-10-31,2017-10-31,2017-11-30,2017-11,-0.0012501669749789,0.030566150945595894,-0.031816317920574794,210.68610555298866,153.36390035213878,137.37659584115454,0.20441144714932158,2.044114471493216e-05,8,1,False
47,2017-11-30,2017-11-30,2017-12-29,2017-12,0.0170211857841143,0.012127579304952452,0.004893606479161847,214.27223289773758,155.22383321617616,138.0408075603482,0.19910594924460362,1.9910594924460363e-05,8,1,False
48,2017-12-29,2017-12-29,2018-01-31,2018-01,0.1836001997816182,0.056359123359262187,0.12724107642235602,253.6126576654156,163.97211238070417,154.66816520396313,0.16311574274581359,1.631157427458136e-05,8,1,False
49,2018-01-31,2018-01-31,2018-02-28,2018-02,0.0091309179322025,-0.0363602990728239,0.045491217005026396,255.9283740291263,158.01003733493908,161.96969404331352,0.05225072858862157,5.225072858862157e-06,8,1,False
50,2018-02-28,2018-02-28,2018-03-29,2018-03,-0.017936835506401,-0.02741061427260416,0.009473778766203162,251.33782888274519,153.67888515035128,163.54740512130186,0.09629944464086226,9.629944464086227e-06,8,1,False
51,2018-03-29,2018-03-29,2018-04-30,2018-04,0.0144440036762264,0.0051682823168131,0.0092757213594133,254.9681534071023,154.47314101494138,165.05662520479243,0.0020081748310747643,2.0081748310747643e-07,8,1,False
52,2018-04-30,2018-04-30,2018-05-31,2018-05,0.003545530924282,0.024308941796438166,-0.020763410872156166,255.87215087971427,158.22821960898656,161.71081967048946,0.15498823134351775,1.5498823134351776e-05,8,1,False
53,2018-05-31,2018-05-31,2018-06-29,2018-06,0.0325502136394854,0.0057508947476234695,0.026799318891861927,264.2008440552436,159.1381734460617,166.0197791228211,0.2397613172663211,2.397613172663211e-05,8,1,False
54,2018-06-29,2018-06-29,2018-07-31,2018-07,-0.0044602211603819,0.0370469381837808,-0.0415071593441627,263.0224498599976,165.03375552039773,159.3749406178233,0.1897357689031907,1.897357689031907e-05,8,1,False
55,2018-07-31,2018-07-31,2018-08-31,2018-08,0.0549034887786711,0.03191950764815554,0.022983981130515557,277.46329998442457,170.3015517419349,162.92470452933767,0.18720310569667756,1.8720310569667758e-05,8,1,False
56,2018-08-31,2018-08-31,2018-09-28,2018-09,0.0169083256031595,0.005945388622419889,0.01096293698073961,282.1547398034883,171.31406065004185,164.70028130374564,0.22236585768103795,2.2236585768103797e-05,8,1,False
57,2018-09-28,2018-09-28,2018-10-31,2018-10,-0.0597563743662967,-0.06910442393564453,0.00934804956934783,265.29419554256606,159.47550117674464,166.35420085530498,0.06894184611866991,6.894184611866991e-06,8,1,False
58,2018-10-31,2018-10-31,2018-11-30,2018-11,0.0070338385989776,0.018549837918407475,-0.011515999319429874,267.1602320952581,162.43374587553006,164.4733553703662,0.3170894383088091,3.170894383088091e-05,8,1,False
59,2018-11-30,2018-11-30,2018-12-31,2018-12,-0.0841582814979285,-0.08804866842491355,0.00389038692698504,244.67648607753347,148.13167084391884,165.1749991636431,0.2703087400587521,2.703087400587521e-05,8,1,False
60,2018-12-31,2018-12-31,2019-01-31,2019-01,0.0549233090229918,0.08006562879531653,-0.025142319772324735,258.1149283330296,159.99192621453807,161.32997110548902,0.36829142093327016,3.6829142093327016e-05,8,1,False
61,2019-01-31,2019-01-31,2019-02-28,2019-02,0.0427109872041124,0.03241594832556993,0.010295038878542467,269.139271734252,165.17821622721692,162.93872029955068,0.212052101137152,2.1205210113715202e-05,8,1,False
62,2019-02-28,2019-02-28,2019-03-29,2019-03,0.0322494195876876,0.018100130216103683,0.014149289371583919,277.8188570359346,168.1679634497933,165.20320002500222,0.3792089298107516,3.792089298107516e-05,16,1,False
63,2019-03-29,2019-03-29,2019-04-30,2019-04,0.0099295701758354,0.04085277645134067,-0.030923206275505266,280.57747887304333,175.03809166688492,160.29509702780035,0.20953842408882298,2.09538424088823e-05,18,1,False
64,2019-04-30,2019-04-30,2019-05-31,2019-05,-0.1106042049907784,-0.06377159500810115,-0.046832609982677256,249.54442988397346,163.87563337411345,152.27671420453692,0.1142391395645591,1.142391395645591e-05,19,1,False
65,2019-05-31,2019-05-31,2019-06-28,2019-06,0.0961616415526122,0.06958679426601244,0.026574847286599756,273.5410319019271,175.27921335893038,156.06016632547284,0.20402722223432465,2.0402722223432466e-05,19,1,False
66,2019-06-28,2019-06-28,2019-07-31,2019-07,0.0028704724176538,0.01511892653441338,-0.01224845411675958,274.3262238890982,177.92924690871382,154.1771398773135,0.162290062752601,1.62290062752601e-05,19,1,False
67,2019-07-31,2019-07-31,2019-08-30,2019-08,-0.0001041784129142,-0.016742896260931617,0.016638717848017417,274.2976450184727,174.95019598593555,156.78613188894272,0.2844461156809335,2.8444611568093348e-05,20,1,False
68,2019-08-30,2019-08-30,2019-09-30,2019-09,-0.0071578376882222,0.019457956111362806,-0.026615793799585008,272.33426699716887,178.3543692211042,152.69279254917421,0.06622633444504986,6.622633444504986e-06,20,1,False
69,2019-09-30,2019-09-30,2019-10-31,2019-10,-0.0002498942070255,0.022104678770767716,-0.022354572977793218,272.26621224147175,182.2968352600996,149.35323032514776,0.18727224647378965,1.8727224647378965e-05,21,1,False
70,2019-10-31,2019-10-31,2019-11-29,2019-11,-0.0014720294086685,0.036198149968216686,-0.03767017937688519,271.8654283700655,188.895643441576,143.9236095744852,0.19665921725853264,1.9665921725853265e-05,21,1,False
71,2019-11-29,2019-11-29,2019-12-31,2019-12,0.0428420583778591,0.02905538268203367,0.01378667569582543,283.5127029232175,194.38407864873997,145.8518130157854,0.4095604097840966,4.095604097840966e-05,22,1,False
72,2019-12-31,2019-12-31,2020-01-31,2020-01,-0.0561911523415857,-0.0004038059700871566,-0.05578734637149854,267.58179744248423,194.30558519729172,137.71184043463813,0.11965132372740522,1.1965132372740522e-05,22,1,False
73,2020-01-31,2020-01-31,2020-02-28,2020-02,-0.0293723594588995,-0.07916576739663461,0.04979340793773511,259.72228870334516,178.92323443569595,145.1585030432076,0.2467977763649574,2.467977763649574e-05,22,1,False
74,2020-02-28,2020-02-28,2020-03-31,2020-03,-0.0645019024973664,-0.12487124092725288,0.06036933842988648,242.96970696100914,156.58086812099282,155.1720270022147,0.30978837285258726,3.0978837285258725e-05,26,1,False
75,2020-03-31,2020-03-31,2020-04-30,2020-04,0.1861860568450139,0.12698350796282853,0.059202548882185374,288.207278632868,176.46405603486153,163.3235034424976,0.12888970328425045,1.2888970328425046e-05,26,1,False
76,2020-04-30,2020-04-30,2020-05-29,2020-05,0.0451517710814845,0.04764514534844744,-0.0024933742669629375,301.2203477017169,184.87171163341907,162.93479680601692,0.007852807692700442,7.852807692700442e-07,26,1,False
77,2020-05-29,2020-05-29,2020-06-30,2020-06,0.0674746729223512,0.017734503281771286,0.04974016964057991,321.54509214044714,188.15031961008862,170.89797817340826,0.007269645600160794,7.269645600160795e-07,26,1,False
78,2020-06-30,2020-06-30,2020-07-31,2020-07,0.0985347672246364,0.05889194129451303,0.039642825930123374,353.22846294673036,199.23085718710982,177.29606143037975,0.023837479290907165,2.3837479290907166e-06,26,1,False
79,2020-07-31,2020-07-31,2020-08-31,2020-08,0.0707447880176612,0.06979699655909855,0.0009477914585626496,378.21753567970114,213.13657264066478,177.45313767306973,8.568819800849198e-08,8.568819800849198e-12,26,1,False
80,2020-08-31,2020-08-31,2020-09-30,2020-09,-0.0580580977337961,-0.037443750368799544,-0.02061434736499656,356.2589450285735,205.15594002024622,173.6527565292116,0.17132966579520967,1.7132966579520966e-05,26,1,False
81,2020-09-30,2020-09-30,2020-10-30,2020-10,-0.0345543569595397,-0.024933510015754612,-0.009620846943785087,343.9486462720272,200.04068233495985,171.93934866513771,0.1317351745260948,1.317351745260948e-05,27,1,False
82,2020-10-30,2020-10-30,2020-11-30,2020-11,0.1336739525125152,0.10877693481526807,0.024897017697247142,389.92562128053805,221.80049459771152,175.8001586009814,0.12412884328214248,1.2412884328214248e-05,27,1,False
83,2020-11-30,2020-11-30,2020-12-31,2020-12,0.07453016954851,0.037048459338504314,0.03748171021000568,418.9868439458847,230.01786120307497,182.15404740937723,0.12715687302270204,1.2715687302270204e-05,27,1,False
84,2020-12-31,2020-12-31,2021-01-29,2021-01,0.0070580708299207,-0.0101907155028923,0.017248786332813,421.94408276725966,227.67381461897065,185.3283318827925,0.1086575073122394,1.0865750731223941e-05,27,1,False
85,2021-01-29,2021-01-29,2021-02-26,2021-02,0.0135491715443367,0.027805799989466973,-0.014256628445130273,427.6610755267911,234.00446717110472,182.75765445711946,0.031112764555315246,3.1112764555315246e-06,27,1,False
86,2021-02-26,2021-02-26,2021-03-31,2021-03,0.0085506090041769,0.04539908725544817,-0.036848478251271265,431.31783816992646,244.62805639437036,176.31576873365225,0.14685112160910468,1.4685112160910468e-05,27,1,False
87,2021-03-31,2021-03-31,2021-04-30,2021-04,0.0216141314856393,0.05291041501975635,-0.03129628353411705,440.64039863623293,257.57142838367287,171.07503009994744,0.14782490178426452,1.4782490178426452e-05,27,1,False
88,2021-04-30,2021-04-30,2021-05-28,2021-05,0.0511173622905038,0.006566213532724019,0.04455114875777978,463.1647735331533,259.2626973823688,178.64690069549934,0.51420659840811,5.1420659840811004e-05,27,1,False
89,2021-05-28,2021-05-28,2021-06-30,2021-06,0.0824224280346998,0.02242737354966251,0.059995054485037294,501.33993874789775,265.0772787440563,189.12972893160088,0.050713443205685035,5.071344320568504e-06,27,1,False
90,2021-06-30,2021-06-30,2021-07-30,2021-07,0.0254396987237928,0.024412658786326702,0.0010270399374660982,514.093875747849,271.5485199020429,189.3193437155543,0.02036446698356902,2.036446698356902e-06,27,1,False
91,2021-07-30,2021-07-30,2021-08-31,2021-08,0.0403303658489819,0.02975963901175005,0.010570726837231849,534.8274698374809,279.6297058285027,191.26275166397784,0.09213089258138715,9.213089258138715e-06,27,1,False
92,2021-08-31,2021-08-31,2021-09-30,2021-09,-0.0496405189819415,-0.04660527022518435,-0.0030352487567571543,508.27835666894964,266.59748782537656,190.65384329573126,0.12701699697122104,1.2701699697122105e-05,27,1,False
