asof,historical_universe_n,current_research_overlap_n,coverage_of_historical_universe
2020-07-31,5992,178,0.029706275033377836
2020-08-31,6031,178,0.029514176753440556
2020-09-30,6114,179,0.029277069021916912
2020-10-31,6213,179,0.028810558506357636
2020-11-30,6326,179,0.028295921593423964
2020-12-31,6423,180,0.02802428771602055
2021-01-31,6591,180,0.027309968138370506
2021-02-28,6758,180,0.026635099141757917
2021-03-31,7022,180,0.02563372258615779
2021-04-30,7213,181,0.025093581034243726
2021-05-31,7348,181,0.02463255307566685
2021-06-30,7404,181,0.0244462452728255
2021-07-31,7488,181,0.024172008547008548
2021-08-31,7537,181,0.02401486002388218
2021-09-30,7584,181,0.02386603375527426
2021-10-31,7691,181,0.02353400078013262
2021-11-30,7796,181,0.023217034376603385
2021-12-31,7912,182,0.02300303336703741
2022-01-31,8001,182,0.022747156605424323
2022-02-28,8047,182,0.022617124394184167
2022-03-31,8074,182,0.022541491206341344
2022-04-30,8114,182,0.022430367266453043
2022-05-31,8105,182,0.022455274521900062
2022-06-30,8103,182,0.022460816981364925
2022-07-31,8092,182,0.02249134948096886
2022-08-31,8079,182,0.022527540537195197
2022-09-30,8034,182,0.022653721682847898
2022-10-31,7952,182,0.022887323943661973
2022-11-30,7910,182,0.023008849557522124
2022-12-31,7689,182,0.023670178176615944
2023-01-31,7650,182,0.023790849673202615
2023-02-28,7604,182,0.023934771173066808
2023-03-31,7516,182,0.024215007982969664
2023-04-30,7490,182,0.024299065420560748
2023-05-31,7451,182,0.02442625150986445
2023-06-30,7429,182,0.02449858662000269
2023-07-31,7400,182,0.024594594594594593
2023-08-31,7382,182,0.024654565158493635
2023-09-30,7372,183,0.024823657080846447
2023-10-31,7362,184,0.024993208367291495
2023-11-30,7342,184,0.025061291201307546
2023-12-31,7265,184,0.025326909841706814
2024-01-31,7282,184,0.025267783575940676
2024-02-29,7274,184,0.025295573274676932
2024-03-31,7269,184,0.025312972898610536
2024-04-30,7255,184,0.025361819434872503
2024-05-31,7236,184,0.02542841348811498
2024-06-30,7237,184,0.025424899820367556
2024-07-31,7251,184,0.0253758102330713
2024-08-31,7271,184,0.025306010177417137
2024-09-30,7321,184,0.025133178527523562
2024-10-31,7354,184,0.025020397062822955
2024-11-30,7378,184,0.024939007861209
2024-12-31,7413,184,0.024821259948738704
2025-01-31,7464,184,0.02465166130760986
2025-02-28,7504,184,0.024520255863539446
2025-03-31,7538,184,0.024409657734146988
2025-04-30,7577,184,0.02428401742114293
2025-05-31,7636,184,0.024096385542168676
2025-06-30,7722,184,0.023828023828023827
2025-07-31,7802,184,0.02358369648807998
2025-08-31,7868,184,0.02338586680223691
2025-09-30,7934,184,0.023191328459793294
2025-10-31,7995,184,0.023014383989993746
2025-11-30,8069,184,0.02280332135332755
2025-12-31,8130,184,0.02263222632226322
2026-01-31,8210,184,0.02241169305724726
2026-02-28,8352,184,0.022030651340996167
2026-03-31,8417,184,0.021860520375430677
2026-04-30,8523,184,0.021588642496773437
2026-05-31,8675,184,0.021210374639769453
2026-06-30,8871,185,0.020854469620110474
2026-07-31,8953,185,0.020663464760415504
2026-08-31,9030,184,0.020376522702104098
