lifecycle_id,sample,ticker,entry_signal_date,entry_execution_date,exit_date,exit_reason,status,entry_weight,entry_notional_nav_units,held_sessions,exposure_nav_days,gross_pnl_nav_units,benchmark_pnl_nav_units,gross_active_pnl_nav_units,allocated_cost_nav_units,entry_trade_nav_units,resize_trade_nav_units,exit_trade_nav_units,terminal_exit_weight,ret_20d,ret_60d,ret_120d,ret_252d,dd_60d,dd_252d,range_position_252d,reversal_signature_score,reversal_signature_pctile,ret_60d_pctile,expected_active_total,effective_horizon_sessions,model_target_weight,entry_anatomy_class,net_pnl_nav_units,net_active_pnl_nav_units,net_daily_return_on_exposure,net_daily_active_on_exposure,signal_date,expected_active_per_session,uncertainty_per_session,positive_active_horizon_share,advisor_effective_horizon_sessions,advisor_expected_active_total,conviction,expected_contribution,realized_daily_net,realized_daily_active,entries_same_signal_date
PRE2025_OOF_001720,PRE2025_OOF,INM,2021-03-31,2021-04-01,2021-04-06,POLICY_EXIT,CLOSED,0.0006157878849806,0.0015839768209621,2,0.0032282308212135,1.858314531285987e-05,2.095884701792917e-05,-2.3757017050692912e-06,3.186496062906537e-06,0.0015840451304581,0.0,0.0016024509324483,0.0,-0.2841648590021691,-0.0544412607449856,,,-0.383177570093458,-0.3878686700055648,0.1345198675496688,0.9508857370699476,0.9913419913419912,0.1271929824561403,0.0021127694329629,27.351953939796587,0.0006263300039411,MIXED_OTHER,1.5396649249953333e-05,-5.5621977679758285e-06,0.0047693768205104,-0.0017229863897665,2021-03-31,7.724382095748184e-05,0.0033711006019161434,0.5015389518734081,27.351953939796587,0.0021127694329629377,0.02291353183395839,1.3232908872742887e-06,0.004769376820510528,-0.0017229863897665733,1
PRE2025_OOF_001721,PRE2025_OOF,NUE,2021-04-01,2021-04-05,2021-05-07,POLICY_EXIT,CLOSED,0.0051814902873869,0.0135420340319377,24,0.3121117042370202,0.0027175563512721,0.0003355240227797,0.0023820323284923,2.9786680758642622e-05,0.0135429320317549,0.0042664358698385,0.011977312857049,0.0,0.3293533243035493,0.4849813005110781,0.6367762543695381,1.2967030476730832,-0.0063440639872268,-0.0063440639872268,0.9889100574413404,0.079160970608339,0.0259740259740259,0.9517543859649122,0.0023244683354261,29.28368549756676,0.0051814902873869,POSITIVE_MOMENTUM,0.0026877696705134,0.0023522456477337,0.0086115632128693,0.007536550586861,2021-04-01,7.93775884397931e-05,0.0033510659366437537,0.7391537410611884,29.283685497566754,0.0023244683354261917,0.02368726546732572,1.2044210103348734e-05,0.008611563212869086,0.007536550586860995,2
PRE2025_OOF_001722,PRE2025_OOF,LAB,2021-04-01,2021-04-05,2021-04-19,POLICY_EXIT,CLOSED,0.0008104460477086,0.0021181334616868,10,0.0330577883089062,-7.596309066381069e-05,4.1030967233582986e-05,-0.0001169940578973,7.61349544048663e-06,0.0021182739194243,0.0018145662541869,0.0036806552668753,0.0,0.1770572371033987,-0.2601881339299527,-0.4172840039625755,1.1071427545073087,-0.3342736687433182,-0.5870516479291501,0.2995824302784021,0.753218272955115,0.8484848484848485,0.0087719298245614,0.0020321337339915,32.57301437492674,0.0008104460477086,REVERSAL_POSITIVE_1Y,-8.357658610429733e-05,-0.0001246075533378,-0.0025281965424704,-0.0037693856640829,2021-04-01,6.23870333461e-05,0.0031925031891519746,0.7342541313589781,32.57301437492674,0.002032133733991549,0.01954172937339238,1.6469347531287308e-06,-0.0025281965424704686,-0.003769385664080531,2
PRE2025_OOF_001723,PRE2025_OOF,PBR,2021-04-05,2021-04-06,2021-04-12,POLICY_EXIT,CLOSED,0.0027404399490538,0.0071706172266355,4,0.0290710930551957,-0.0001066484555144,3.960807971062692e-05,-0.000146256535225,2.30488770883746e-05,0.0071708492741223,0.0063612846664715,0.0095167431477807,0.0,0.0798969172516697,-0.2788296422325599,0.1558623020063358,0.4559611372537586,-0.2849828270710828,-0.2849828270710828,0.4536190005326136,0.78259433058801,0.8782608695652174,0.0044052863436123,0.0038157594799148,30.83485169309005,0.0027404399490538,REVERSAL_POSITIVE_1Y,-0.0001296973326028,-0.0001693054123134,-0.0044613847974884,-0.0058238406100519,2021-04-05,0.00012374826763865705,0.0034227126294806235,0.6497035220002225,30.83485169309005,0.003815759479914805,0.03615502703112856,1.0456859714739268e-05,-0.0044613847974876875,-0.0058238406100503005,1
PRE2025_OOF_001724,PRE2025_OOF,SPGI,2021-04-06,2021-04-07,2021-05-03,POLICY_EXIT,CLOSED,0.0096485193213483,0.0251734963181655,18,0.8024689579971025,0.0038070419433677,0.000971952984146,0.0028350889592217,0.000155931704398,0.0251750335051801,0.0519644789199607,0.0787921919729076,0.0,0.0674896772944635,0.1143444210595632,0.0203766897430195,0.5448283721982445,-0.0035948649570404,-0.0290230188282401,0.9218690001735312,0.4012497605822639,0.3608695652173913,0.6167400881057269,0.0022720998411765,34.34308213669153,0.0096485193213483,POSITIVE_MOMENTUM,0.0036511102389697,0.0026791572548236,0.0045498460751461,0.0033386428573021,2021-04-06,6.615887974565688e-05,0.003147045294776563,0.6158784012941979,34.34308213669153,0.002272099841176592,0.021022538142513165,2.1922399217623865e-05,0.0045498460751461035,0.003338642857301994,2
PRE2025_OOF_001725,PRE2025_OOF,INM,2021-04-06,2021-04-07,2021-04-08,POLICY_EXIT,CLOSED,0.0012777095702001,0.0033336117273405,1,0.0033336117273405,0.0003098850338091,1.9368065452731527e-05,0.0002905169683563,6.977312051181389e-06,0.0033338152900317,0.0,0.0036434967611496,0.0,-0.188235294117647,-0.2467248908296943,,,-0.3551401869158879,-0.3600445186421814,0.1966059602649006,0.9814930090021068,1.0,0.0088105726872246,0.0035027452643862,27.701552010182425,0.0012777095702001,MIXED_OTHER,0.0003029077217579,0.0002835396563052,0.090864727668687,0.0850547932681433,2021-04-06,0.00012644581296740099,0.0034033607362274707,0.7468864111670398,27.701552010182425,0.003502745264386258,0.037153220821241124,4.4754911462793265e-06,0.09086472766867626,0.085054793268142,2
PRE2025_OOF_001726,PRE2025_OOF,BIDU,2021-04-07,2021-04-08,2021-04-14,POLICY_EXIT,CLOSED,0.0026110882279827,0.0069070435817515,4,0.0174981616970477,-0.0002775326375551,2.090421661395887e-05,-0.000298436854169,1.3536662752772244e-05,0.006907424443496,0.0040993778558229,0.0025298604534532,0.0,-0.1599818335651097,-0.0759625390218522,0.7473435235539609,1.156596024236186,-0.3468859474324823,-0.3468859474324823,0.5190291538722982,0.9236651411136536,0.982608695652174,0.1140350877192982,0.0056533275379417,28.14722266688316,0.0026570510140877,REVERSAL_POSITIVE_1Y,-0.0002910693003078,-0.0003119735169218,-0.0166342788086697,-0.0178289309656152,2021-04-07,0.0002008485030600637,0.00347274710956672,0.8798007884095475,28.147222666883156,0.005653327537941776,0.0578356260111099,1.5021179667657915e-05,-0.016634278808665335,-0.01782893096561317,3
PRE2025_OOF_001727,PRE2025_OOF,CAAP,2021-04-07,2021-04-08,2021-04-29,POLICY_EXIT,CLOSED,0.0049906022833652,0.0132015100451138,15,0.2263039799573596,0.002394337901267,0.0002884143968674,0.0021059235043995,4.360355888717669e-05,0.0132022379904475,0.0171654856049497,0.0132358352917793,0.0,0.0515022180275519,0.3066666966172531,1.5128203597055805,1.7528090911994858,-0.0180360225938837,-0.0180360225938837,0.9724771382478974,0.2566742944317315,0.1913043478260869,0.9298245614035088,0.0031865491579589,27.332927443132327,0.0050784514731503,POSITIVE_MOMENTUM,0.0023507343423798,0.0020623199455123,0.0103875077354925,0.0091130520369149,2021-04-07,0.0001165827979673489,0.0034330629455457517,0.8692253502947094,27.332927443132327,0.0031865491579589024,0.03395882913204663,1.6182735265502222e-05,0.010387507735492445,0.009113052036914614,3
PRE2025_OOF_001728,PRE2025_OOF,FCX,2021-04-07,2021-04-08,2021-04-12,POLICY_EXIT,CLOSED,0.0029671067122572,0.0078488099918021,2,0.015557899292606,-0.0001591524102091,1.3556799770805704e-05,-0.0001727092099799,1.5538711066228243e-05,0.0078492427835501,6.417437561371815e-05,0.0076252939070643,0.0,0.0035442109231333,0.0908507957956858,1.0202140848191554,3.726009002404752,-0.1076681143322341,-0.1076681143322341,0.8672709093354269,0.5921815408085431,0.6173913043478261,0.5964912280701754,0.0038715547578589,29.823825544358947,0.0030193364644749,POSITIVE_MOMENTUM,-0.0001746911212753,-0.0001882479210461,-0.0112284517330955,-0.0120998290004139,2021-04-07,0.00012981415654073246,0.0037081981750900343,0.7487775346190257,29.823825544358947,0.0038715547578589077,0.03500734060352117,1.1689526454614668e-05,-0.011228451733089902,-0.012099829000407925,3
PRE2025_OOF_001729,PRE2025_OOF,NXPI,2021-04-13,2021-04-14,2021-11-08,POLICY_EXIT,CLOSED,0.0043858284210028,0.0116511208698289,145,6.673358246521137,0.0120474558576702,0.0091093174453227,0.0029381384123475,0.0003668169372578,0.0116518583515505,0.3415420525743814,0.0136230263319519,0.0,0.0104546764544606,0.1255840658277478,0.4896931507894648,1.2943605734884946,-0.0591523786967556,-0.0591523786967556,0.9056543295255532,0.4604023646071701,0.4652173913043478,0.7149122807017544,0.004907564814681,33.97727704400041,0.0043858284210028,POSITIVE_MOMENTUM,0.0116806389204124,0.0025713214750896,0.0017503389581252,0.000385311469893,2021-04-13,0.00014443667184765348,0.00325251109378571,0.6120033486091216,33.97727704400041,0.0049075648146810966,0.04440774149044904,2.152373724214127e-05,0.001750338958125257,0.00038531146989299517,4
PRE2025_OOF_001730,PRE2025_OOF,JD,2021-04-13,2021-04-14,2021-04-19,POLICY_EXIT,CLOSED,0.00356102160154,0.0094599900217091,3,0.0268018867901835,-0.0001368932708634,4.798331317252367e-05,-0.0001848765840359,1.8783205707922016e-05,0.0094605888112852,0.0006871469661161,0.0086354699305205,0.0,-0.0743567872570266,-0.116987967913134,-0.0224538339805667,0.8419825252101303,-0.2627244876602005,-0.2627244876602005,0.5712977663477508,0.8857456140350878,0.9434782608695652,0.0570175438596491,0.0032577663896897,36.77633143647647,0.00356102160154,REVERSAL_POSITIVE_1Y,-0.0001556764765713,-0.0002036597897439,-0.0058084148250492,-0.0075987109168191,2021-04-13,8.858323444568947e-05,0.0030595397721745778,0.8716547039863679,36.77633143647647,0.003257766389689775,0.02895312401274282,1.1600976486455998e-05,-0.005808414825045761,-0.0075987109168184665,4
PRE2025_OOF_001731,PRE2025_OOF,PBR,2021-04-13,2021-04-14,2021-04-16,POLICY_EXIT,CLOSED,0.0016711866498616,0.0044395712245237,2,0.0088227477639073,-4.5457178245266456e-05,5.427299497323676e-05,-9.973017321850322e-05,8.833851787051203e-06,0.0044398522363393,0.0,0.0043939995507118,0.0,0.0097678563701153,-0.2827406213347989,0.1882183282625451,0.2441274962175939,-0.2827406213347989,-0.2943685906353207,0.4356242219359589,0.842381769641495,0.908695652173913,0.0043859649122807,0.0024754116843593,30.92277832359117,0.0016711866498616,REVERSAL_POSITIVE_1Y,-5.4291030032317656e-05,-0.0001085640250055,-0.0061535285247998,-0.0123050128951521,2021-04-13,8.00513996011432e-05,0.0034072942915057865,0.6459430841760864,30.922778323591178,0.0024754116843593663,0.023494125470966014,4.136874959812679e-06,-0.006153528524799849,-0.012305012895146015,4
PRE2025_OOF_001732,PRE2025_OOF,FCX,2021-04-13,2021-04-14,2021-04-15,POLICY_EXIT,CLOSED,0.0019171607866862,0.0050930109225454,1,0.0050930109225454,0.0002132021042167,5.6005600844731055e-05,0.000157196503372,1.0399546321936466e-05,0.0050933332951742,0.0,0.0053062130267622,0.0,-0.0873918861375021,0.0543916552573575,0.9679111169229044,3.06385491325699,-0.1142335443027058,-0.1142335443027058,0.8581671582539373,0.6674675819984746,0.7304347826086957,0.4649122807017544,0.0024888360293037,29.17985140626555,0.0019171607866862,POSITIVE_MOMENTUM,0.0002028025578948,0.00014679695705,0.0398197767448462,0.0288232166163751,2021-04-13,8.529296447237449e-05,0.0036390070422145037,0.7303834332710916,29.17985140626555,0.002488836029303774,0.02343852690663379,4.771498839872839e-06,0.03981977674484208,0.028823216616357342,4
PRE2025_OOF_001733,PRE2025_OOF,INM,2021-04-15,2021-04-16,2021-04-23,POLICY_EXIT,CLOSED,0.0009745399743125,0.0026285165057873,5,0.0121991306364457,-0.000109095440904,-9.784050571199883e-06,-9.931139033281097e-05,5.147638721758767e-06,0.0026285933319313,0.0002206239158936,0.0022984214739337,0.0,-0.2836879432624113,-0.3018433179723502,,,-0.4336448598130841,-0.4379521424596549,0.0227649006622516,0.9836861591038542,1.0,0.0087336244541484,0.0024894852087069,27.81493040636372,0.0009745399743125,MIXED_OTHER,-0.0001142430796257,-0.0001044590290545,-0.0093648541875976,-0.0085628256773061,2021-04-15,8.950175939096918e-05,0.0034323238056848666,0.6975576946075661,27.81493040636372,0.0024894852087069185,0.026076140963952704,2.426102851344571e-06,-0.009364854187591969,-0.008562825677300464,1
PRE2025_OOF_001734,PRE2025_OOF,EOG,2021-04-16,2021-04-19,2021-04-26,POLICY_EXIT,CLOSED,0.0020408305209881,0.0054357142759519,5,0.0262986697259451,-0.0001117211471806,6.233577206595127e-05,-0.0001740569192465,1.0795960829694688e-05,0.0054359515482714,7.597805238406463e-05,0.0052840312290391,0.0,0.0291010260348436,0.1778250361811026,0.931966366951335,0.989042894831088,-0.05886550157652,-0.05886550157652,0.896937913622776,0.4599677235617999,0.4478260869565217,0.8296943231441049,0.0022150699719841,28.73693889410411,0.0020408305209881,POSITIVE_MOMENTUM,-0.0001225171080103,-0.0001848528800762,-0.0046586808111223,-0.007028982150146,2021-04-16,7.7080929884241e-05,0.0035362883426268907,0.7051178471561346,28.73693889410411,0.0022150699719841573,0.021797128066480667,4.520582404949407e-06,-0.004658680811122171,-0.007028982150143981,1
PRE2025_OOF_001735,PRE2025_OOF,INTU,2021-04-19,2021-04-20,2021-04-27,POLICY_EXIT,CLOSED,0.0047842457245362,0.0125950142294327,5,0.0632175657125197,0.0003571666937837,0.0002574160755667,9.975061821702148e-05,2.685413038644603e-05,0.0125955269427143,0.0028335910811708,0.0114250123625608,0.0,0.0566194464094234,0.0553185843599122,0.206607463574054,0.5259167346247993,-0.045924614780949,-0.045924614780949,0.8887881034153596,0.4734336434402886,0.4652173913043478,0.4410480349344978,0.0023765890431526,33.86287894357858,0.0048439899846703,POSITIVE_MOMENTUM,0.0003303125633972,7.289648783057544e-05,0.0052250123786698,0.0011531049481099,2021-04-19,7.018272271275074e-05,0.003197994337717831,0.6977970658749826,33.86287894357858,0.0023765890431526214,0.021945855840018434,1.1512173522708366e-05,0.005225012378668425,0.0011531049481099983,2
PRE2025_OOF_001736,PRE2025_OOF,JD,2021-04-19,2021-04-20,2021-08-25,POLICY_EXIT,CLOSED,0.0134965196120686,0.0355309627367229,89,3.506830023492305,0.0039926458661817,0.0043302629051292,-0.0003376170389474,0.0002281514414813,0.0355324091182966,0.1652447274475159,0.0273743049155422,0.0,-0.0945994473765446,-0.1908519229084112,-0.0539711083703209,0.6673886584923947,-0.2800337650590949,-0.2800337650590949,0.5430532507721417,0.9032276438200116,0.9608695652173912,0.0305676855895196,0.0117311506333882,37.02008986862267,0.0136650601981996,REVERSAL_POSITIVE_1Y,0.0037644944247004,-0.0005657684804288,0.0010734750186014,-0.0001613333057601,2021-04-19,0.0003168860657826582,0.003087720606037675,0.8932607083229587,37.02008986862267,0.01173115063338828,0.10262783010970122,0.00016030687959939712,0.0010734750186014142,-0.00016133330576010492,2
PRE2025_OOF_001737,PRE2025_OOF,AMAT,2021-04-22,2021-04-23,2021-04-26,POLICY_EXIT,CLOSED,0.0035226991305815,0.0093956722495287,1,0.0093956722495287,0.0001699934972995,6.633639880658842e-05,0.0001036570984929,1.896165740918006e-05,0.0093959916623516,0.0,0.0095656657468283,0.0,0.0879439963403674,0.2508298840537482,1.3096950527998907,1.5592116883884892,-0.0789932150664285,-0.0789932150664285,0.8831756671579366,0.341404025061705,0.3,0.9082969432314412,0.0049223453572025,33.28704081718696,0.0035226991305815,POSITIVE_MOMENTUM,0.0001510318398903,8.46954410838061e-05,0.0160746177473324,0.0090143034829736,2021-04-22,0.00014787572690033303,0.003229905920257163,0.7611845823553343,33.28704081718696,0.004922345357202578,0.0457832923160063,1.733994171023913e-05,0.016074617747322547,0.009014303482973721,1
