sample,entry_signal_date,current_new_positions,candidate_positive_positions,positive_fraction,observations,current_effective_n,candidate_effective_n,gross_entry_weight,minimum_variance,current_variance,candidate_variance,risk_ratio,current_alpha_daily,candidate_alpha_daily,alpha_uplift_daily
FINAL_HOLDOUT,2025-07-01,5,4,0.8,120,4.461160553494326,3.0144432920945228,0.069686847414541,2.9122272492387315e-06,3.986195616156121e-06,3.986195616159734e-06,1.0000000000009064,1.1224643405877831e-05,1.235227827763241e-05,1.1276348717545784e-06
FINAL_HOLDOUT,2025-07-02,7,7,1.0,120,4.467897735578125,2.2981279972774895,0.1164329449106546,7.17438137659252e-06,1.2392759923562502e-05,1.2392759923569129e-05,1.0000000000005347,2.793772154531214e-05,3.6200000746388945e-05,8.262279201076805e-06
FINAL_HOLDOUT,2025-07-09,9,3,0.3333333333333333,120,7.2870249275036505,2.508292047807758,0.118821927543877,6.74510912471314e-06,1.2137057661780702e-05,1.2137057661780972e-05,1.0000000000000222,1.9595327646477134e-05,2.482985169677551e-05,5.234524050298376e-06
FINAL_HOLDOUT,2025-07-30,5,4,0.8,120,4.328218780017835,1.5160999210539956,0.0559719322638388,1.3287507028039113e-06,1.6779193082510754e-06,1.6779193082541162e-06,1.0000000000018123,8.124686838120159e-06,1.021299357553984e-05,2.088306737419682e-06
FINAL_HOLDOUT,2025-08-11,5,1,0.2,120,4.174624785763346,1.0,0.0485988090329361,9.644194923230503e-07,1.2459551432381349e-06,1.218634705773166e-06,0.9780726957842437,6.205091959497675e-06,9.435662182539526e-06,3.230570223041851e-06
FINAL_HOLDOUT,2025-10-20,5,5,1.0,120,3.681663843804605,2.951707667173925,0.055823335244092206,1.5931032295521454e-06,2.8243350029029845e-06,2.8243350029046574e-06,1.0000000000005924,9.398213249973368e-06,1.0201462261671339e-05,8.032490116979706e-07
FINAL_HOLDOUT,2025-10-29,5,2,0.4,120,4.682358650519497,1.5826104198156152,0.0781308143510049,3.178262871643024e-06,7.650483236817938e-06,7.650483236825072e-06,1.0000000000009324,1.3375522869699316e-05,1.610999859811695e-05,2.7344757284176354e-06
FINAL_HOLDOUT,2025-10-31,5,3,0.6,120,3.9770523432496945,1.7028743933249226,0.1020069298864891,1.5796617379350637e-06,3.7335379852544715e-06,3.7335379852546524e-06,1.0000000000000484,2.745310902580495e-05,3.14876135860303e-05,4.034504560225346e-06
FINAL_HOLDOUT,2025-11-25,7,7,1.0,120,6.699709940837536,6.081946432094224,0.0517591510989733,3.577616836238527e-07,3.824391385611909e-07,3.824391385613966e-07,1.0000000000005378,4.212994377254203e-06,4.300527504138147e-06,8.753312688394463e-08
FINAL_HOLDOUT,2026-01-06,6,6,1.0,120,4.790888514640027,3.8940124587458564,0.11427878812638981,2.8191919837173436e-06,2.887355378574959e-06,2.8873553785856e-06,1.0000000000036853,2.926953619459143e-05,3.171400480028286e-05,2.44446860569143e-06
