metric,sample,scope,quintile,lifecycles,signal_dates,mean_exante_metric,mean_target_weight,mean_holding_sessions,exposure_nav_days,net_pnl_nav_units,net_active_pnl_nav_units,daily_net_on_exposure,daily_net_active_on_exposure,positive_pnl_rate,positive_active_rate
TARGET_WEIGHT,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,2,170,123,0.007624910259175759,0.007624910259175759,31.029411764705884,284.3844977688027,0.36116583581441175,-0.008513479425301443,0.001269991292239953,-2.99365102250499e-05,0.6352941176470588,0.49411764705882355
TARGET_WEIGHT,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,3,177,123,0.01148778169662143,0.01148778169662143,27.225988700564972,254.74904555107167,0.20823746977350058,-0.07021915180338156,0.0008174219821826711,-0.0002756404902380847,0.559322033898305,0.4745762711864407
TARGET_WEIGHT,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,4,170,123,0.017291752513224245,0.017291752513224245,51.13529411764706,639.0312621625144,0.8711378692480998,0.24827816490551796,0.0013632163570529003,0.0003885227211972885,0.5588235294117647,0.4647058823529412
TARGET_WEIGHT,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,5,224,123,0.03491773117786299,0.03491773117786299,31.174107142857142,555.9744317792725,1.0838094327628245,0.4494825062043446,0.001949387185476018,0.0008084589515490411,0.6205357142857143,0.47767857142857145
TARGET_WEIGHT,PRE2025_OOF,SPARSE_ENTRY_DATE,2,282,282,0.004604679982766512,0.004604679982766512,15.907801418439716,166.44700561969825,0.26342247511678374,0.07395478110045409,0.001582620691408875,0.0004443142778394439,0.5390070921985816,0.5035460992907801
TARGET_WEIGHT,PRE2025_OOF,SPARSE_ENTRY_DATE,3,425,425,0.006647483667856473,0.006647483667856473,16.19058823529412,272.74805364449884,0.3183346897835624,0.04674660225403454,0.0011671382637930073,0.00017139114882544422,0.5576470588235294,0.5505882352941176
TARGET_WEIGHT,PRE2025_OOF,SPARSE_ENTRY_DATE,4,282,282,0.010076469860881558,0.010076469860881558,21.56737588652482,360.489233988688,0.21485496106164834,-0.09335932178596043,0.0005960093695014215,-0.00025897950058860844,0.5602836879432624,0.5106382978723404
TARGET_WEIGHT,PRE2025_OOF,SPARSE_ENTRY_DATE,5,1023,1023,0.016804596843056328,0.016804596843056328,18.08993157380254,1428.078938502148,0.7886684484818405,-0.514818595591056,0.0005522583011475833,-0.00036049729585048543,0.570869990224829,0.501466275659824
EXPECTED_ALPHA,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,1,34,28,0.002821360786749629,0.006921684355908224,10.882352941176471,6.384473735302554,-0.0035151095704130412,-0.011597731713585299,-0.0005505715453063045,-0.0018165524982045672,0.38235294117647056,0.35294117647058826
EXPECTED_ALPHA,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,2,36,28,0.004034310037957116,0.00981173923488372,26.944444444444443,25.207037262044945,0.018677388909219782,0.0025525658978916965,0.0007409593089046975,0.00010126401890694143,0.6944444444444444,0.6388888888888888
EXPECTED_ALPHA,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,3,38,28,0.005562526101580145,0.013845572657470691,23.31578947368421,38.25562670126662,0.031861121766304845,-0.00883519780661946,0.0008328479890057569,-0.00023095158983049496,0.6052631578947368,0.631578947368421
EXPECTED_ALPHA,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,4,36,28,0.007399689311675385,0.018138784113844852,47.55555555555556,53.35165879962663,0.051605470361365736,-0.05089368668079548,0.000967270212819079,-0.0009539288529329036,0.5277777777777778,0.3611111111111111
EXPECTED_ALPHA,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,5,43,28,0.009925975003855652,0.024368109667723452,46.81395348837209,57.41094991582513,0.050418285818072645,-0.005431684088190984,0.0008781998188846379,-9.461059425344501e-05,0.5348837209302325,0.5348837209302325
EXPECTED_ALPHA,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,2,119,119,0.0025132923364271824,0.00646859840358998,10.747899159663865,36.3998385953084,0.05821254413100583,-0.0216852013740929,0.0015992528092833049,-0.0005957499321683233,0.5546218487394958,0.4789915966386555
