program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker
HONEYWELL INTERNATIONAL INC,8:1,8,1,8008,HON,HON
HOWMET AEROSPACE INC,1:1,1,1,8007,HWM,HWM
HP INC,1:1,1,1,8023,HPQ,HPQ
HSBC HOLDINGS PLC-SPONS ADR,2:1,2,1,8231,HSBC,HSBC
ICICI BANK LTD-SPON ADR,1:1,1,1,8370,IBN,IBN
INDUSTRIAL SELECT SECTOR SPDR FUND/THE,28:1,28,1,8670,XLI,XLI
INFOSYS LTD-SP ADR,1:1,1,1,8360,INFY,INFY
ING GROEP N.V.-SPONSORED ADR,3:1,3,1,8199,ING,ING
INTEL CORP,5:1,5,1,8025,INTC,INTC
INTERNATIONAL PAPER CO,4:1,4,1,8026,IP,IP
INTL BUSINESS MACHINES CORP,15:1,15,1,8024,IBM,IBM
INTL FLAVORS & FRAGRANCES,12:1,12,1,8118,IFF,IFF
INTUITIVE SURGICAL INC.,90:1,90,1,8650,ISRG,ISRG
ISHARES BITCOIN TRUST,10:1,10,1,8660,IBIT,IBIT
ISHARES CHINA LARGE-CAP ETF,5:1,5,1,8661,FXI,FXI
ISHARES CORE MSCI EUROPE ETF,11:1,11,1,8662,IEUR,IEUR
ISHARES NASDAQ BIOTECHNOLOGY ETF,27:1,27,1,8663,IBB,IBB
ISHARES S&P 500 GROWTH ETF,20:1,20,1,8666,IVW,IVW
ISHARES S&P 500 VALUE ETF,40:1,40,1,8665,IVE,IVE
ITAU UNIBANCO H-SPON PRF ADR,1:1,1,1,8514,ITUB,ITUB
JD.COM INC-ADR,4:1,4,1,8505,JD,JD
JOHNSON & JOHNSON,15:1,15,1,8027,JNJ,JNJ
JOHNSON CONTROLS INTERNATION,2:1,2,1,8169,JCI,JCI
JOYY INC,5:1,5,1,8508,YY,YY
JPMORGAN CHASE & CO,15:1,15,1,8028,JPM,JPM
KB FINANCIAL GROUP INC-ADR,2:1,2,1,8410,KB,KB
KIMBERLY-CLARK CORP,6:1,6,1,8122,KMB,KMB
KINROSS GOLD CORP,1:1,1,1,8417,KGC,KGC
KONINKLIJKE PHILIPS NVR- NY,5:1,5,1,8059,PHG,PHG
KOREA ELEC POWER CORP-SP ADR,1:1,1,1,8409,KEP,KEP
LAM RESEARCH CORP,56:1,56,1,8565,LRCX,LRCX
LAS VEGAS SANDS CORP,2:1,2,1,8436,LVS,LVS
LITHIUM AMERICAS CORP,1:1,1,1,8593,LAC,LAC
LITHIUM ARGENTINA AG.,1:1,1,1,8651,LAR,LAR
LLOYDS BANKING GROUP PLC-ADR,2:1,2,1,8250,LYG,LYG
LOCKHEED MARTIN CORP,20:1,20,1,8125,LMT,LMT
LUKOIL PJSC-SPON ADR,4:1,4,1,8378,LKOD,LUKOY
MARSH & MCLENNAN COS,16:1,16,1,8135,MMC,MMC
MARVELL TECHNOLOGY INC,14:1,14,1,8594,MRVL,MRVL
MATERIALS SELECT SECTOR SPDR FUND/THE,18:1,18,1,8669,XLB,XLB
MASTERCARD INC - A,33:1,33,1,8537,MA,MA
MCDONALD'S CORP,24:1,24,1,8030,MCD,MCD
MCEWEN MINING INC,2:1,2,1,8595,MUX,MUX
MEDTRONIC PLC,4:1,4,1,8133,MDT,MDT
MERCADOLIBRE INC,120:1,120,1,8444,MELI,MELI
MERCEDES-BENZ GROUP AG,4:1,4,1,8188,MBG,MBG
MERCK & CO. INC.,5:1,5,1,8031,MRK,MRK
META PLATFORMS INC.,24:1,24,1,8467,META,META
MICROSOFT CORP,30:1,30,1,8032,MSFT,MSFT
MITSUBISHI UFJ FINL-SPON ADR,1:1,1,1,8182,MUFG,MUFG
MIZUHO FINANCIAL GROUP-ADR,1:1,1,1,8395,MFG,MFG
MOBILE TELESYSTEMS-SP ADR,2:1,2,1,8372,MBT,MBT
MODERNA INC.,19:1,19,1,8637,MRNA,MRNA
"MONDELEZ INTERNATIONAL, INC.",15:1,15,1,8632,MDLZ,MDLZ
MOTOROLA SOLUTIONS INC,20:1,20,1,8034,MSI,MSI
NATIONAL GRID PLC-SP ADR,2:1,2,1,8266,NGG,NGG
NEC CORP,1:3,1,3,8304,NEC1,NEC1
NETEASE INC-ADR,14:1,14,1,8506,NTES,NTES
NETFLIX INC,48:1,48,1,8474,NFLX,NFLX
NEWMONT CORP,3:1,3,1,8261,NEM,NEM
NEXGEN ENERGY LTD,1:1,1,1,8652,NXE,NXE
NIKE INC -CL B,12:1,12,1,8139,NKE,NKE
NIO INC.,4:1,4,1,8559,NIO,NIO
NISSAN MOTOR CO LTD-SPON ADR,1:1,1,1,8299,NSAN,NSANY
NOKIA CORP-SPON ADR,1:1,1,1,8057,NOKA,NOK
NOMURA HOLDINGS INC-SPON ADR,1:1,1,1,8298,NMR,NMR
NOVAGOLD RESOURCES INC,1:4,1,4,8482,NG,NG
NOVARTIS AG-SPONSORED ADR,4:1,4,1,8251,NVS,NVS
NOVOLIPETSK STEEL PJSC-GDR,2:1,2,1,8398,NLM,NLMK
NU HOLDINGS LTD/CAYMAN ISLANDS,2:1,2,1,8596,NU,NU
NUCOR CORP,16:1,16,1,8140,NUE,NUE
NVIDIA CORP,24:1,24,1,8469,NVDA,NVDA
O'REILLY AUTOMOTIVE INC.,222:1,222,1,8653,ORLY,ORLY
ORACLE CORP,3:1,3,1,8142,ORCL,ORCL
ORANGE-SPON ADR,1:1,1,1,8192,ORANY,ORANY
PACCAR INC,3:1,3,1,8144,PCAR,PCAR
PAGSEGURO DIGITAL LTD,3:1,3,1,8597,PAGS,PAGS
PALANTIR TECHNOLOGIES INC,3:1,3,1,8598,PLTR,PLTR
PAN AMERICAN SILVER CORP,3:1,3,1,8538,PAAS,PAAS
PANASONIC CORP-SPON ADR,2:1,2,1,8201,PCRF,PCRFY
PAYPAL HOLDINGS INC,8:1,8,1,8477,PYPL,PYPL
PEARSON PLC-SPONSORED ADR,1:1,1,1,8362,PSO,PSO
PEPSICO INC,18:1,18,1,8146,PEP,PEP
PETROCHINA CO LTD -ADR,4:1,4,1,8361,PTRCY,PTRCY
PETROLEO BRASILEIRO-SPON ADR,1:1,1,1,8526,PBR,PBR
PFIZER INC,4:1,4,1,8147,PFE,PFE
PHILIP MORRIS INTERNATIONAL INC.,18:1,18,1,8630,PM,PM
PHILLIPS 66,6:1,6,1,8539,PSX,PSX
PINTEREST INC.,7:1,7,1,8646,PINS,PINS
PITNEY BOWES INC,1:1,1,1,8143,PBI,PBI
POSCO HONDINGS INC,3:1,3,1,8411,PKS,PKX
PROCTER & GAMBLE CO/THE,15:1,15,1,8037,PG,PG
QUALCOMM INC,11:1,11,1,8151,QCOM,QCOM
REAL ESTATE SELECT SECTOR SPDR FUND/THE,9:1,9,1,8674,XLRE,XLRE
RIO TINTO PLC-SPON ADR,8:1,8,1,8267,RIO,RIO
RIOT PLATFORMS INC.,3:1,3,1,8642,RIOT,RIOT
ROKU INC.,13:1,13,1,8643,ROKU,ROKU
ROSS STORES INC,4:1,4,1,8492,ROST,ROST
RTX CORPORATION,5:1,5,1,8042,RTX,RTX
SALESFORCE INC,18:1,18,1,8478,CRM,CRM
SAMSUNG ELECTR-GDR REG S,14:1,14,1,8413,SMSN,SMSN
