ticker,provider_symbol,status,rows,last_date
SYK,SYK,OK,32,2026-09-15
T,T,OK,32,2026-09-15
TEAM,TEAM,OK,32,2026-09-15
TGT,TGT,OK,32,2026-09-15
TJX,TJX,OK,32,2026-09-15
TM,TM,OK,32,2026-09-15
TMO,TMO,OK,32,2026-09-15
TMUS,TMUS,OK,32,2026-09-15
TSLA,TSLA,OK,32,2026-09-15
TSM,TSM,OK,32,2026-09-15
TTWO,TTWO,OK,32,2026-09-15
TXN,TXN,OK,32,2026-09-15
UBER,UBER,OK,32,2026-09-15
UL,UL,OK,32,2026-09-15
UNH,UNH,OK,32,2026-09-15
UNP,UNP,OK,32,2026-09-15
UPS,UPS,OK,32,2026-09-15
USB,USB,OK,32,2026-09-15
V,V,OK,32,2026-09-15
VALE,VALE,OK,32,2026-09-15
VIST,VIST,OK,32,2026-09-15
VLO,VLO,OK,32,2026-09-15
VRTX,VRTX,OK,32,2026-09-15
VZ,VZ,OK,32,2026-09-15
WFC,WFC,OK,32,2026-09-15
WM,WM,OK,32,2026-09-15
WMB,WMB,OK,32,2026-09-15
WMT,WMT,OK,32,2026-09-15
XOM,XOM,OK,32,2026-09-15
YPF,YPF,OK,32,2026-09-15
ZTS,ZTS,OK,32,2026-09-15
