strategy,sample,model,months,alpha_ann,alpha_hac_t,p_value_normal_approx,residual_vol_ann,r2,p_holm_across_v10_strategies
RG_SY_EQUAL,FULL,FF5,149,0.05400214145684594,2.5081995365007916,0.01213481208990079,0.08757190203032866,0.7801216346525772,
RG_SY_EQUAL,FULL,FF5_MOM,149,0.06433960680202283,3.01452986768796,0.0025737786798453004,0.08543241345269464,0.7907341869452074,0.007721336039535901
SY_ONLY,PRE2021,CAPM,83,0.055762040538484166,1.0733659497934283,0.2831069557393108,0.13725356622678278,0.6264230650882601,
SY_ONLY,PRE2021,FF3,83,0.07364194782951254,1.3956637419976725,0.16281577769347044,0.13453849429657333,0.6410566551787702,
SY_ONLY,PRE2021,FF5,83,0.0738021649724814,1.3944539782226575,0.16318055771302398,0.13210128201218696,0.6539436328017586,
SY_ONLY,PRE2021,FF5_MOM,83,0.07591768378540781,1.4951607161777782,0.13487250315207233,0.12503558442577611,0.6899726298234297,
SY_ONLY,POST2021,CAPM,66,0.0632567167860887,1.207779956215017,0.22713191327717708,0.10851119112598324,0.6226622192481237,
SY_ONLY,POST2021,FF3,66,0.019251851907690867,0.41264189364974596,0.6798690027246019,0.09608666267046692,0.7041255603656215,
SY_ONLY,POST2021,FF5,66,0.023553255145028294,0.5331255708113507,0.5939466592328099,0.08871371760067741,0.7477897182064567,
SY_ONLY,POST2021,FF5_MOM,66,0.04516708219613566,1.117438434101758,0.26380690955654607,0.08289525194608027,0.7797882231962671,
SY_ONLY,FULL,CAPM,149,0.06138911821799567,1.6262890266408554,0.10388818503604434,0.12688970415885817,0.613927332634489,
SY_ONLY,FULL,FF3,149,0.05807180879649053,1.6884603830785851,0.09132288770522784,0.12064201104083448,0.6510096466148407,
SY_ONLY,FULL,FF5,149,0.05484763835778368,1.637088189424575,0.10161204400303733,0.11797641699420514,0.6662612069302711,
SY_ONLY,FULL,FF5_MOM,149,0.0758065757600197,2.3197945059842686,0.020351996432830845,0.11134143999141717,0.7027444622863293,0.020351996432830845
TREND_ONLY,PRE2021,CAPM,83,0.10950077315319968,3.712447167992668,0.0002052649170516211,0.08430669703312905,0.7848525512834849,
TREND_ONLY,PRE2021,FF3,83,0.08609820565787342,2.941112475942757,0.0032703576104992416,0.0781747935161969,0.8150111568979173,
TREND_ONLY,PRE2021,FF5,83,0.0881854682273886,2.998966784172823,0.0027089683816081274,0.07760157479473122,0.8177140818754929,
TREND_ONLY,PRE2021,FF5_MOM,83,0.08785373843584707,2.9124238895812664,0.003586355874661115,0.0773131970580318,0.81906636183367,
TREND_ONLY,POST2021,CAPM,66,0.05381608818498473,1.2515937814911924,0.21071792167421866,0.11597109775651919,0.6495666222531356,
TREND_ONLY,POST2021,FF3,66,0.055491276025996954,1.1681804781815632,0.24273397324805457,0.11237998837204234,0.670933331682289,
TREND_ONLY,POST2021,FF5,66,0.055583394144829455,1.3073539227309268,0.1910925385936787,0.10742183416935465,0.6993293368949232,
TREND_ONLY,POST2021,FF5_MOM,66,0.03383357347079176,0.8067386986283506,0.4198170435004469,0.10260772363439757,0.7256745917554119,
TREND_ONLY,FULL,CAPM,149,0.0851385606279766,3.3052024400397495,0.0009490782172166201,0.09972663611610139,0.7184443246080323,
TREND_ONLY,FULL,FF3,149,0.09437498169810139,3.561011473242322,0.00036942893863288684,0.09796761603209554,0.7282891220876262,
TREND_ONLY,FULL,FF5,149,0.0962070584728616,3.9560153935654334,7.621025234340116e-05,0.09547936262494354,0.7419160671270795,
TREND_ONLY,FULL,FF5_MOM,149,0.08353295349366233,3.2306020832689906,0.0012352978333455159,0.09251986974489279,0.7576673278872164,0.006176489166727579
