signal_date,execution_date,interval_end,status,gross_return,turnover,cost_return,net_return_approx,weighted_price_coverage
2015-05-15,2015-05-18,2015-05-26,OK,-0.029087956078857075,0.004560585523453623,9.121171046907247e-05,-0.029176514627098138,1.0
2015-05-22,2015-05-26,2015-06-01,OK,0.004149091341629141,0.0980085674839089,0.001960171349678178,0.0021807870619758862,1.0
2015-05-29,2015-06-01,2015-06-08,OK,-0.005304343458082148,0.2760688581936009,0.005521377163872018,-0.010796433341115352,1.0
2015-06-05,2015-06-08,2015-06-15,OK,0.016260956416466885,0.1384385678384389,0.002768771356768778,0.01344716218933839,1.0
2015-06-12,2015-06-15,2015-06-22,OK,0.026309521288299952,0.18672575763468074,0.003734515152693615,0.02247675282969519,1.0
2015-06-19,2015-06-22,2015-06-29,OK,-0.023610691066251133,0.04538822747185201,0.0009077645494370403,-0.024497022667350543,1.0
2015-06-26,2015-06-29,2015-07-06,OK,-0.008064727177569285,0.20366709462356936,0.004073341892471387,-0.012105218678976959,1.0
2015-07-02,2015-07-06,2015-07-13,OK,0.03383650985404897,0.09002424807933815,0.001800484961586763,0.031975102765317454,1.0
2015-07-10,2015-07-13,2015-07-20,OK,0.005750421401923587,0.08680199468027852,0.0017360398936055704,0.004004398547359012,1.0
2015-07-17,2015-07-20,2015-07-27,OK,-0.04437909319988294,0.10829646583680014,0.002165929316736003,-0.046448900537607196,1.0
2015-07-24,2015-07-27,2015-08-03,OK,0.0310693396671798,0.08984623250173998,0.0017969246500347997,0.029216585754836766,1.0
2015-07-31,2015-08-03,2015-08-10,OK,0.02628828618574562,0.05036497861377314,0.0010072995722754628,0.02525450643403948,1.0
2015-08-07,2015-08-10,2015-08-17,OK,0.004921352991961417,2.7255019549241033e-07,5.451003909848206e-09,0.004921347514131202,1.0
2015-08-14,2015-08-17,2015-08-24,OK,-0.13544074754930902,8.930225417681792e-06,1.7860450835363585e-07,-0.13544090196348924,1.0
2015-08-21,2015-08-24,2015-08-31,OK,0.08832451571540609,0.13026528524091788,0.002605305704818358,0.08548909764591905,1.0
2015-08-28,2015-08-31,2015-09-08,OK,-0.0459408005993011,0.18233010527145688,0.0036466021054291377,-0.049419874884539694,1.0
2015-09-04,2015-09-08,2015-09-14,OK,-0.01152681162609687,5.898281552063622e-08,1.1796563104127244e-09,-0.011526812792155505,1.0
2015-09-11,2015-09-14,2015-09-21,OK,0.021343220415394066,0.04004943795096401,0.0008009887590192802,0.020525135976740883,1.0
2015-09-18,2015-09-21,2015-09-28,OK,-0.05851638259598231,3.267264810785653e-08,6.534529621571306e-10,-0.058516383211197565,1.0
2015-09-25,2015-09-28,2015-10-05,OK,0.10260359844501796,1.0144515328078946e-05,2.028903065615789e-07,0.10260337473743597,1.0
2015-10-02,2015-10-05,2015-10-12,OK,0.032853959354455065,0.0016900010981673562,3.3800021963347124e-05,0.032819048867943845,1.0
2015-10-09,2015-10-12,2015-10-19,OK,-0.04281073523255577,0.041724358149003285,0.0008344871629800657,-0.043609497386546514,1.0
2015-10-16,2015-10-19,2015-10-26,OK,-7.200520530442015e-05,0.04251540407129206,0.0008503080814258413,-0.0009222520601221973,1.0
2015-10-23,2015-10-26,2015-11-02,OK,0.019680636873287798,0.07949504132417665,0.0015899008264835329,0.018059445785973738,1.0
2015-10-30,2015-11-02,2015-11-09,OK,-0.008581087753443871,0.2037421332641582,0.004074842665283164,-0.012620963836234789,1.0
2015-11-06,2015-11-09,2015-11-16,OK,-0.016798824468825788,2.61567338633098e-05,5.23134677266196e-07,-0.016799338815455367,1.0
2015-11-13,2015-11-16,2015-11-23,OK,0.036918449747250254,0.3184219976320222,0.006368439952640445,0.03031489686424993,1.0
