date,segment,v13_ideal_nav,byma_model_nav,personal_portfolio_nav,v13_ideal_index_100,byma_model_index_100,v13_ideal_value_usd,byma_model_value_usd
2022-11-22,PRE2025,2.7873592599,2.2619306966,,278.7359259910,226.1930696556,2787.3592599103,2261.9306965563
2022-11-23,PRE2025,2.8110285825,2.2879361115,,281.1028582548,228.7936111452,2811.0285825478,2287.9361114524
2022-11-25,PRE2025,2.8002764583,2.2839904147,,280.0276458335,228.3990414657,2800.2764583355,2283.9904146571
2022-11-28,PRE2025,2.7506894022,2.2510211349,,275.0689402232,225.1021134938,2750.6894022317,2251.0211349376
2022-11-29,PRE2025,2.7506725911,2.2654724797,,275.0672591076,226.5472479689,2750.6725910756,2265.4724796891
2022-11-30,PRE2025,2.8606898038,2.3660619746,,286.0689803840,236.6061974639,2860.6898038402,2366.0619746392
2022-12-01,PRE2025,2.9032845476,2.3798906812,,290.3284547598,237.9890681181,2903.2845475984,2379.8906811815
2022-12-02,PRE2025,2.8716774560,2.3675949897,,287.1677455956,236.7594989687,2871.6774559556,2367.5949896866
2022-12-05,PRE2025,2.7934758864,2.3099842835,,279.3475886438,230.9984283522,2793.4758864381,2309.9842835223
2022-12-06,PRE2025,2.7387992521,2.2676200971,,273.8799252089,226.7620097104,2738.7992520895,2267.6200971044
2022-12-07,PRE2025,2.7437556178,2.2434543549,,274.3755617754,224.3454354859,2743.7556177539,2243.4543548594
2022-12-08,PRE2025,2.7957406782,2.2642559312,,279.5740678211,226.4255931212,2795.7406782108,2264.2559312124
2022-12-09,PRE2025,2.7839841967,2.2678162467,,278.3984196689,226.7816246720,2783.9841966886,2267.8162467200
2022-12-12,PRE2025,2.8325182351,2.3007916540,,283.2518235053,230.0791653976,2832.5182350528,2300.7916539762
2022-12-13,PRE2025,2.8638316091,2.3157217412,,286.3831609150,231.5721741234,2863.8316091498,2315.7217412341
2022-12-14,PRE2025,2.8407843640,2.3041649759,,284.0784364000,230.4164975947,2840.7843640000,2304.1649759473
2022-12-15,PRE2025,2.7472839793,2.2274366544,,274.7283979305,222.7436654413,2747.2839793053,2227.4366544126
2022-12-16,PRE2025,2.7322455737,2.2179347852,,273.2245573738,221.7934785245,2732.2455737382,2217.9347852450
2022-12-19,PRE2025,2.7065358002,2.2190980388,,270.6535800245,221.9098038782,2706.5358002446,2219.0980387820
2022-12-20,PRE2025,2.7170003977,2.2337264768,,271.7000397651,223.3726476795,2717.0003976510,2233.7264767955
2022-12-21,PRE2025,2.7490883203,2.2612403394,,274.9088320284,226.1240339428,2749.0883202844,2261.2403394280
2022-12-22,PRE2025,2.6861655589,2.2172199356,,268.6165558898,221.7219935613,2686.1655588982,2217.2199356134
2022-12-23,PRE2025,2.6899447989,2.2296459972,,268.9944798941,222.9645997213,2689.9447989414,2229.6459972128
2022-12-27,PRE2025,2.6931406738,2.2137385664,,269.3140673756,221.3738566394,2693.1406737564,2213.7385663935
2022-12-28,PRE2025,2.6655525011,2.1968326125,,266.5552501072,219.6832612518,2665.5525010723,2196.8326125181
2022-12-29,PRE2025,2.6240423202,2.2402317433,,262.4042320246,224.0231743277,2624.0423202465,2240.2317432772
2022-12-30,PRE2025,2.5701476458,2.2449012966,,257.0147645796,224.4901296638,2570.1476457961,2244.9012966381
2023-01-03,PRE2025,2.5701476458,2.2228892770,,257.0147645796,222.2889277007,2570.1476457961,2222.8892770070
2023-01-04,PRE2025,2.5676533059,2.2628653707,,256.7653305881,226.2865370687,2567.6533058813,2262.8653706865
2023-01-05,PRE2025,2.5944807809,2.3109573125,,259.4480780887,231.0957312549,2594.4807808873,2310.9573125486
2023-01-06,PRE2025,2.6589532629,2.3760588783,,265.8953262875,237.6058878289,2658.9532628746,2376.0588782887
2023-01-09,PRE2025,2.6911892221,2.4030845206,,269.1189222066,240.3084520622,2691.1892220660,2403.0845206218
2023-01-10,PRE2025,2.7156280150,2.4166661697,,271.5628015006,241.6666169743,2715.6280150061,2416.6661697429
2023-01-11,PRE2025,2.7447194946,2.4356249285,,274.4719494609,243.5624928466,2744.7194946090,2435.6249284661
2023-01-12,PRE2025,2.7958667909,2.4924910974,,279.5866790931,249.2491097360,2795.8667909313,2492.4910973602
2023-01-13,PRE2025,2.8216941671,2.5273101016,,282.1694167058,252.7310101634,2821.6941670581,2527.3101016337
2023-01-17,PRE2025,2.8438821367,2.5522527617,,284.3882136652,255.2252761705,2843.8821366520,2552.2527617048
2023-01-18,PRE2025,2.7989721565,2.4990440579,,279.8972156540,249.9044057854,2798.9721565404,2499.0440578543
2023-01-19,PRE2025,2.7818731665,2.4860288294,,278.1873166495,248.6028829415,2781.8731664951,2486.0288294147
2023-01-20,PRE2025,2.8573642740,2.5560944081,,285.7364274049,255.6094408080,2857.3642740489,2556.0944080804
2023-01-23,PRE2025,2.9093686317,2.5985153107,,290.9368631670,259.8515310726,2909.3686316700,2598.5153107263
2023-01-24,PRE2025,2.9177565689,2.6032586915,,291.7756568933,260.3258691539,2917.7565689334,2603.2586915393
2023-01-25,PRE2025,2.9381929788,2.6350182594,,293.8192978821,263.5018259361,2938.1929788214,2635.0182593609
2023-01-26,PRE2025,2.9999190482,2.6574841409,,299.9919048231,265.7484140865,2999.9190482308,2657.4841408654
2023-01-27,PRE2025,2.9606680172,2.6114950270,,296.0668017242,261.1495027001,2960.6680172423,2611.4950270006
2023-01-30,PRE2025,2.9048994837,2.5651960721,,290.4899483741,256.5196072117,2904.8994837407,2565.1960721167
2023-01-31,PRE2025,2.9389142139,2.5826280600,,293.8914213916,258.2628060003,2938.9142139157,2582.6280600026
2023-02-01,PRE2025,2.9632145926,2.5912887802,,296.3214592604,259.1288780205,2963.2145926044,2591.2887802053
2023-02-02,PRE2025,2.9771061859,2.5965273236,,297.7106185876,259.6527323648,2977.1061858757,2596.5273236476
2023-02-03,PRE2025,2.9422872417,2.5626114697,,294.2287241681,256.2611469745,2942.2872416807,2562.6114697453
2023-02-06,PRE2025,2.9203297420,2.5573197680,,292.0329741978,255.7319768032,2920.3297419779,2557.3197680317
2023-02-07,PRE2025,2.9933159431,2.5960173952,,299.3315943057,259.6017395162,2993.3159430571,2596.0173951621
2023-02-08,PRE2025,2.9880049242,2.5990432123,,298.8004924228,259.9043212321,2988.0049242285,2599.0432123214
2023-02-09,PRE2025,2.9744182017,2.5868144858,,297.4418201741,258.6814485788,2974.4182017413,2586.8144857880
2023-02-10,PRE2025,2.9895160834,2.5951900772,,298.9516083368,259.5190077160,2989.5160833684,2595.1900771603
2023-02-13,PRE2025,3.0360667128,2.6418676345,,303.6066712790,264.1867634529,3036.0667127903,2641.8676345295
2023-02-14,PRE2025,3.0675445729,2.6635318933,,306.7544572879,266.3531893296,3067.5445728792,2663.5318932963
2023-02-15,PRE2025,3.0685561040,2.6656747190,,306.8556104043,266.5674719041,3068.5561040430,2665.6747190407
2023-02-16,PRE2025,3.0365151040,2.6496870511,,303.6515103993,264.9687051096,3036.5151039926,2649.6870510961
2023-02-17,PRE2025,2.9922761684,2.6169093218,,299.2276168378,261.6909321751,2992.2761683777,2616.9093217511
2023-02-21,PRE2025,2.9583447104,2.5829464257,,295.8344710443,258.2946425722,2958.3447104435,2582.9464257218
2023-02-22,PRE2025,2.9567060942,2.5853133163,,295.6706094235,258.5313316323,2956.7060942351,2585.3133163230
2023-02-23,PRE2025,2.9875566031,2.6151865115,,298.7556603086,261.5186511538,2987.5566030861,2615.1865115375
2023-02-24,PRE2025,2.9506978878,2.5917316883,,295.0697887847,259.1731688304,2950.6978878472,2591.7316883037
2023-02-27,PRE2025,2.9813174066,2.6179769830,,298.1317406647,261.7976982951,2981.3174066474,2617.9769829507
2023-02-28,PRE2025,2.9725293676,2.6112271067,,297.2529367569,261.1227106694,2972.5293675686,2611.2271066939
2023-03-01,PRE2025,3.0125287855,2.6444743378,,301.2528785485,264.4474337757,3012.5287854849,2644.4743377569
2023-03-02,PRE2025,3.0189115432,2.6386468351,,301.8911543180,263.8646835090,3018.9115431803,2638.6468350896
2023-03-03,PRE2025,3.0657409714,2.6703237771,,306.5740971391,267.0323777132,3065.7409713909,2670.3237771323
2023-03-06,PRE2025,3.0582779745,2.6697895498,,305.8277974546,266.9789549763,3058.2779745465,2669.7895497626
2023-03-07,PRE2025,3.0208832023,2.6267474389,,302.0883202312,262.6747438860,3020.8832023124,2626.7474388600
2023-03-08,PRE2025,3.0552785573,2.6592605762,,305.5278557349,265.9260576239,3055.2785573488,2659.2605762391
2023-03-09,PRE2025,3.0069306826,2.6227504618,,300.6930682649,262.2750461833,3006.9306826486,2622.7504618326
2023-03-10,PRE2025,2.9314997044,2.5511942600,,293.1499704410,255.1194260002,2931.4997044101,2551.1942600019
2023-03-13,PRE2025,2.8901483923,2.5057824389,,289.0148392291,250.5782438941,2890.1483922911,2505.7824389409
2023-03-14,PRE2025,2.9322232397,2.5278823125,,293.2223239710,252.7882312471,2932.2232397101,2527.8823124711
2023-03-15,PRE2025,2.8334443231,2.4296723409,,283.3444323054,242.9672340934,2833.4443230544,2429.6723409344
2023-03-16,PRE2025,2.9058554036,2.4859458862,,290.5855403587,248.5945886179,2905.8554035867,2485.9458861785
2023-03-17,PRE2025,2.8710784682,2.4548107293,,287.1078468225,245.4810729341,2871.0784682248,2454.8107293412
2023-03-20,PRE2025,2.8889545822,2.4638353266,,288.8954582217,246.3835326633,2888.9545822166,2463.8353266326
2023-03-21,PRE2025,2.9394542218,2.5094969594,,293.9454221765,250.9496959415,2939.4542217654,2509.4969594153
2023-03-22,PRE2025,2.8908338689,2.4711230988,,289.0833868924,247.1123098849,2890.8338689237,2471.1230988494
2023-03-23,PRE2025,2.9093968805,2.4702222878,,290.9396880458,247.0222287766,2909.3968804579,2470.2222877661
2023-03-24,PRE2025,2.9012729235,2.4706356466,,290.1272923489,247.0635646619,2901.2729234886,2470.6356466187
2023-03-27,PRE2025,2.9437851756,2.5315531804,,294.3785175582,253.1553180372,2943.7851755817,2531.5531803717
2023-03-28,PRE2025,2.9717759458,2.5713291399,,297.1775945806,257.1329139856,2971.7759458056,2571.3291398559
2023-03-29,PRE2025,3.0168170739,2.6127371808,,301.6817073901,261.2737180751,3016.8170739010,2612.7371807514
2023-03-30,PRE2025,3.0490707763,2.6529122714,,304.9070776308,265.2912271408,3049.0707763085,2652.9122714077
2023-03-31,PRE2025,3.0800975541,2.6550657463,,308.0097554084,265.5065746307,3080.0975540838,2655.0657463068
2023-04-03,PRE2025,3.0935825862,2.6784675678,,309.3582586202,267.8467567843,3093.5825862016,2678.4675678430
2023-04-04,PRE2025,3.0359923696,2.6333555208,,303.5992369603,263.3355520837,3035.9923696031,2633.3555208366
2023-04-05,PRE2025,3.0342733924,2.6331478197,,303.4273392414,263.3147819672,3034.2733924137,2633.1478196724
2023-04-06,PRE2025,3.0163287574,2.6271306168,,301.6328757442,262.7130616816,3016.3287574421,2627.1306168157
2023-04-10,PRE2025,3.0549979906,2.6627047491,,305.4997990557,266.2704749129,3054.9979905572,2662.7047491290
2023-04-11,PRE2025,3.0764373959,2.7031774028,,307.6437395901,270.3177402804,3076.4373959006,2703.1774028037
