ticker,phase3z_target_weight_total_nav,expected_active_total,effective_horizon_sessions,ret_20d,ret_60d,ret_120d,ret_252d,dd_60d,dd_252d,range_position_252d,reversal_signature_score,historical_audit_class
MDB,0.0283513054893302,0.0264258612837222,37.5415693653307,-0.2330771667793465,0.0384163125778338,0.3869275018226294,0.081643613152988,-0.2330771667793465,-0.2330771667793465,0.5531378910947187,0.6693989071038251,POSITIVE_MOMENTUM
NXPI,0.0269556326686798,0.0076236890982756,26.34362308357846,0.0203095656966163,-0.2161424294905539,0.2470858144295009,0.0982565719210117,-0.2654911084754625,-0.2863118907732538,0.3660559392557954,0.6994535519125683,SHORT_PULLBACK_POSITIVE_1Y
ADSK,0.0264867380627547,0.0118655046078952,39.8116417142798,-0.1766165260806643,0.0547223594521444,-0.143513894948725,-0.3440395246948289,-0.2150195711545824,-0.3461798821833174,0.1799620499608015,0.7704918032786885,DEEP_REVERSAL_BROKEN_1Y
MELI,0.0252164199273556,0.0066656256061924,37.89195956875791,0.0378066430286818,0.1333807493811278,0.1599317649225613,-0.1922613536007985,-0.0544259203865602,-0.2443677075971229,0.3635910725187563,0.4754098360655738,MIXED_OTHER
UPS,0.0224855231580329,0.0031763323342529,31.756894460398364,-0.0346896008458134,-0.0739968387150044,0.0807032649425383,0.2745014192802193,-0.1345662302856189,-0.1345662302856189,0.5937594106467846,0.5669398907103824,MIXED_OTHER
LAR,0.0222553588180592,0.0183008503939711,36.97347447818348,-0.1333333474618417,-0.3918918945712039,0.0138648048475744,0.8512657423218846,-0.3918918945712039,-0.5038168003765517,0.3226909840206268,0.9166666666666669,SHORT_PULLBACK_POSITIVE_1Y
ON,0.0164049542491225,0.0198319190273777,37.30524344336753,-0.0664541237271557,-0.3561099417365883,0.2848464655116531,0.5819654622881161,-0.4212086839732609,-0.4314940375307214,0.3508929683163716,0.8415300546448088,SHORT_PULLBACK_POSITIVE_1Y
AMD,0.0152354165673102,0.013956878234103,35.955483425692144,0.0685699974070073,0.0174259224289607,1.563602047328848,2.2351136179198674,-0.1115146429851384,-0.1115146429851384,0.8476625621440272,0.2978142076502732,POSITIVE_MOMENTUM
MCHP,0.015013352268419,0.0109818177982917,39.77456578703358,-0.0391759246416054,-0.2194245782238255,0.1913780640138003,0.1761424604641639,-0.273231169404147,-0.273231169404147,0.4865207753805224,0.7308743169398907,SHORT_PULLBACK_POSITIVE_1Y
KMB,0.0144467072578633,0.0026785420595289,43.25625898038994,-0.10273020132206,-0.0474898046219047,0.0253774751375364,-0.1940114453518967,-0.1343231045060869,-0.2031004873675795,0.229458501503366,0.7527322404371585,DEEP_REVERSAL_BROKEN_1Y
FCX,0.0105398134384801,0.0045044193672814,32.48932040094935,0.0634445271225367,0.0155737220573199,0.3706925676172785,0.6005794898630081,-0.1106244970862989,-0.1106244970862989,0.8033188961297935,0.3237704918032786,POSITIVE_MOMENTUM
CAT,0.0096995816602459,0.002971209483763,31.17925884223488,-0.0421600389550861,-0.1326036911513288,0.2067469200015153,0.9529887397115132,-0.2298915487645834,-0.2298915487645834,0.6204386779743482,0.6639344262295082,SHORT_PULLBACK_POSITIVE_1Y
AMAT,0.0077868256006078,0.0093392169674008,35.43836503771201,-0.1451001926262506,-0.1957866372184321,0.2814267841741189,1.8088044080062848,-0.3679417499177511,-0.3679417499177511,0.5252196011480951,0.8333333333333333,SHORT_PULLBACK_POSITIVE_1Y
MU,0.0073107102034688,0.0146203816946042,43.23562064461519,0.0267732038556702,-0.044427673016154,1.3074480358259182,5.977324087530841,-0.1962408280520384,-0.1962408280520384,0.7782098552056436,0.4494535519125683,MIXED_OTHER
KEEL,0.0069983337028542,0.0184401849419452,36.62592544871538,0.0785498474193098,-0.4010067264441245,0.6451612017174926,1.0399999618530271,-0.4639639617063954,-0.4639639617063954,0.3763874801034154,0.6939890710382514,SHORT_PULLBACK_POSITIVE_1Y
DDOG,0.0022620307597557,0.002112295953667,37.53778462507675,-0.1230177533441967,-0.0428367178847255,0.7685481569840007,0.5899518360557068,-0.2323095214316223,-0.2323095214316223,0.6392056021020753,0.6816939890710383,MIXED_OTHER
